Muestra;Temp;Hum;Pres;Den;Vol;DP;DP1;DP2;DP3;Vel1;Vel2;Vel3;Vel4;Tiempo;PWM;Paro;Hum2;VelRef;Error
0;19.742;36.843;103069.984;1.2226;2.57388;-3.125;-1.833;-1.145;0.0;0.0;0.0;1.732;1.369;297.0;0.0;0.0;30.396;0.0;0.0
1;19.742;36.835;103069.984;1.2226;2.574;-3.0;-2.241;-1.516;0.0;0.0;0.0;1.915;1.575;363.0;0.0;0.0;30.396;0.0;0.0
2;19.731;36.828;103067.34;1.2226;2.57325;-3.75;-2.769;-1.963;0.0;0.0;0.0;2.128;1.792;428.0;0.0;0.0;30.385;0.0;0.0
3;19.742;36.828;103069.89;1.2226;2.57375;-3.25;-2.938;-2.22;0.0;0.0;0.0;2.192;1.906;493.0;0.0;0.0;30.396;0.0;0.0
4;19.753;36.828;103069.89;1.2225;2.57388;-3.125;-3.003;-2.401;0.0;0.0;0.0;2.216;1.982;558.0;0.0;0.0;30.396;0.0;0.0
5;19.731;36.843;103067.97;1.2226;2.57375;-3.25;-3.089;-2.571;0.0;0.0;0.0;2.248;2.051;623.0;0.0;0.0;30.396;0.0;0.0
6;19.742;36.843;103069.67;1.2226;2.57363;-3.375;-3.189;-2.732;0.0;0.0;0.0;2.284;2.114;688.0;0.0;0.0;30.374;0.0;0.0
7;19.742;36.835;103069.67;1.2226;2.57375;-3.25;-3.211;-2.835;0.0;0.0;0.0;2.292;2.154;753.0;0.0;0.0;30.374;0.0;0.0
8;19.753;36.828;103066.88;1.2225;2.57363;-3.375;-3.268;-2.943;0.0;0.0;0.0;2.312;2.194;818.0;0.0;0.0;30.385;0.0;0.0
9;19.742;36.843;103068.66;1.2226;2.57363;-3.375;-3.305;-3.03;0.0;0.0;0.0;2.325;2.226;883.0;0.0;0.0;30.396;0.0;0.0
10;19.742;36.843;103068.66;1.2226;2.57375;-3.25;-3.286;-3.074;0.0;0.0;0.0;2.319;2.242;948.0;0.0;0.0;30.396;0.0;0.0
