Muestra;Temp;Hum;Pres;Den;Vol;DP;DP1;DP2;DP3;Vel1;Vel2;Vel3;Vel4;Tiempo;PWM;Paro;Hum2;VelRef;Error
0;15.248;51.789;102934.3;1.2398;2.5765;3.5;1.225;0.7;3.5;2.376;2.376;1.406;1.063;512.0;0.0;0.0;46.761;0.0;-135.16
1;15.238;51.728;102935.61;1.2399;2.57675;3.75;2.109;1.31;3.75;2.459;2.459;1.844;1.454;567.0;0.0;0.0;46.739;0.0;-139.9
2;15.238;51.72;102935.55;1.2399;2.57725;4.25;2.858;1.898;3.75;2.618;2.459;2.147;1.75;622.0;0.0;0.0;46.753;0.0;-139.9
3;15.238;51.735;102932.39;1.2399;2.5765;3.5;3.083;2.218;3.75;2.376;2.46;2.23;1.892;677.0;0.0;0.0;46.731;0.0;-139.9
4;15.248;51.705;102934.59;1.2398;2.5765;3.5;3.229;2.475;3.5;2.376;2.376;2.282;1.998;732.0;0.0;0.0;46.755;0.0;-135.16
5;15.248;51.72;102934.59;1.2398;2.577;4.0;3.499;2.78;3.75;2.54;2.46;2.376;2.118;787.0;0.0;0.0;46.755;0.0;-139.9
6;15.248;51.72;102935.47;1.2398;2.57625;3.25;3.412;2.874;3.5;2.29;2.376;2.346;2.153;842.0;0.0;0.0;46.745;0.0;-135.16
7;15.248;51.72;102934.58;1.2398;2.57688;3.875;3.574;3.074;3.75;2.5;2.46;2.401;2.227;898.0;0.0;0.0;46.801;0.0;-139.9
8;15.248;51.72;102934.54;1.2398;2.57675;3.75;3.636;3.209;3.75;2.46;2.46;2.422;2.275;952.0;0.0;0.0;46.735;0.0;-139.9
9;15.238;51.728;102934.984;1.2399;2.576;3.0;3.413;3.168;3.75;2.2;2.459;2.346;2.26;1007.0;0.0;0.0;46.779;0.0;-139.9
10;15.238;51.72;102934.984;1.2399;2.57638;3.375;3.4;3.209;3.5;2.333;2.376;2.342;2.275;1062.0;0.0;0.0;46.779;0.0;-135.15
11;15.259;51.735;102932.72;1.2398;2.57713;4.125;3.654;3.392;3.75;2.58;2.46;2.428;2.339;1118.0;0.0;0.0;46.779;0.0;-139.9
12;15.227;51.735;102933.17;1.2399;2.57638;3.375;3.556;3.389;3.5;2.333;2.376;2.395;2.338;1173.0;0.0;0.0;46.759;0.0;-135.15
