Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,15.42,48.951,103104.36,1.2413,2.57475,1.75,0.613,0.35,1.75,1.679,1.679,0.993,0.751,512.0,0.0,0.0,46.906,0.0,-95.52
1,15.431,48.859,103101.67,1.2413,2.575,2.0,1.098,0.68,2.0,1.795,1.795,1.33,1.047,567.0,0.0,0.0,46.93,0.0,-102.11
2,15.42,48.867,103100.28,1.2413,2.57488,1.875,1.37,0.919,1.875,1.738,1.738,1.486,1.217,622.0,0.0,0.0,46.921,0.0,-98.87
3,15.431,48.859,103103.375,1.2413,2.57488,1.875,1.547,1.11,1.875,1.738,1.738,1.579,1.338,676.0,0.0,0.0,46.879,0.0,-98.87
4,15.452,48.859,103107.81,1.2412,2.57475,1.75,1.618,1.238,1.875,1.679,1.738,1.615,1.413,732.0,0.0,0.0,46.923,0.0,-98.87
5,15.441,48.867,103107.81,1.2413,2.57475,1.75,1.664,1.341,1.875,1.679,1.738,1.638,1.47,787.0,0.0,0.0,46.923,0.0,-98.87
6,15.42,48.867,103102.47,1.2413,2.57538,2.375,1.913,1.548,1.875,1.956,1.738,1.756,1.579,842.0,0.0,0.0,46.957,0.0,-98.87
7,15.42,48.867,103105.125,1.2413,2.575,2.0,1.944,1.638,1.875,1.795,1.738,1.77,1.625,898.0,0.0,0.0,46.892,0.0,-98.87
8,15.42,48.867,103102.87,1.2413,2.57463,1.625,1.832,1.635,1.875,1.618,1.738,1.718,1.623,952.0,0.0,0.0,46.871,0.0,-98.87
9,15.431,48.874,103105.99,1.2413,2.57513,2.125,1.935,1.733,1.875,1.85,1.738,1.766,1.671,1007.0,0.0,0.0,46.904,0.0,-98.87
10,15.452,48.867,103105.99,1.2412,2.57463,1.625,1.826,1.712,1.875,1.618,1.738,1.715,1.661,1062.0,0.0,0.0,46.904,0.0,-98.87
11,15.441,48.882,103106.41,1.2413,2.57438,1.375,1.668,1.644,1.875,1.489,1.738,1.64,1.628,1118.0,0.0,0.0,46.937,0.0,-98.87
12,15.431,48.867,103103.3,1.2413,2.57488,1.875,1.741,1.691,1.875,1.738,1.738,1.675,1.65,1172.0,0.0,0.0,46.872,0.0,-98.87
13,15.42,48.882,103106.83,1.2414,2.57488,1.875,1.788,1.728,1.875,1.738,1.738,1.697,1.668,1227.0,0.0,0.0,46.895,0.0,-98.87
14,15.431,48.882,103105.08,1.2413,2.57525,2.25,1.95,1.832,1.875,1.904,1.738,1.772,1.718,1283.0,0.0,0.0,46.915,0.0,-98.87
15,15.452,48.867,103105.08,1.2412,2.57513,2.125,2.011,1.891,1.875,1.851,1.738,1.8,1.745,1338.0,0.0,0.0,46.915,0.0,-98.87
16,15.452,48.867,103100.14,1.2411,2.57475,1.75,1.92,1.863,1.875,1.679,1.738,1.759,1.732,1393.0,0.0,0.0,46.895,0.0,-98.87
17,15.431,48.874,103101.48,1.2412,2.57488,1.875,1.904,1.865,1.875,1.738,1.738,1.752,1.734,1448.0,0.0,0.0,46.873,0.0,-98.87
18,15.431,48.859,103104.6,1.2413,2.57488,1.875,1.894,1.867,1.875,1.738,1.738,1.747,1.734,1504.0,0.0,0.0,46.895,0.0,-98.87
19,15.441,48.859,103104.16,1.2412,2.57525,2.25,2.019,1.944,1.875,1.904,1.738,1.804,1.77,1558.0,0.0,0.0,46.84,0.0,-98.87
