Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,18.916,42.702,101559.57,1.2076,0.664,101562.64,1.2077,2.57313,0.644,0.6,0.614,0.644,1.033,1.033,0.997,1.008,54712.0,0.0,0.0
1,18.884,42.71,101561.91,1.2078,2.57238,-1.625,-0.569,-0.325,0.0,0.0,0.0,0.97,0.734,512.0,0.0,0.0,41.946,0.0,0.0
2,18.884,42.649,101562.74,1.2078,2.57313,-0.875,-0.676,-0.435,0.0,0.0,0.0,1.058,0.849,567.0,0.0,0.0,41.903,0.0,0.0
3,18.884,42.649,101557.3,1.2078,2.57288,-1.125,-0.833,-0.573,0.0,0.0,0.0,1.174,0.974,621.0,0.0,0.0,41.937,0.0,0.0
4,18.906,42.656,101557.69,1.2077,2.573,-1.0,-0.891,-0.658,0.0,0.0,0.0,1.215,1.044,676.0,0.0,0.0,41.949,0.0,0.0
5,18.916,42.649,101554.04,1.2076,2.573,-1.0,-0.929,-0.727,0.0,0.0,0.0,1.241,1.097,731.0,0.0,0.0,41.962,0.0,0.0
6,18.906,42.656,101554.04,1.2076,2.57275,-1.25,-1.041,-0.831,0.0,0.0,0.0,1.313,1.173,785.0,0.0,0.0,41.962,0.0,0.0
7,18.906,42.649,101559.31,1.2077,2.57325,-0.75,-0.939,-0.815,0.0,0.0,0.0,1.247,1.162,840.0,0.0,0.0,41.919,0.0,0.0
8,18.927,42.649,101560.19,1.2076,2.57338,-0.625,-0.829,-0.777,0.0,0.0,0.0,1.172,1.134,894.0,0.0,0.0,41.996,0.0,0.0
9,18.916,42.649,101563.266,1.2077,2.57288,-1.125,-0.933,-0.846,0.0,0.0,0.0,1.243,1.184,950.0,0.0,0.0,41.964,0.0,0.0
10,18.895,42.649,101557.45,1.2077,2.573,-1.0,-0.956,-0.877,0.0,0.0,0.0,1.258,1.205,1004.0,0.0,0.0,41.952,0.0,0.0
11,18.906,42.672,101557.45,1.2077,2.57338,-0.625,-0.84,-0.827,0.0,0.0,0.0,1.18,1.17,1059.0,0.0,0.0,41.952,0.0,0.0
12,18.906,42.664,101564.61,1.2077,2.57288,-1.125,-0.94,-0.886,0.0,0.0,0.0,1.247,1.211,1114.0,0.0,0.0,41.942,0.0,0.0
13,18.906,42.649,101563.7,1.2077,2.57338,-0.625,-0.829,-0.834,0.0,0.0,0.0,1.172,1.175,1169.0,0.0,0.0,41.976,0.0,0.0
14,18.895,42.649,101562.766,1.2078,2.57275,-1.25,-0.977,-0.917,0.0,0.0,0.0,1.272,1.232,1223.0,0.0,0.0,41.91,0.0,0.0
15,18.906,42.656,101561.43,1.2077,2.57313,-0.875,-0.941,-0.909,0.0,0.0,0.0,1.248,1.227,1278.0,0.0,0.0,41.954,0.0,0.0
16,18.906,42.656,101561.43,1.2077,2.57288,-1.125,-1.005,-0.952,0.0,0.0,0.0,1.29,1.256,1333.0,0.0,0.0,41.954,0.0,0.0
17,18.895,42.649,101564.555,1.2078,2.57325,-0.75,-0.916,-0.911,0.0,0.0,0.0,1.232,1.229,1388.0,0.0,0.0,41.899,0.0,0.0
18,18.895,42.649,101560.97,1.2078,2.57325,-0.75,-0.858,-0.879,0.0,0.0,0.0,1.192,1.207,1442.0,0.0,0.0,41.933,0.0,0.0
19,18.927,42.664,101562.766,1.2076,2.5735,-0.5,-0.732,-0.803,0.0,0.0,0.0,1.101,1.153,1498.0,0.0,0.0,41.965,0.0,0.0
20,18.938,42.656,101562.766,1.2076,2.57288,-1.125,-0.87,-0.868,0.0,0.0,0.0,1.2,1.199,1552.0,0.0,0.0,41.965,0.0,0.0
21,18.916,42.672,101558.28,1.2076,2.57313,-0.875,-0.872,-0.869,0.0,0.0,0.0,1.201,1.2,1606.0,0.0,0.0,41.965,0.0,0.0
22,18.906,42.664,101563.22,1.2077,2.57325,-0.75,-0.829,-0.845,0.0,0.0,0.0,1.172,1.183,1661.0,0.0,0.0,41.977,0.0,0.0
23,18.895,42.649,101566.34,1.2078,2.57338,-0.625,-0.757,-0.801,0.0,0.0,0.0,1.12,1.152,1716.0,0.0,0.0,41.91,0.0,0.0
24,18.916,42.649,101560.97,1.2077,2.57275,-1.25,-0.93,-0.891,0.0,0.0,0.0,1.241,1.215,1771.0,0.0,0.0,41.954,0.0,0.0
25,18.916,42.649,101560.97,1.2077,2.57288,-1.125,-0.998,-0.938,0.0,0.0,0.0,1.286,1.246,1825.0,0.0,0.0,41.954,0.0,0.0
26,18.916,42.656,101558.28,1.2076,2.57313,-0.875,-0.955,-0.925,0.0,0.0,0.0,1.258,1.238,1881.0,0.0,0.0,41.987,0.0,0.0
27,18.916,42.656,101564.5,1.2077,2.57275,-1.25,-1.058,-0.99,0.0,0.0,0.0,1.324,1.28,1935.0,0.0,0.0,41.933,0.0,0.0
28,18.916,42.656,101562.25,1.2077,2.57263,-1.375,-1.169,-1.067,0.0,0.0,0.0,1.391,1.329,1990.0,0.0,0.0,41.966,0.0,0.0
29,18.927,42.649,101562.31,1.2076,2.57275,-1.25,-1.197,-1.104,0.0,0.0,0.0,1.408,1.352,2044.0,0.0,0.0,41.943,0.0,0.0
30,18.927,42.641,101562.31,1.2076,2.57388,-0.125,-0.822,-0.908,0.0,0.0,0.0,1.167,1.226,2100.0,0.0,0.0,41.943,0.0,0.0
31,18.916,42.649,101561.81,1.2077,2.57338,-0.625,-0.753,-0.851,0.0,0.0,0.0,1.117,1.187,2154.0,0.0,0.0,41.955,0.0,0.0
32,18.906,42.656,101561.81,1.2077,2.573,-1.0,-0.839,-0.881,0.0,0.0,0.0,1.179,1.208,2209.0,0.0,0.0,41.944,0.0,0.0
