Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro
0,19.978,41.543,100505.88,1.1906,2.55125,2551.25,765.375,510.25,2551.25,65.466,65.466,35.857,29.277,512.0,0.0,1.0
1,19.967,41.504,100503.97,1.1906,2.5525,1276.875,918.825,663.575,2551.25,46.314,65.465,39.287,33.387,566.0,0.0,1.0
2,19.989,41.489,100503.76,1.1905,2.55288,851.625,898.665,701.185,1276.875,37.825,46.316,38.855,34.322,620.0,0.0,1.0
3,19.978,41.482,100499.92,1.1905,2.55175,637.594,820.344,688.467,1276.875,32.728,46.315,37.124,34.009,674.0,0.0,1.0
4,19.978,41.482,100503.34,1.1905,2.55225,510.575,727.413,652.888,851.625,29.287,37.824,34.957,33.118,729.0,0.0,1.0
5,20.01,41.497,100503.34,1.1904,2.55275,425.979,636.983,607.507,851.625,26.753,37.826,32.714,31.948,783.0,0.0,1.0
6,20.0,41.489,100504.625,1.1905,2.55238,364.75,555.313,558.955,637.594,24.755,32.729,30.544,30.644,837.0,0.0,1.0
7,19.978,41.489,100507.64,1.1906,2.55088,317.656,484.016,510.695,637.594,23.1,32.727,28.514,29.29,891.0,0.0,1.0
8,19.978,41.504,100505.8,1.1906,2.55225,283.736,423.932,465.304,510.575,21.832,29.287,26.686,27.958,946.0,0.0,1.0
9,19.989,41.489,100505.8,1.1905,2.55275,255.862,373.511,423.415,510.575,20.732,29.287,25.05,26.671,1000.0,0.0,1.0
10,20.0,41.504,100502.625,1.1904,2.55175,231.602,330.939,385.053,425.979,19.726,26.752,23.58,25.435,1054.0,0.0,1.0
11,19.989,41.504,100503.0,1.1905,2.55238,212.927,295.535,350.628,425.979,18.913,26.752,22.282,24.27,1108.0,0.0,1.0
12,19.978,41.497,100503.37,1.1905,2.5525,196.673,265.876,319.837,364.75,18.177,24.754,21.134,23.18,1163.0,0.0,1.0
13,19.978,41.489,100503.37,1.1905,2.55225,182.375,240.826,292.344,364.75,17.504,24.754,20.114,22.161,1217.0,0.0,1.0
14,19.978,41.504,100503.37,1.1905,2.55175,169.717,219.493,267.819,317.656,16.885,23.101,19.202,21.211,1271.0,0.0,1.0
15,20.0,41.482,100500.61,1.1904,2.5525,159.859,201.603,246.227,317.656,16.388,23.102,18.404,20.339,1326.0,0.0,1.0
16,20.01,41.482,100503.3,1.1904,2.55225,150.206,186.184,227.023,283.736,15.886,21.834,17.686,19.53,1380.0,0.0,1.0
17,20.0,41.482,100504.17,1.1904,2.55188,141.486,172.774,209.915,283.736,15.418,21.833,17.037,18.779,1434.0,0.0,1.0
18,20.0,41.504,100506.86,1.1905,2.552,134.164,161.191,194.765,255.862,15.013,20.733,16.456,18.089,1488.0,0.0,1.0
19,20.0,41.482,100506.86,1.1905,2.55238,127.831,151.183,181.378,255.862,14.655,20.733,15.937,17.456,1543.0,0.0,1.0
20,19.989,41.474,100507.266,1.1905,2.55213,-0.038,105.817,145.095,231.602,0.0,19.725,13.333,15.612,1597.0,0.0,1.0
21,19.978,41.482,100505.016,1.1906,2.551,-1.206,73.71,115.835,231.602,0.0,19.725,11.128,13.95,1650.0,0.0,1.0
22,19.989,41.482,100506.36,1.1905,2.55113,-1.006,51.295,92.467,231.602,0.0,19.725,9.283,12.463,1704.0,0.0,1.0
23,19.989,41.482,100506.36,1.1905,2.552,-0.044,35.893,73.964,212.927,0.0,18.913,7.765,11.147,1759.0,0.0,1.0
24,20.0,41.482,100504.54,1.1905,2.552,-0.057,25.108,59.16,212.927,0.0,18.914,6.495,9.97,1813.0,0.0,1.0
25,19.989,41.482,100500.91,1.1905,2.55175,-0.294,17.488,47.269,196.673,0.0,18.177,5.42,8.911,1866.0,0.0,1.0
26,20.0,41.482,100504.03,1.1904,2.5525,0.506,12.393,37.917,196.673,0.922,18.177,4.563,7.981,1921.0,0.0,1.0
27,20.01,41.482,100502.25,1.1904,2.552,-0.0,8.675,30.333,182.375,0.0,17.505,3.818,7.139,1974.0,0.0,1.0
28,20.0,41.489,100502.25,1.1904,2.55238,0.318,6.168,24.33,169.717,0.731,16.886,3.219,6.393,2028.0,0.0,1.0
29,19.989,41.474,100503.59,1.1905,2.55275,0.687,4.524,19.602,159.859,1.074,16.388,2.757,5.739,2082.0,0.0,1.0
30,20.0,41.482,100496.4,1.1904,2.55238,0.312,3.26,15.744,150.206,0.724,15.886,2.34,5.143,2136.0,0.0,1.0
31,19.978,41.466,100499.56,1.1905,2.55188,-0.188,2.226,12.557,141.486,0.0,15.417,1.934,4.593,2190.0,0.0,1.0
32,19.989,41.489,100499.56,1.1904,2.55263,0.562,1.727,10.158,141.486,0.972,15.418,1.703,4.131,2243.0,0.0,1.0
33,19.989,41.482,100500.5,1.1905,2.55213,0.062,1.227,8.139,134.164,0.323,15.013,1.436,3.698,2297.0,0.0,1.0
34,19.978,41.474,100503.59,1.1905,2.55138,-0.688,0.653,6.374,127.831,0.0,14.654,1.047,3.272,2351.0,0.0,1.0
35,20.0,41.474,100503.195,1.1904,2.552,-0.063,0.438,5.086,0.687,0.0,1.074,0.858,2.923,2405.0,0.0,1.0
36,19.989,41.474,100501.34,1.1905,2.55275,0.687,0.513,4.207,0.687,1.074,1.074,0.928,2.658,2458.0,0.0,1.0
37,20.0,41.474,100501.34,1.1904,2.55188,-0.188,0.303,3.328,0.687,0.0,1.074,0.713,2.364,2511.0,0.0,1.0
38,19.978,41.474,100502.22,1.1905,2.55225,0.187,0.268,2.7,0.562,0.561,0.972,0.671,2.13,2565.0,0.0,1.0
39,19.989,41.466,100502.22,1.1905,2.55238,0.312,0.281,2.222,0.506,0.724,0.922,0.687,1.932,2619.0,0.0,1.0
40,20.0,41.482,100502.62,1.1904,2.55175,-0.313,0.103,1.715,0.318,0.0,0.731,0.416,1.697,2672.0,0.0,1.0
41,20.0,41.466,100502.62,1.1904,2.55275,0.687,0.278,1.51,0.506,1.074,0.922,0.684,1.593,2725.0,0.0,1.0
42,20.0,41.474,100500.875,1.1904,2.55263,0.562,0.363,1.32,0.506,0.972,0.922,0.781,1.489,2779.0,0.0,1.0
43,20.0,41.466,100504.4,1.1905,2.55163,-0.438,0.123,0.968,0.506,0.0,0.922,0.455,1.276,2833.0,0.0,1.0
44,20.0,41.482,100500.36,1.1904,2.552,-0.063,0.067,0.762,0.506,0.0,0.922,0.336,1.132,2886.0,0.0,1.0
45,19.978,41.466,100500.36,1.1905,2.5525,0.437,0.178,0.697,0.506,0.857,0.922,0.547,1.082,2939.0,0.0,1.0
46,20.0,41.459,100499.93,1.1904,2.55188,-0.188,0.068,0.52,0.437,0.0,0.857,0.339,0.935,2993.0,0.0,1.0
47,19.978,41.474,100504.4,1.1905,2.55175,-0.313,-0.046,0.354,0.437,0.0,0.857,0.278,0.771,3047.0,0.0,1.0
48,19.967,41.466,100505.27,1.1906,2.5525,0.437,0.099,0.37,0.437,0.857,0.857,0.408,0.789,3100.0,0.0,1.0
49,20.0,41.466,100501.71,1.1904,2.55225,0.187,0.125,0.334,0.437,0.561,0.857,0.459,0.749,3153.0,0.0,1.0
50,19.989,41.489,100501.71,1.1905,2.55213,0.062,0.106,0.279,0.437,0.323,0.857,0.423,0.685,3208.0,0.0,1.0
51,20.01,41.466,100500.36,1.1904,2.5525,0.437,0.206,0.311,0.437,0.857,0.857,0.588,0.723,3261.0,0.0,1.0
52,20.0,41.474,100502.14,1.1904,2.5515,-0.563,-0.025,0.136,0.437,0.0,0.857,0.205,0.478,3314.0,0.0,1.0
53,20.01,41.474,100505.75,1.1904,2.55163,-0.438,-0.149,0.021,0.437,0.0,0.857,0.5,0.189,3367.0,0.0,1.0
54,20.01,41.459,100505.75,1.1904,2.55238,0.312,-0.011,0.079,0.437,0.724,0.857,0.133,0.365,3421.0,0.0,1.0
55,20.021,41.474,100503.49,1.1903,2.55175,-0.313,-0.101,0.001,0.437,0.0,0.857,0.412,0.041,3475.0,0.0,1.0
56,19.989,41.466,100506.18,1.1905,2.551,-1.063,-0.39,-0.212,0.437,0.0,0.857,0.809,0.596,3528.0,0.0,1.0
57,20.0,41.466,100501.234,1.1904,2.55275,0.687,-0.067,-0.032,0.437,1.074,0.857,0.335,0.232,3581.0,0.0,1.0
58,20.01,41.474,100503.49,1.1904,2.55263,0.562,0.122,0.087,0.437,0.972,0.857,0.453,0.382,3635.0,0.0,1.0
59,20.01,41.459,100503.49,1.1904,2.55163,-0.438,-0.046,-0.018,0.437,0.0,0.857,0.278,0.174,3689.0,0.0,1.0
60,19.989,41.466,100495.86,1.1904,2.55313,1.062,0.286,0.198,0.437,1.336,0.857,0.694,0.577,3742.0,0.0,1.0
61,19.978,41.466,100502.14,1.1905,2.5525,0.437,0.332,0.246,0.437,0.857,0.857,0.746,0.643,3795.0,0.0,1.0
62,19.989,41.459,100494.984,1.1904,2.552,-0.063,0.213,0.184,0.437,0.0,0.857,0.599,0.556,3850.0,0.0,1.0
63,20.0,41.482,100494.984,1.1903,2.55263,0.562,0.318,0.26,0.437,0.972,0.857,0.731,0.661,3903.0,0.0,1.0
64,20.01,41.466,100503.49,1.1904,2.55275,0.687,0.429,0.345,0.437,1.074,0.857,0.849,0.761,3956.0,0.0,1.0
65,19.989,41.443,100504.766,1.1905,2.55163,-0.438,0.169,0.189,0.437,0.0,0.857,0.532,0.563,4009.0,0.0,1.0
66,20.0,41.466,100503.49,1.1904,2.55238,0.312,0.212,0.213,0.437,0.724,0.857,0.596,0.599,4064.0,0.0,1.0
67,19.989,41.451,100503.49,1.1905,2.55275,0.687,0.354,0.308,0.437,1.074,0.857,0.772,0.719,4117.0,0.0,1.0
68,19.978,41.459,100499.89,1.1905,2.552,-0.063,0.229,0.234,0.437,0.0,0.857,0.62,0.627,4170.0,0.0,1.0
69,20.01,41.451,100499.39,1.1903,2.5525,0.437,0.292,0.274,0.437,0.857,0.857,0.7,0.679,4224.0,0.0,1.0
70,20.0,41.466,100507.46,1.1905,2.5525,0.437,0.335,0.307,0.437,0.857,0.857,0.75,0.718,4278.0,0.0,1.0
