Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro
0,21.126,33.524,97190.25,1.1472,2.546,2546.0,763.8,509.2,2546.0,66.623,66.623,36.491,29.795,512.0,0.0,1.0
1,21.136,33.478,97187.875,1.1471,2.54713,1274.125,916.898,662.185,2546.0,47.132,66.625,39.982,33.978,566.0,0.0,1.0
2,21.169,33.486,97195.336,1.1471,2.54663,848.917,896.503,699.531,1274.125,38.472,47.133,39.536,34.924,620.0,0.0,1.0
3,21.147,33.486,97194.72,1.1472,2.5465,636.563,818.521,686.938,1274.125,33.314,47.131,37.776,34.607,674.0,0.0,1.0
4,21.158,33.478,97193.69,1.1471,2.54688,509.625,725.852,651.475,848.917,29.808,38.472,35.574,33.702,729.0,0.0,1.0
5,21.169,33.478,97193.69,1.1471,2.54713,424.937,635.578,606.168,848.917,27.22,38.473,33.289,32.51,783.0,0.0,1.0
6,21.147,33.478,97197.11,1.1472,2.5465,363.607,553.987,557.656,636.563,25.177,33.313,31.077,31.18,837.0,0.0,1.0
7,21.169,33.486,97195.66,1.1471,2.54675,318.406,483.312,509.806,636.563,23.562,33.315,29.029,29.814,891.0,0.0,1.0
8,21.158,33.471,97197.0,1.1472,2.54725,283.528,423.377,464.55,509.625,22.233,29.808,27.169,28.459,945.0,0.0,1.0
9,21.136,33.486,97197.0,1.1472,2.547,254.925,372.841,422.625,509.625,21.081,29.807,25.495,27.143,999.0,0.0,1.0
10,21.136,33.463,97195.96,1.1472,2.54675,231.5,330.439,384.4,424.937,20.089,27.218,24.001,25.887,1053.0,0.0,1.0
11,21.158,33.478,97198.15,1.1472,2.54688,212.333,295.007,349.987,424.937,19.24,27.219,22.679,24.702,1107.0,0.0,1.0
12,21.147,33.478,97198.46,1.1472,2.54713,196.25,265.38,319.239,363.607,18.497,25.177,21.509,23.591,1162.0,0.0,1.0
13,21.158,33.471,97193.08,1.1471,2.54713,182.232,240.436,291.838,363.607,17.825,25.178,20.474,22.557,1216.0,0.0,1.0
14,21.136,33.486,97193.08,1.1472,2.54675,169.708,219.217,267.412,318.406,17.201,23.561,19.549,21.592,1270.0,0.0,1.0
15,21.158,33.478,97198.46,1.1472,2.54688,159.226,201.22,245.775,318.406,16.661,23.561,18.73,20.7,1325.0,0.0,1.0
16,21.136,33.463,97193.08,1.1472,2.54688,149.86,185.812,226.592,283.528,16.164,22.233,17.998,19.876,1379.0,0.0,1.0
17,21.147,33.478,97198.85,1.1472,2.54725,141.909,172.641,209.655,283.528,15.729,22.233,17.349,19.118,1433.0,0.0,1.0
18,21.136,33.486,97193.46,1.1472,2.54713,134.316,161.144,194.587,254.925,15.302,21.082,16.761,18.418,1487.0,0.0,1.0
19,21.136,33.478,97193.46,1.1472,2.54675,127.225,150.968,181.115,254.925,14.893,21.082,16.223,17.769,1542.0,0.0,1.0
20,21.158,33.494,97197.92,1.1472,2.54763,0.762,105.906,145.044,231.5,1.153,20.09,13.588,15.902,1596.0,0.0,1.0
21,21.126,33.501,97196.08,1.1473,2.54713,0.181,74.189,116.072,231.5,0.562,20.089,11.372,14.225,1650.0,0.0,1.0
22,21.158,33.486,97195.66,1.1471,2.5475,0.556,52.099,92.969,212.333,0.985,19.241,9.531,12.731,1703.0,0.0,1.0
23,21.136,33.486,97195.66,1.1472,2.54725,0.262,36.548,74.427,196.25,0.676,18.497,7.982,11.391,1758.0,0.0,1.0
24,21.147,33.486,97196.58,1.1472,2.54713,0.1,25.613,59.562,182.232,0.417,17.824,6.682,10.19,1812.0,0.0,1.0
25,21.158,33.486,97200.12,1.1472,2.54725,0.212,17.993,47.692,169.708,0.608,17.201,5.601,9.118,1866.0,0.0,1.0
26,21.136,33.494,97195.66,1.1472,2.54688,-0.169,12.544,38.12,159.226,0.0,16.661,4.676,8.152,1920.0,0.0,1.0
27,21.147,33.494,97191.61,1.1471,2.54738,0.313,8.875,30.558,149.86,0.738,16.164,3.934,7.299,1974.0,0.0,1.0
28,21.158,33.478,97191.61,1.1471,2.54738,0.281,6.297,24.503,141.909,0.7,15.73,3.313,6.536,2028.0,0.0,1.0
29,21.147,33.486,97193.375,1.1472,2.54713,0.025,4.415,19.607,134.316,0.208,15.303,2.774,5.847,2081.0,0.0,1.0
30,21.147,33.494,97197.81,1.1472,2.547,-0.106,3.059,15.665,127.225,0.0,14.893,2.309,5.226,2136.0,0.0,1.0
31,21.147,33.478,97200.12,1.1472,2.54763,0.519,2.297,12.635,127.225,0.951,14.893,2.001,4.693,2189.0,0.0,1.0
32,21.136,33.494,97200.12,1.1473,2.54725,0.144,1.651,10.137,0.762,0.5,1.153,1.696,4.204,2243.0,0.0,1.0
33,21.136,33.494,97191.61,1.1472,2.547,-0.106,1.124,8.088,0.556,0.0,0.985,1.4,3.755,2296.0,0.0,1.0
34,21.136,33.486,97195.97,1.1472,2.54675,-0.356,0.68,6.399,0.519,0.0,0.951,1.088,3.34,2350.0,0.0,1.0
35,21.19,33.494,97203.625,1.1471,2.54738,0.269,0.556,5.173,0.519,0.684,0.951,0.985,3.003,2404.0,0.0,1.0
36,21.147,33.501,97196.89,1.1472,2.54738,0.269,0.47,4.192,0.313,0.684,0.738,0.905,2.703,2457.0,0.0,1.0
37,21.169,33.501,97196.08,1.1471,2.54725,0.144,0.372,3.383,0.281,0.5,0.7,0.805,2.429,2510.0,0.0,1.0
38,21.158,33.478,97195.55,1.1471,2.5475,0.394,0.379,2.785,0.281,0.828,0.7,0.812,2.203,2564.0,0.0,1.0
39,21.136,33.501,97199.58,1.1473,2.54713,0.019,0.271,2.232,0.269,0.18,0.684,0.687,1.972,2618.0,0.0,1.0
40,21.126,33.478,97199.16,1.1473,2.54713,0.019,0.195,1.789,0.269,0.18,0.684,0.583,1.766,2671.0,0.0,1.0
41,21.147,33.494,97199.16,1.1472,2.54725,0.144,0.18,1.46,0.262,0.5,0.676,0.559,1.595,2724.0,0.0,1.0
42,21.158,33.494,97197.81,1.1472,2.5475,0.394,0.244,1.247,0.262,0.828,0.676,0.652,1.474,2779.0,0.0,1.0
43,21.147,33.494,97200.5,1.1472,2.54675,-0.356,0.064,0.926,0.262,0.0,0.676,0.333,1.271,2832.0,0.0,1.0
44,21.136,33.501,97195.55,1.1472,2.54713,0.019,0.05,0.745,0.212,0.18,0.608,0.296,1.139,2885.0,0.0,1.0
45,21.136,33.494,97195.55,1.1472,2.54788,0.769,0.266,0.749,0.212,1.158,0.608,0.681,1.143,2938.0,0.0,1.0
46,21.158,33.501,97200.93,1.1472,2.54713,0.019,0.192,0.603,0.212,0.18,0.608,0.578,1.025,2993.0,0.0,1.0
47,21.169,33.494,97198.66,1.1471,2.547,-0.106,0.102,0.461,0.144,0.0,0.5,0.422,0.897,3046.0,0.0,1.0
48,21.147,33.471,97196.89,1.1472,2.547,-0.106,0.04,0.348,0.144,0.0,0.5,0.263,0.779,3099.0,0.0,1.0
49,21.136,33.486,97199.58,1.1473,2.547,-0.106,-0.004,0.257,0.144,0.0,0.5,0.085,0.669,3152.0,0.0,1.0
50,21.147,33.494,97199.58,1.1472,2.54713,0.019,0.003,0.209,0.144,0.18,0.5,0.068,0.604,3206.0,0.0,1.0
51,21.136,33.494,97195.55,1.1472,2.54763,0.519,0.157,0.271,0.144,0.951,0.5,0.524,0.688,3260.0,0.0,1.0
52,21.158,33.486,97201.35,1.1472,2.54738,0.269,0.191,0.271,0.269,0.684,0.684,0.577,0.687,3313.0,0.0,1.0
53,21.147,33.501,97196.08,1.1472,2.54738,0.269,0.214,0.27,0.269,0.684,0.684,0.611,0.686,3366.0,0.0,1.0
54,21.136,33.486,97196.08,1.1472,2.54725,0.144,0.193,0.245,0.269,0.5,0.684,0.58,0.653,3420.0,0.0,1.0
55,21.158,33.478,97197.81,1.1472,2.54738,0.269,0.216,0.25,0.269,0.684,0.684,0.613,0.66,3474.0,0.0,1.0
56,21.147,33.494,97193.77,1.1472,2.547,-0.106,0.119,0.178,0.269,0.0,0.684,0.456,0.558,3527.0,0.0,1.0
57,21.136,33.509,97194.73,1.1472,2.54763,0.519,0.239,0.246,0.269,0.951,0.684,0.645,0.656,3580.0,0.0,1.0
58,21.169,33.494,97194.73,1.1471,2.5475,0.394,0.285,0.276,0.269,0.828,0.684,0.705,0.694,3635.0,0.0,1.0
59,21.169,33.494,97199.16,1.1471,2.54725,0.144,0.243,0.249,0.269,0.5,0.684,0.651,0.659,3688.0,0.0,1.0
60,21.136,33.486,97190.16,1.1472,2.54738,0.269,0.251,0.253,0.269,0.684,0.684,0.661,0.665,3741.0,0.0,1.0
61,21.136,33.494,97198.234,1.1473,2.5475,0.394,0.293,0.281,0.269,0.828,0.684,0.715,0.7,3794.0,0.0,1.0
