Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,15.516,48.592,NaN,48.661,103102.47,1.2408,2.57563,2.625,0.919,0.525,2.625,2.057,2.057,1.217,0.92,512.0,0.0,0.0,45.797
1,15.506,48.592,103093.96,1.2408,2.57625,3.25,1.735,1.07,3.25,2.289,2.289,1.672,1.313,567.0,0.0,0.0,45.819,0.0,-130.19
2,15.516,48.592,103102.84,1.2409,2.5755,2.5,2.003,1.356,2.625,2.007,2.057,1.797,1.478,622.0,0.0,0.0,45.745,0.0,-117.0
3,15.527,48.6,103095.23,1.2408,2.57588,2.875,2.308,1.66,2.875,2.153,2.153,1.929,1.636,677.0,0.0,0.0,45.823,0.0,-122.45
4,15.516,48.585,103098.74,1.2408,2.57588,2.875,2.506,1.903,2.875,2.153,2.153,2.01,1.751,732.0,0.0,0.0,45.824,0.0,-122.45
5,15.516,48.585,103098.74,1.2408,2.57613,3.125,2.723,2.147,2.875,2.244,2.153,2.095,1.86,787.0,0.0,0.0,45.824,0.0,-122.45
6,15.516,48.592,103101.875,1.2409,2.57613,3.125,2.864,2.343,2.875,2.244,2.153,2.148,1.943,842.0,0.0,0.0,45.813,0.0,-122.44
7,15.538,48.592,103104.94,1.2408,2.57575,2.75,2.824,2.424,2.875,2.105,2.153,2.134,1.977,898.0,0.0,0.0,45.728,0.0,-122.45
8,15.516,48.592,103100.484,1.2409,2.57575,2.75,2.798,2.49,2.875,2.105,2.153,2.124,2.003,953.0,0.0,0.0,45.806,0.0,-122.44
9,15.538,48.585,103107.18,1.2408,2.57538,2.375,2.65,2.467,2.875,1.957,2.153,2.067,1.994,1007.0,0.0,0.0,45.762,0.0,-122.44
10,15.538,48.592,103107.18,1.2408,2.57525,2.25,2.51,2.423,2.75,1.904,2.105,2.011,1.976,1062.0,0.0,0.0,45.762,0.0,-119.76
11,15.527,48.585,103101.34,1.2408,2.57588,2.875,2.638,2.514,2.875,2.153,2.153,2.062,2.013,1118.0,0.0,0.0,45.794,0.0,-122.45
12,15.538,48.592,103102.69,1.2408,2.576,3.0,2.765,2.611,2.875,2.199,2.153,2.111,2.051,1173.0,0.0,0.0,45.816,0.0,-122.45
13,15.506,48.592,103102.69,1.2409,2.5755,2.5,2.672,2.589,2.875,2.007,2.153,2.075,2.043,1228.0,0.0,0.0,45.772,0.0,-122.44
14,15.516,48.585,103100.91,1.2409,2.57588,2.875,2.743,2.646,2.875,2.153,2.153,2.103,2.065,1284.0,0.0,0.0,45.795,0.0,-122.44
15,15.527,48.592,103100.91,1.2408,2.57563,2.625,2.702,2.642,2.875,2.057,2.153,2.087,2.064,1339.0,0.0,0.0,45.795,0.0,-122.45
16,15.527,48.585,103104.03,1.2409,2.5755,2.5,2.631,2.614,2.75,2.007,2.105,2.059,2.052,1393.0,0.0,0.0,45.807,0.0,-119.75
