Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2
0,23.271,29.931,102225.25,1.198,2.57388,-0.125,-0.048,-0.037,0.125,0.0,0.457,0.283,0.248,621.0,50.0,1.0,29.753
1,23.271,29.946,102218.86,1.1979,2.574,0.0,-0.033,-0.029,0.125,0.02,0.457,0.236,0.222,675.0,50.0,1.0,29.787
2,23.249,29.915,102219.25,1.198,2.57413,0.125,0.014,0.001,0.125,0.457,0.457,0.154,0.049,730.0,50.0,1.0,29.743
3,23.249,29.938,102219.25,1.198,2.57438,0.375,0.122,0.076,0.125,0.792,0.457,0.452,0.357,784.0,50.0,1.0,29.743
4,23.249,29.931,102220.984,1.1981,2.57438,0.375,0.198,0.136,0.125,0.791,0.457,0.575,0.477,838.0,50.0,1.0,29.788
5,23.292,29.931,102222.28,1.1979,2.57413,0.125,0.176,0.134,0.125,0.457,0.457,0.543,0.473,892.0,50.0,1.0,29.8
6,23.281,29.915,102215.05,1.1979,2.57388,-0.125,0.086,0.082,0.125,0.0,0.457,0.379,0.37,947.0,50.0,1.0,29.777
7,23.26,29.923,102215.05,1.1979,2.57413,0.125,0.098,0.091,0.125,0.457,0.457,0.404,0.389,1001.0,50.0,1.0,29.777
8,23.26,29.931,102219.95,1.198,2.57388,-0.125,0.031,0.048,0.125,0.0,0.457,0.228,0.282,1055.0,50.0,1.0,29.723
9,23.26,29.915,102217.69,1.198,2.57388,-0.125,-0.016,0.013,0.125,0.0,0.457,0.162,0.148,1110.0,50.0,1.0,29.756
10,23.281,29.915,102219.484,1.1979,2.5735,-0.5,-0.161,-0.089,0.125,0.0,0.457,0.518,0.386,1164.0,50.0,1.0,29.723
11,23.281,29.931,102223.95,1.198,2.57388,-0.125,-0.15,-0.096,0.125,0.0,0.457,0.5,0.401,1218.0,50.0,1.0,29.745
12,23.281,29.938,102223.95,1.198,2.574,0.0,-0.105,-0.077,0.125,0.02,0.457,0.419,0.359,1272.0,50.0,1.0,29.745
13,23.26,29.908,102220.336,1.198,2.57363,-0.375,-0.186,-0.137,0.125,0.0,0.457,0.557,0.478,1328.0,50.0,1.0,29.745
