Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,31.1,22.286,1003.0361,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,563.0,0.0
1,613.0,31.089,22.286,1003.0206,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,613.0,0.0
2,664.0,31.111,22.278,1003.0502,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,664.0,0.0
3,2320.0,31.089,22.301,1003.0687,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2320.0,0.0
4,2370.0,31.1,22.263,1003.0236,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2370.0,0.0
5,2421.0,31.089,22.278,1003.0236,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2421.0,0.0
6,2472.0,31.1,22.286,1003.0236,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2472.0,0.0
7,2524.0,31.1,22.278,1003.0413,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2524.0,0.0
8,2574.0,31.111,22.263,1003.03625,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2574.0,0.0
9,2625.0,31.1,22.278,1003.1234,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2625.0,0.0
10,2676.0,31.1,22.294,1003.1234,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2676.0,0.0
11,2726.0,31.1,22.263,1003.091,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2726.0,0.0
12,2778.0,31.111,22.263,1003.09534,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2778.0,0.0
13,2829.0,31.111,22.255,1003.068,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2829.0,0.0
14,2879.0,31.121,22.255,1003.068,1.1444,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2879.0,0.0
15,2930.0,31.1,22.271,1003.0543,1.1445,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2930.0,0.0
