Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,51323.0,16.718,46.54,1012.8201,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,51.0,0.0
1,51375.0,16.707,46.547,1012.8113,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,103.0,0.0
2,51426.0,16.718,46.54,1012.8113,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,154.0,0.0
3,51477.0,16.718,46.547,1012.8113,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,205.0,0.0
4,51528.0,16.707,46.54,1012.8554,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,256.0,0.0
5,51579.0,16.718,46.532,1012.8554,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,307.0,0.0
6,51631.0,16.696,46.54,1012.79346,1.2138,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,359.0,0.0
7,51682.0,16.696,46.547,1012.8113,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,410.0,0.0
8,51733.0,16.696,46.54,1012.8107,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,461.0,0.0
9,51784.0,16.707,46.54,1012.8107,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,512.0,0.0
10,51835.0,16.718,46.54,1012.85077,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,563.0,0.0
11,51887.0,16.696,46.54,1012.8642,1.2139,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,615.0,0.0
12,51938.0,16.707,46.547,1012.8954,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,666.0,0.0
13,51989.0,16.718,46.54,1012.8954,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,717.0,0.0
14,52040.0,16.718,46.532,1012.8375,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,768.0,0.0
15,52091.0,16.718,46.532,1012.85077,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,819.0,0.0
16,52143.0,16.696,46.54,1012.7885,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,871.0,0.0
17,52194.0,16.696,46.532,1012.7885,1.2138,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,922.0,0.0
18,52245.0,16.718,46.54,1012.8375,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,973.0,0.0
19,52296.0,16.707,46.525,1012.8063,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1024.0,0.0
20,52347.0,16.707,46.547,1012.8152,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1075.0,0.0
21,52399.0,16.707,46.525,1012.8152,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1127.0,0.0
22,52450.0,16.707,46.532,1012.82404,1.2138,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1178.0,0.0
23,52501.0,16.707,46.54,1012.8642,1.2138,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1229.0,0.0
24,52552.0,16.707,46.555,1012.85077,1.2138,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1280.0,0.0
25,52602.0,16.707,46.532,1012.85077,1.2138,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1330.0,0.0
26,52654.0,16.718,46.525,1012.8063,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1382.0,0.0
27,52705.0,16.718,46.532,1012.84186,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1433.0,0.0
28,52756.0,16.728,46.532,1012.84644,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1484.0,0.0
29,52807.0,16.718,46.525,1012.84644,1.2137,0.375,14.0,0.786,220.0,0.0,588.93,0.0,0.0,1535.0,0.0
30,52858.0,16.707,46.54,1012.8375,1.2138,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1586.0,0.0
