Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,16.085,47.524,1012.8663,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,563.0,0.0
1,613.0,16.096,47.555,1012.90076,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,613.0,0.0
2,664.0,16.096,47.547,1012.87396,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,664.0,0.0
3,714.0,16.085,47.532,1012.87396,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,714.0,0.0
4,765.0,16.085,47.532,1012.8908,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,765.0,0.0
5,817.0,16.085,47.547,1012.8457,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,817.0,0.0
6,867.0,16.085,47.532,1012.8457,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,867.0,0.0
7,918.0,16.074,47.547,1012.8457,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,918.0,0.0
8,969.0,16.096,47.555,1012.8764,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,969.0,0.0
9,1019.0,16.096,47.539,1012.89374,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1019.0,0.0
10,1071.0,16.096,47.547,1012.89374,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1071.0,0.0
11,1122.0,16.106,47.524,1012.89374,1.2164,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1122.0,0.0
12,1173.0,16.085,47.539,1012.92487,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1173.0,0.0
13,1223.0,16.074,47.539,1012.9289,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1223.0,0.0
14,1274.0,16.096,47.547,1012.9383,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1274.0,0.0
15,1326.0,16.096,47.539,1012.9383,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1326.0,0.0
16,1376.0,16.085,47.555,1012.9244,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1376.0,0.0
17,1427.0,16.096,47.539,1012.911,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1427.0,0.0
18,1478.0,16.096,47.555,1012.911,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1478.0,0.0
19,1528.0,16.085,47.539,1012.8933,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1528.0,0.0
20,1580.0,16.085,47.539,1012.91547,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1580.0,0.0
21,1631.0,16.085,47.547,1012.9378,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1631.0,0.0
22,1681.0,16.106,47.539,1012.9378,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1681.0,0.0
23,1732.0,16.085,47.524,1012.8486,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1732.0,0.0
24,1783.0,16.085,47.539,1012.911,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1783.0,0.0
25,1833.0,16.085,47.539,1012.8794,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1833.0,0.0
26,1885.0,16.074,47.532,1012.8794,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1885.0,0.0
27,1936.0,16.096,47.555,1012.91956,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1936.0,0.0
28,1987.0,16.096,47.547,1012.8794,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1987.0,0.0
29,2037.0,16.085,47.547,1012.8928,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2037.0,0.0
30,2088.0,16.085,47.539,1012.8928,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2088.0,0.0
31,2140.0,16.085,47.555,1012.85266,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2140.0,0.0
32,2190.0,16.085,47.562,1012.8928,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2190.0,0.0
33,2241.0,16.085,47.539,1012.8928,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2241.0,0.0
34,2292.0,16.096,47.539,1012.88873,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2292.0,0.0
35,2342.0,16.085,47.555,1012.88873,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2342.0,0.0
36,2394.0,16.063,47.555,1012.8705,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2394.0,0.0
37,2445.0,16.063,47.555,1012.8705,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2445.0,0.0
38,2495.0,16.085,47.547,1012.91547,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2495.0,0.0
39,2546.0,16.106,47.532,1012.91064,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2546.0,0.0
40,2597.0,16.085,47.532,1012.8972,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2597.0,0.0
41,2649.0,16.096,47.57,1012.8972,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2649.0,0.0
42,2699.0,16.096,47.555,1012.8753,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2699.0,0.0
43,2750.0,16.096,47.532,1012.8839,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2750.0,0.0
44,2801.0,16.074,47.547,1012.9462,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2801.0,0.0
45,2851.0,16.074,47.547,1012.9462,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2851.0,0.0
46,2903.0,16.096,47.555,1012.91547,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2903.0,0.0
47,2954.0,16.085,47.524,1012.91956,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,2954.0,0.0
48,3004.0,16.085,47.562,1012.933,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3004.0,0.0
49,3055.0,16.074,47.547,1012.933,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3055.0,0.0
50,3106.0,16.085,47.547,1012.8486,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3106.0,0.0
51,3156.0,16.074,47.57,1012.86206,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3156.0,0.0
52,3208.0,16.085,47.555,1012.9288,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3208.0,0.0
53,3259.0,16.106,47.555,1012.9244,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3259.0,0.0
54,3310.0,16.085,47.547,1012.8972,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3310.0,0.0
55,3360.0,16.085,47.532,1012.9288,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3360.0,0.0
56,3411.0,16.106,47.547,1012.9288,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3411.0,0.0
57,3463.0,16.085,47.547,1012.90204,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3463.0,0.0
58,3513.0,16.085,47.547,1012.8843,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3513.0,0.0
59,3564.0,16.085,47.547,1012.89813,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3564.0,0.0
60,3615.0,16.096,47.562,1012.89813,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3615.0,0.0
61,3665.0,16.085,47.562,1012.91565,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3665.0,0.0
62,3717.0,16.085,47.539,1012.85315,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3717.0,0.0
63,3768.0,16.085,47.532,1012.9423,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3768.0,0.0
64,3818.0,16.096,47.562,1012.9423,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3818.0,0.0
65,3869.0,16.085,47.539,1012.8755,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3869.0,0.0
66,3920.0,16.117,47.539,1012.8933,1.2164,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3920.0,0.0
67,3972.0,16.074,47.555,1012.84467,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,3972.0,0.0
68,4022.0,16.085,47.562,1012.84467,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4022.0,0.0
69,4073.0,16.106,47.547,1012.90216,1.2164,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4073.0,0.0
70,4124.0,16.085,47.532,1012.8402,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4124.0,0.0
71,4174.0,16.085,47.547,1012.8803,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4174.0,0.0
72,4226.0,16.096,47.547,1012.88477,1.2165,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,4226.0,0.0
73,4277.0,16.106,47.539,1012.8933,1.2164,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4277.0,0.0
74,4328.0,16.085,47.547,1012.84467,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4328.0,0.0
75,4378.0,16.085,47.539,1012.84467,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4378.0,0.0
76,4429.0,16.074,47.562,1012.89813,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4429.0,0.0
77,4481.0,16.085,47.555,1012.867,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4481.0,0.0
78,4532.0,16.085,47.555,1012.91156,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4532.0,0.0
79,4583.0,16.085,47.547,1012.91156,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4583.0,0.0
80,4633.0,16.085,47.555,1012.89813,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4633.0,0.0
81,4684.0,16.085,47.562,1012.8536,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4684.0,0.0
82,4736.0,16.085,47.57,1012.8714,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4736.0,0.0
83,4787.0,16.096,47.547,1012.8714,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4787.0,0.0
84,4838.0,16.096,47.547,1012.818,1.2164,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4838.0,0.0
85,4888.0,16.085,47.562,1012.91156,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4888.0,0.0
86,4939.0,16.106,47.547,1012.8803,1.2164,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4939.0,0.0
87,4990.0,16.085,47.547,1012.8803,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,4990.0,0.0
88,5042.0,16.074,47.57,1012.8759,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5042.0,0.0
89,5093.0,16.085,47.555,1012.90704,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5093.0,0.0
90,5143.0,16.106,47.562,1012.8402,1.2164,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5143.0,0.0
91,5194.0,16.085,47.547,1012.8402,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5194.0,0.0
92,5245.0,16.085,47.547,1012.8843,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5245.0,0.0
93,5297.0,16.085,47.547,1012.9288,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5297.0,0.0
94,5348.0,16.096,47.57,1012.9288,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5348.0,0.0
95,5399.0,16.085,47.555,1012.8666,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5399.0,0.0
96,5449.0,16.053,47.555,1012.93335,1.2167,1.0,14.0,1.282,220.0,0.0,560.72,0.0,0.0,5449.0,0.0
97,5500.0,16.096,47.57,1012.8843,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5500.0,0.0
98,5552.0,16.085,47.562,1012.8843,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5552.0,0.0
99,5603.0,16.085,47.555,1012.87994,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5603.0,0.0
100,5654.0,16.085,47.57,1012.8843,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5654.0,0.0
101,5704.0,16.085,47.562,1012.8889,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5704.0,0.0
102,5755.0,16.085,47.547,1012.8889,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5755.0,0.0
103,5807.0,16.106,47.555,1012.8889,1.2164,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5807.0,0.0
104,5858.0,16.085,47.562,1012.91956,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5858.0,0.0
105,5909.0,16.085,47.562,1012.93335,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5909.0,0.0
106,5959.0,16.096,47.562,1012.93335,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,5959.0,0.0
107,6010.0,16.085,47.562,1012.8843,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6010.0,0.0
108,6062.0,16.085,47.57,1012.8753,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6062.0,0.0
109,6113.0,16.096,47.555,1012.89764,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6113.0,0.0
110,6164.0,16.096,47.555,1012.89764,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6164.0,0.0
111,6214.0,16.096,47.555,1012.89764,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6214.0,0.0
112,6265.0,16.085,47.57,1012.933,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6265.0,0.0
113,6317.0,16.085,47.547,1012.9244,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6317.0,0.0
114,6368.0,16.096,47.555,1012.9244,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6368.0,0.0
115,6419.0,16.085,47.555,1012.88873,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6419.0,0.0
116,6469.0,16.096,47.57,1012.89764,1.2165,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6469.0,0.0
117,6520.0,16.074,47.539,1012.89764,1.2166,1.0,14.0,1.282,220.0,0.0,560.71,0.0,0.0,6520.0,0.0
118,6572.0,16.117,47.562,1012.8621,1.2163,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,6572.0,0.0
119,6623.0,16.085,47.562,1012.911,1.2166,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,6623.0,0.0
