Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,581.0,270.207,27.405,1022.40607,1.1893,19.375,17.375,16.875,270.0,0.0,471.67,0.0,0.0,581.0,0.0
1,641.0,270.207,27.428,1022.40955,1.1893,17.5,13.625,17.5,270.0,0.0,487.78,0.0,0.0,641.0,0.0
2,701.0,270.207,27.436,1022.4534,1.1894,19.0,19.625,19.0,270.0,0.0,474.84,0.0,0.0,701.0,0.0
3,761.0,270.207,27.421,1022.40735,1.1893,17.5,17.625,17.5,270.0,0.0,487.77,0.0,0.0,761.0,0.0
4,822.0,270.207,27.421,1022.4294,1.1893,17.5,18.125,17.0,270.0,0.0,487.77,0.0,0.0,822.0,0.0
5,882.0,270.207,27.428,1022.40674,1.1893,17.5,15.25,17.75,270.0,0.0,487.78,0.0,0.0,882.0,0.0
6,942.0,270.207,27.428,1022.3795,1.1893,17.5,17.625,16.375,270.0,0.0,487.78,0.0,0.0,942.0,0.0
7,1002.0,270.207,27.413,1022.40576,1.1894,17.5,18.125,18.125,270.0,0.0,487.78,0.0,0.0,1002.0,0.0
8,1062.0,270.207,27.428,1022.437,1.1893,17.5,17.25,17.375,270.0,0.0,487.78,0.0,0.0,1062.0,0.0
9,1123.0,270.207,27.421,1022.4278,1.1894,17.5,17.25,17.0,270.0,0.0,487.79,0.0,0.0,1123.0,0.0
10,1183.0,270.207,27.436,1022.4367,1.1893,17.5,17.375,16.75,270.0,0.0,487.77,0.0,0.0,1183.0,0.0
11,1244.0,270.207,27.421,1022.36884,1.1894,17.5,17.875,17.875,270.0,0.0,487.78,0.0,0.0,1244.0,0.0
12,1304.0,270.207,27.436,1022.3552,1.1893,17.5,17.0,17.125,270.0,0.0,487.77,0.0,0.0,1304.0,0.0
13,1363.0,270.207,27.428,1022.4136,1.1893,17.375,18.625,16.5,270.0,0.0,488.88,0.0,0.0,1363.0,0.0
14,1424.0,270.207,27.436,1022.4136,1.1893,17.375,17.625,17.375,270.0,0.0,488.88,0.0,0.0,1424.0,0.0
15,1484.0,270.207,27.436,1022.3865,1.1893,17.375,17.5,17.625,270.0,0.0,488.88,0.0,0.0,1484.0,0.0
16,1545.0,270.207,27.436,1022.4316,1.1894,17.375,17.375,17.125,270.0,0.0,488.9,0.0,0.0,1545.0,0.0
17,1605.0,270.207,27.428,1022.418,1.1893,17.375,17.75,17.375,270.0,0.0,488.88,0.0,0.0,1605.0,0.0
18,1666.0,270.207,27.428,1022.4496,1.1893,17.375,18.125,16.125,270.0,0.0,488.88,0.0,0.0,1666.0,0.0
19,1726.0,270.207,27.428,1022.4224,1.1893,17.375,18.125,17.375,270.0,0.0,488.88,0.0,0.0,1726.0,0.0
20,1786.0,270.207,27.428,1022.40894,1.1894,17.375,20.125,13.875,270.0,0.0,488.89,0.0,0.0,1786.0,0.0
21,1847.0,270.207,27.428,1022.40894,1.1894,17.375,17.875,17.875,270.0,0.0,488.89,0.0,0.0,1847.0,0.0
22,1907.0,270.207,27.436,1022.4,1.1894,17.375,17.125,17.375,270.0,0.0,488.88,0.0,0.0,1907.0,0.0
23,1968.0,270.207,27.428,1022.4224,1.1893,17.375,17.5,17.625,270.0,0.0,488.88,0.0,0.0,1968.0,0.0
24,2028.0,270.207,27.436,1022.40894,1.1893,17.375,17.25,16.875,270.0,0.0,488.87,0.0,0.0,2028.0,0.0
25,2088.0,270.207,27.443,1022.45404,1.1894,17.375,17.75,17.375,270.0,0.0,488.89,0.0,0.0,2088.0,0.0
26,2149.0,270.207,27.443,1022.39966,1.1893,17.375,18.25,17.5,270.0,0.0,488.88,0.0,0.0,2149.0,0.0
27,2209.0,270.207,27.428,1022.39966,1.1894,17.375,18.125,17.375,270.0,0.0,488.88,0.0,0.0,2209.0,0.0
28,2270.0,270.207,27.436,1022.43604,1.1894,17.375,11.25,19.5,270.0,0.0,488.89,0.0,0.0,2270.0,0.0
29,2330.0,270.207,27.436,1022.43604,1.1894,17.375,15.875,16.5,270.0,0.0,488.88,0.0,0.0,2330.0,0.0
30,2391.0,270.207,27.436,1022.41327,1.1893,17.375,16.875,16.75,270.0,0.0,488.87,0.0,0.0,2391.0,0.0
31,2451.0,270.207,27.443,1022.4218,1.1892,17.375,17.5,18.125,270.0,0.0,488.87,0.0,0.0,2451.0,0.0
32,2511.0,270.207,27.428,1022.4405,1.1895,17.375,16.5,16.875,270.0,0.0,488.9,0.0,0.0,2511.0,0.0
33,2572.0,270.207,27.436,1022.39026,1.1893,17.375,18.5,14.375,270.0,0.0,488.87,0.0,0.0,2572.0,0.0
