Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,1543572.0,270.207,44.19,1018.483,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,51.0,0.0
1,1543623.0,270.207,44.167,1018.4967,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,102.0,0.0
2,1543674.0,270.207,44.182,1018.53656,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,153.0,0.0
3,1543726.0,270.207,44.182,1018.5145,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,205.0,0.0
4,1543776.0,270.207,44.182,1018.5145,1.2169,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,255.0,0.0
5,1543827.0,270.207,44.182,1018.461,1.2167,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,306.0,0.0
6,1543878.0,270.207,44.19,1018.52795,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,357.0,0.0
7,1543929.0,270.207,44.19,1018.4919,1.2169,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,408.0,0.0
8,1543981.0,270.207,44.167,1018.4919,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,460.0,0.0
9,1544032.0,270.207,44.19,1018.48737,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,511.0,0.0
10,1544082.0,270.207,44.182,1018.53204,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,561.0,0.0
11,1544133.0,270.207,44.175,1018.53204,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,612.0,0.0
12,1544184.0,270.207,44.19,1018.5145,1.2167,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,663.0,0.0
13,1544236.0,270.207,44.182,1018.51416,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,715.0,0.0
14,1544287.0,270.207,44.19,1018.4919,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,766.0,0.0
15,1544337.0,270.207,44.19,1018.4919,1.2167,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,816.0,0.0
16,1544388.0,270.207,44.182,1018.49634,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,867.0,0.0
17,1544439.0,270.207,44.19,1018.52313,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,918.0,0.0
18,1544491.0,270.207,44.182,1018.46954,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,970.0,0.0
19,1544542.0,270.207,44.182,1018.46954,1.2167,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1021.0,0.0
20,1544593.0,270.207,44.19,1018.5008,1.2169,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1072.0,0.0
21,1544643.0,270.207,44.167,1018.5544,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1122.0,0.0
22,1544694.0,270.207,44.182,1018.52313,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1173.0,0.0
23,1544745.0,270.207,44.167,1018.52313,1.2168,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1224.0,0.0
