Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,1004657.0,270.207,43.847,1018.76544,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,50.0,0.0
1,1004708.0,270.207,43.839,1018.76544,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,101.0,0.0
2,1004760.0,270.207,43.831,1018.7431,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,153.0,0.0
3,1004811.0,270.207,43.839,1018.7609,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,204.0,0.0
4,1004862.0,270.207,43.831,1018.7342,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,255.0,0.0
5,1004912.0,270.207,43.839,1018.7342,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,305.0,0.0
6,1004963.0,270.207,43.847,1018.7118,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,356.0,0.0
7,1005015.0,270.207,43.839,1018.77875,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,408.0,0.0
8,1005066.0,270.207,43.847,1018.685,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,459.0,0.0
9,1005117.0,270.207,43.847,1018.685,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,510.0,0.0
10,1005168.0,270.207,43.839,1018.70734,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,561.0,0.0
11,1005218.0,270.207,43.847,1018.72516,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,611.0,0.0
12,1005270.0,270.207,43.847,1018.72516,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,663.0,0.0
13,1005321.0,270.207,43.854,1018.7475,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,714.0,0.0
14,1005372.0,270.207,43.839,1018.7342,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,765.0,0.0
15,1005423.0,270.207,43.847,1018.76544,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,816.0,0.0
16,1005474.0,270.207,43.839,1018.76544,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,867.0,0.0
17,1005524.0,270.207,43.831,1018.6717,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,917.0,0.0
18,1005576.0,270.207,43.847,1018.7475,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,969.0,0.0
19,1005627.0,270.207,43.847,1018.7342,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1020.0,0.0
20,1005678.0,270.207,43.862,1018.7342,1.2167,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1071.0,0.0
21,1005729.0,270.207,43.847,1018.69836,1.2165,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1122.0,0.0
22,1005779.0,270.207,43.839,1018.7427,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1172.0,0.0
23,1005831.0,270.207,43.847,1018.752,1.2167,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1224.0,0.0
24,1005882.0,270.207,43.862,1018.752,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1275.0,0.0
25,1005933.0,270.207,43.847,1018.70734,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1326.0,0.0
26,1005984.0,270.207,43.847,1018.7118,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1377.0,0.0
27,1006035.0,270.207,43.847,1018.7609,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1428.0,0.0
28,1006086.0,270.207,43.847,1018.7609,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1479.0,0.0
29,1006137.0,270.207,43.847,1018.7386,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1530.0,0.0
30,1006188.0,270.207,43.854,1018.7561,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1581.0,0.0
31,1006239.0,270.207,43.839,1018.78296,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1632.0,0.0
32,1006290.0,270.207,43.847,1018.78296,1.2166,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1683.0,0.0
