Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,26.925,1022.4984,1.1918,0.0,14.0,7.512,270.0,0.0,369.06,0.0,0.0,563.0,0.0
1,614.0,270.207,26.917,1022.5386,1.1918,0.0,14.0,7.346,270.0,0.0,378.51,0.0,0.0,614.0,0.0
2,664.0,270.207,26.925,1022.52374,1.1918,0.0,14.0,7.163,270.0,0.0,388.91,0.0,0.0,664.0,0.0
3,715.0,270.207,26.925,1022.52374,1.1918,0.0,14.0,6.98,270.0,0.0,399.31,0.0,0.0,715.0,0.0
4,766.0,270.207,26.925,1022.4964,1.1917,0.0,14.0,6.831,270.0,0.0,407.81,0.0,0.0,766.0,0.0
5,818.0,270.207,26.925,1022.5223,1.1918,0.0,14.0,6.631,270.0,0.0,419.16,0.0,0.0,818.0,0.0
6,869.0,270.207,26.917,1022.48157,1.1917,0.0,14.0,6.482,270.0,0.0,427.67,0.0,0.0,869.0,0.0
7,919.0,270.207,26.917,1022.48157,1.1918,0.0,14.0,6.282,270.0,0.0,439.01,0.0,0.0,919.0,0.0
8,970.0,270.207,26.925,1022.5261,1.1917,0.0,14.0,6.149,270.0,0.0,446.57,0.0,0.0,970.0,0.0
9,1021.0,270.207,26.917,1022.5078,1.1917,0.0,14.0,5.95,270.0,0.0,457.92,0.0,0.0,1021.0,0.0
10,1073.0,270.207,26.917,1022.48065,1.1917,0.0,14.0,5.817,270.0,0.0,465.48,0.0,0.0,1073.0,0.0
11,1124.0,270.207,26.917,1022.46735,1.1916,0.0,14.0,5.651,270.0,0.0,474.93,0.0,0.0,1124.0,0.0
12,1174.0,270.207,26.917,1022.54407,1.1917,0.0,14.0,5.484,270.0,0.0,484.38,0.0,0.0,1174.0,0.0
13,1225.0,270.207,26.925,1022.50275,1.1917,0.0,14.0,5.352,270.0,0.0,491.95,0.0,0.0,1225.0,0.0
14,1276.0,270.207,26.925,1022.50275,1.1917,0.0,14.0,5.185,270.0,0.0,501.4,0.0,0.0,1276.0,0.0
15,1328.0,270.207,26.925,1022.498,1.1917,0.0,14.0,5.069,270.0,0.0,508.02,0.0,0.0,1328.0,0.0
16,1379.0,270.207,26.925,1022.5658,1.1918,0.0,14.0,4.903,270.0,0.0,517.47,0.0,0.0,1379.0,0.0
17,1429.0,270.207,26.925,1022.5207,1.1917,0.0,14.0,4.82,270.0,0.0,522.2,0.0,0.0,1429.0,0.0
18,1480.0,270.207,26.917,1022.5207,1.1918,0.0,14.0,4.653,270.0,0.0,531.65,0.0,0.0,1480.0,0.0
19,1531.0,270.207,26.925,1022.498,1.1917,0.0,14.0,4.554,270.0,0.0,537.32,0.0,0.0,1531.0,0.0
20,1583.0,270.207,26.925,1022.5207,1.1917,0.0,14.0,4.421,270.0,0.0,544.89,0.0,0.0,1583.0,0.0
21,1634.0,270.207,26.932,1022.48,1.1917,0.0,14.0,4.321,270.0,0.0,550.56,0.0,0.0,1634.0,0.0
22,1685.0,270.207,26.925,1022.48,1.1917,0.0,14.0,4.205,270.0,0.0,557.17,0.0,0.0,1685.0,0.0
23,1735.0,270.207,26.917,1022.47095,1.1917,0.0,14.0,4.105,270.0,0.0,562.85,0.0,0.0,1735.0,0.0
24,1786.0,270.207,26.932,1022.475,1.1917,0.0,14.0,4.022,270.0,0.0,567.57,0.0,0.0,1786.0,0.0
25,1838.0,270.207,26.917,1022.475,1.1917,0.0,14.0,3.906,270.0,0.0,574.19,0.0,0.0,1838.0,0.0
26,1889.0,270.207,26.917,1022.5156,1.1917,0.0,14.0,3.839,270.0,0.0,577.97,0.0,0.0,1889.0,0.0
27,1940.0,270.207,26.925,1022.5201,1.1917,0.0,14.0,3.723,270.0,0.0,584.59,0.0,0.0,1940.0,0.0
28,1990.0,270.207,26.925,1022.4794,1.1917,0.0,14.0,3.673,270.0,0.0,587.42,0.0,0.0,1990.0,0.0
29,2041.0,270.207,26.932,1022.4794,1.1917,0.0,14.0,3.59,270.0,0.0,592.15,0.0,0.0,2041.0,0.0
30,2093.0,270.207,26.925,1022.4794,1.1916,0.0,14.0,3.54,270.0,0.0,594.99,0.0,0.0,2093.0,0.0
31,2144.0,270.207,26.925,1022.52454,1.1917,0.0,14.0,3.457,270.0,0.0,599.71,0.0,0.0,2144.0,0.0
32,2195.0,270.207,26.932,1022.4794,1.1917,0.0,14.0,3.407,270.0,0.0,602.55,0.0,0.0,2195.0,0.0
33,2245.0,270.207,26.932,1022.4794,1.1917,0.0,14.0,3.357,270.0,0.0,605.39,0.0,0.0,2245.0,0.0
34,2296.0,270.207,26.932,1022.53815,1.1918,0.0,14.0,3.291,270.0,0.0,609.17,0.0,0.0,2296.0,0.0
35,2348.0,270.207,26.925,1022.53815,1.1917,0.0,14.0,3.274,270.0,0.0,610.11,0.0,0.0,2348.0,0.0
36,2399.0,270.207,26.932,1022.55164,1.1916,0.0,14.0,3.191,270.0,0.0,614.84,0.0,0.0,2399.0,0.0
37,2450.0,270.207,26.94,1022.55164,1.1918,0.0,14.0,3.191,270.0,0.0,614.84,0.0,0.0,2450.0,0.0
38,2501.0,270.207,26.94,1022.4838,1.1917,0.0,14.0,3.108,270.0,0.0,619.57,0.0,0.0,2501.0,0.0
39,2551.0,270.207,26.932,1022.5652,1.1918,0.0,14.0,3.108,270.0,0.0,619.57,0.0,0.0,2551.0,0.0
40,2603.0,270.207,26.948,1022.5652,1.1917,0.0,14.0,3.058,270.0,0.0,622.4,0.0,0.0,2603.0,0.0
41,2654.0,270.207,26.925,1022.5018,1.1917,0.0,14.0,3.041,270.0,0.0,623.35,0.0,0.0,2654.0,0.0
42,2705.0,270.207,26.94,1022.53296,1.1918,0.0,14.0,3.025,270.0,0.0,624.29,0.0,0.0,2705.0,0.0
43,2756.0,270.207,26.94,1022.5018,1.1917,0.0,14.0,2.958,270.0,0.0,628.07,0.0,0.0,2756.0,0.0
44,2807.0,270.207,26.925,1022.5018,1.1917,0.0,14.0,2.975,270.0,0.0,627.13,0.0,0.0,2807.0,0.0
45,2857.0,270.207,26.94,1022.5066,1.1917,0.0,14.0,2.925,270.0,0.0,629.96,0.0,0.0,2857.0,0.0
