Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,47.509,1021.88873,1.2317,18.75,14.0,5.518,270.0,0.0,482.49,0.0,0.0,563.0,0.0
1,614.0,270.207,47.509,1021.8618,1.2316,18.75,14.0,5.518,270.0,0.0,482.48,0.0,0.0,614.0,0.0
2,664.0,270.207,47.509,1021.8611,1.2315,18.75,14.0,5.518,270.0,0.0,482.46,0.0,0.0,664.0,0.0
3,715.0,270.207,47.486,1021.8611,1.2317,18.625,14.0,5.499,270.0,0.0,483.53,0.0,0.0,715.0,0.0
4,766.0,270.207,47.501,1021.8519,1.2316,18.625,14.0,5.5,270.0,0.0,483.52,0.0,0.0,766.0,0.0
5,818.0,270.207,47.493,1021.8691,1.2316,18.625,14.0,5.5,270.0,0.0,483.52,0.0,0.0,818.0,0.0
6,869.0,270.207,47.509,1021.8516,1.2316,18.625,14.0,5.5,270.0,0.0,483.53,0.0,0.0,869.0,0.0
7,919.0,270.207,47.501,1021.8516,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,919.0,0.0
8,970.0,270.207,47.493,1021.89575,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,970.0,0.0
9,1021.0,270.207,47.493,1021.86884,1.2316,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1021.0,0.0
10,1073.0,270.207,47.509,1021.86884,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1073.0,0.0
11,1124.0,270.207,47.501,1021.86884,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1124.0,0.0
12,1175.0,270.207,47.509,1021.83765,1.2316,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1175.0,0.0
13,1226.0,270.207,47.509,1021.8684,1.2317,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1226.0,0.0
14,1276.0,270.207,47.486,1021.8329,1.2315,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1276.0,0.0
15,1328.0,270.207,47.501,1021.8329,1.2315,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1328.0,0.0
16,1379.0,270.207,47.493,1021.85956,1.2317,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1379.0,0.0
17,1430.0,270.207,47.493,1021.8684,1.2316,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1430.0,0.0
18,1481.0,270.207,47.493,1021.8284,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1481.0,0.0
19,1532.0,270.207,47.524,1021.8284,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1532.0,0.0
20,1584.0,270.207,47.486,1021.83734,1.2316,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1584.0,0.0
21,1635.0,270.207,47.516,1021.8773,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1635.0,0.0
22,1686.0,270.207,47.524,1021.8773,1.2317,18.5,14.0,5.481,270.0,0.0,484.59,0.0,0.0,1686.0,0.0
23,1737.0,270.207,47.509,1021.89514,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1737.0,0.0
24,1788.0,270.207,47.501,1021.83734,1.2316,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1788.0,0.0
25,1840.0,270.207,47.509,1021.8329,1.2315,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,1840.0,0.0
26,1891.0,270.207,47.509,1021.8329,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1891.0,0.0
27,1942.0,270.207,47.509,1021.9085,1.2317,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1942.0,0.0
28,1993.0,270.207,47.509,1021.9085,1.2317,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,1993.0,0.0
29,2044.0,270.207,47.509,1021.8773,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,2044.0,0.0
30,2096.0,270.207,47.493,1021.8773,1.2318,18.5,14.0,5.481,270.0,0.0,484.6,0.0,0.0,2096.0,0.0
31,2147.0,270.207,47.493,1021.8418,1.2315,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,2147.0,0.0
32,2198.0,270.207,47.509,1021.85065,1.2315,18.625,14.0,5.5,270.0,0.0,483.52,0.0,0.0,2198.0,0.0
33,2249.0,270.207,47.493,1021.91266,1.2317,18.5,14.0,5.481,270.0,0.0,484.59,0.0,0.0,2249.0,0.0
34,2300.0,270.207,47.478,1021.91266,1.2316,18.5,14.0,5.481,270.0,0.0,484.57,0.0,0.0,2300.0,0.0
35,2352.0,270.207,47.493,1021.8819,1.2316,18.5,14.0,5.481,270.0,0.0,484.58,0.0,0.0,2352.0,0.0
36,2403.0,270.207,47.493,1021.9219,1.2317,18.625,14.0,5.499,270.0,0.0,483.53,0.0,0.0,2403.0,0.0
37,2454.0,270.207,47.493,1021.8684,1.2317,18.625,14.0,5.499,270.0,0.0,483.54,0.0,0.0,2454.0,0.0
38,2505.0,270.207,47.509,1021.8684,1.2317,18.625,14.0,5.499,270.0,0.0,483.54,0.0,0.0,2505.0,0.0
39,2556.0,270.207,47.501,1021.9219,1.2316,18.625,14.0,5.5,270.0,0.0,483.52,0.0,0.0,2556.0,0.0
40,2608.0,270.207,47.501,1021.8681,1.2316,18.625,14.0,5.5,270.0,0.0,483.52,0.0,0.0,2608.0,0.0
41,2659.0,270.207,47.509,1021.89514,1.2316,18.625,14.0,5.5,270.0,0.0,483.52,0.0,0.0,2659.0,0.0
42,2710.0,270.207,47.516,1021.89514,1.2316,18.625,14.0,5.499,270.0,0.0,483.53,0.0,0.0,2710.0,0.0
