Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,1580.0,270.207,43.938,1018.39813,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,52.0,0.0
1,1631.0,270.207,43.931,1018.3937,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,103.0,0.0
2,1681.0,270.207,43.931,1018.3937,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,153.0,0.0
3,1732.0,270.207,43.931,1018.39813,1.2151,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,204.0,0.0
4,1783.0,270.207,43.938,1018.40674,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,255.0,0.0
5,1833.0,270.207,43.931,1018.3574,1.2151,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,305.0,0.0
6,1885.0,270.207,43.946,1018.3574,1.2151,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,357.0,0.0
7,1936.0,270.207,43.923,1018.3486,1.2151,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,408.0,0.0
8,1986.0,270.207,43.931,1018.42,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,458.0,0.0
9,2037.0,270.207,43.915,1018.42456,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,509.0,0.0
10,2088.0,270.207,43.931,1018.42456,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,560.0,0.0
11,2139.0,270.207,43.931,1018.4289,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,611.0,0.0
12,2190.0,270.207,43.946,1018.36597,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,662.0,0.0
13,2241.0,270.207,43.946,1018.36597,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,713.0,0.0
14,2291.0,270.207,43.923,1018.4289,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,763.0,0.0
15,2342.0,270.207,43.946,1018.4196,1.2152,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,814.0,0.0
16,2394.0,270.207,43.946,1018.4464,1.2153,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,866.0,0.0
