Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,43.946,1018.76514,1.2175,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,563.0,0.0
1,613.0,270.207,43.946,1018.84015,1.2177,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,613.0,0.0
2,664.0,270.207,43.938,1018.79095,1.2176,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,664.0,0.0
3,714.0,270.207,43.953,1018.79095,1.2176,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,714.0,0.0
4,765.0,270.207,43.946,1018.79047,1.2175,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,765.0,0.0
5,817.0,270.207,43.938,1018.8525,1.2177,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,817.0,0.0
6,868.0,270.207,43.946,1018.8789,1.2177,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,868.0,0.0
7,918.0,270.207,43.938,1018.8789,1.2176,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,918.0,0.0
8,969.0,270.207,43.938,1018.84314,1.2176,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,969.0,0.0
9,1020.0,270.207,43.946,1018.8561,1.2176,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,1020.0,0.0
10,1072.0,270.207,43.931,1018.7976,1.2175,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,1072.0,0.0
11,1122.0,270.207,43.938,1018.7976,1.2175,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,1122.0,0.0
12,1173.0,270.207,43.946,1018.83325,1.2176,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,1173.0,0.0
13,1227.0,270.207,43.946,1018.87787,1.2177,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,1227.0,0.0
14,1278.0,270.207,43.946,1018.89575,1.2177,0.125,14.0,0.453,270.0,0.0,770.55,0.0,0.0,1278.0,0.0
