Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,44.48,1018.9851,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,563.0,0.0
1,613.0,270.207,44.48,1018.98865,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,613.0,0.0
2,664.0,270.207,44.472,1018.97034,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,664.0,0.0
3,714.0,270.207,44.472,1018.97034,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,714.0,0.0
4,765.0,270.207,44.465,1018.97437,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,765.0,0.0
5,817.0,270.207,44.472,1018.9918,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,817.0,0.0
6,867.0,270.207,44.48,1018.9869,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,867.0,0.0
7,918.0,270.207,44.465,1018.9869,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,918.0,0.0
8,968.0,270.207,44.465,1018.9373,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,968.0,0.0
9,1019.0,270.207,44.465,1018.9597,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1019.0,0.0
10,1071.0,270.207,44.472,1018.9641,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1071.0,0.0
11,1121.0,270.207,44.48,1018.9641,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1121.0,0.0
12,1172.0,270.207,44.465,1018.99097,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1172.0,0.0
13,1223.0,270.207,44.48,1018.9592,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1223.0,0.0
14,1273.0,270.207,44.472,1018.9592,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1273.0,0.0
15,1325.0,270.207,44.48,1019.0128,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1325.0,0.0
16,1376.0,270.207,44.48,1018.97705,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1376.0,0.0
17,1426.0,270.207,44.48,1019.02625,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1426.0,0.0
18,1477.0,270.207,44.48,1019.02625,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1477.0,0.0
19,1528.0,270.207,44.472,1019.0039,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1528.0,0.0
20,1579.0,270.207,44.465,1018.9588,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1579.0,0.0
21,1630.0,270.207,44.465,1018.9325,1.2208,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1630.0,0.0
22,1681.0,270.207,44.48,1018.9325,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1681.0,0.0
23,1731.0,270.207,44.457,1018.9905,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1731.0,0.0
24,1782.0,270.207,44.465,1018.99493,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1782.0,0.0
25,1833.0,270.207,44.457,1019.0039,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1833.0,0.0
26,1884.0,270.207,44.48,1019.0039,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1884.0,0.0
27,1935.0,270.207,44.48,1018.9637,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1935.0,0.0
28,1986.0,270.207,44.472,1018.98157,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1986.0,0.0
29,2036.0,270.207,44.48,1018.9547,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2036.0,0.0
30,2087.0,270.207,44.465,1018.9547,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2087.0,0.0
31,2139.0,270.207,44.48,1018.9588,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2139.0,0.0
32,2190.0,270.207,44.488,1018.90967,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2190.0,0.0
33,2240.0,270.207,44.495,1018.90967,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2240.0,0.0
34,2291.0,270.207,44.472,1019.0168,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2291.0,0.0
35,2342.0,270.207,44.48,1018.9455,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2342.0,0.0
36,2393.0,270.207,44.48,1018.96814,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2393.0,0.0
37,2444.0,270.207,44.48,1018.96814,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2444.0,0.0
38,2495.0,270.207,44.48,1018.9547,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2495.0,0.0
39,2545.0,270.207,44.48,1018.98157,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2545.0,0.0
40,2596.0,270.207,44.472,1018.9235,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2596.0,0.0
41,2648.0,270.207,44.488,1018.9235,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2648.0,0.0
42,2698.0,270.207,44.472,1018.932,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2698.0,0.0
43,2749.0,270.207,44.488,1018.9766,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2749.0,0.0
44,2800.0,270.207,44.465,1018.9455,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2800.0,0.0
45,2850.0,270.207,44.48,1018.9455,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2850.0,0.0
46,2902.0,270.207,44.48,1018.99,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2902.0,0.0
47,2952.0,270.207,44.503,1018.96814,1.2206,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2952.0,0.0
48,3003.0,270.207,44.488,1018.9588,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3003.0,0.0
49,3054.0,270.207,44.472,1018.9588,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3054.0,0.0
50,3105.0,270.207,44.48,1018.9275,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3105.0,0.0
51,3155.0,270.207,44.48,1018.9856,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3155.0,0.0
52,3207.0,270.207,44.48,1018.9856,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3207.0,0.0
53,3258.0,270.207,44.48,1019.0034,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3258.0,0.0
54,3308.0,270.207,44.503,1018.9766,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3308.0,0.0
55,3359.0,270.207,44.48,1018.97217,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3359.0,0.0
56,3410.0,270.207,44.495,1018.97217,1.2207,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3410.0,0.0
