Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,42.717,1018.2553,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,563.0,0.0
1,613.0,270.207,42.71,1018.2547,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,613.0,0.0
2,664.0,270.207,42.717,1018.2452,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,664.0,0.0
3,714.0,270.207,42.71,1018.2452,1.2116,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,714.0,0.0
4,765.0,270.207,42.717,1018.2,1.2116,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,765.0,0.0
5,817.0,270.207,42.71,1018.1816,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,817.0,0.0
6,867.0,270.207,42.717,1018.2173,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,867.0,0.0
7,918.0,270.207,42.695,1018.2173,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,918.0,0.0
8,969.0,270.207,42.71,1018.23474,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,969.0,0.0
9,1019.0,270.207,42.717,1018.22577,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1019.0,0.0
10,1071.0,270.207,42.717,1018.2078,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1071.0,0.0
11,1122.0,270.207,42.71,1018.2078,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1122.0,0.0
12,1172.0,270.207,42.695,1018.2029,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1172.0,0.0
13,1223.0,270.207,42.717,1018.22516,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1223.0,0.0
14,1274.0,270.207,42.71,1018.22516,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1274.0,0.0
15,1326.0,270.207,42.71,1018.1934,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1326.0,0.0
16,1376.0,270.207,42.702,1018.22906,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1376.0,0.0
17,1427.0,270.207,42.717,1018.2023,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1427.0,0.0
18,1478.0,270.207,42.71,1018.2023,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1478.0,0.0
19,1528.0,270.207,42.71,1018.22906,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1528.0,0.0
20,1580.0,270.207,42.695,1018.2332,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1580.0,0.0
21,1631.0,270.207,42.71,1018.21075,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1631.0,0.0
22,1681.0,270.207,42.695,1018.21075,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1681.0,0.0
23,1732.0,270.207,42.71,1018.21515,1.2116,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1732.0,0.0
24,1783.0,270.207,42.702,1018.2018,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1783.0,0.0
25,1833.0,270.207,42.71,1018.2286,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1833.0,0.0
26,1885.0,270.207,42.71,1018.2286,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1885.0,0.0
27,1936.0,270.207,42.702,1018.21515,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1936.0,0.0
28,1987.0,270.207,42.695,1018.23315,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1987.0,0.0
29,2037.0,270.207,42.702,1018.2332,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2037.0,0.0
30,2088.0,270.207,42.695,1018.2332,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2088.0,0.0
31,2140.0,270.207,42.71,1018.2018,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2140.0,0.0
32,2190.0,270.207,42.702,1018.1973,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2190.0,0.0
33,2241.0,270.207,42.71,1018.1973,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2241.0,0.0
34,2292.0,270.207,42.71,1018.1705,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2292.0,0.0
35,2342.0,270.207,42.702,1018.23315,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2342.0,0.0
36,2397.0,270.207,42.71,1018.1749,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2397.0,0.0
37,2448.0,270.207,42.71,1018.1749,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2448.0,0.0
38,2498.0,270.207,42.695,1018.2018,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2498.0,0.0
39,2549.0,270.207,42.71,1018.16595,1.2113,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2549.0,0.0
40,2600.0,270.207,42.71,1018.22424,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2600.0,0.0
41,2651.0,270.207,42.717,1018.22424,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2651.0,0.0
42,2702.0,270.207,42.71,1018.15704,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2702.0,0.0
43,2753.0,270.207,42.71,1018.15656,1.2113,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2753.0,0.0
44,2803.0,270.207,42.71,1018.23315,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2803.0,0.0
45,2854.0,270.207,42.71,1018.23315,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2854.0,0.0
46,2906.0,270.207,42.717,1018.18835,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2906.0,0.0
47,2956.0,270.207,42.71,1018.1928,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2956.0,0.0
48,3007.0,270.207,42.702,1018.2018,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3007.0,0.0
49,3058.0,270.207,42.71,1018.2018,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3058.0,0.0
50,3109.0,270.207,42.71,1018.21967,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3109.0,0.0
51,3160.0,270.207,42.71,1018.1969,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3160.0,0.0
52,3211.0,270.207,42.717,1018.1969,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3211.0,0.0
53,3262.0,270.207,42.71,1018.21967,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3262.0,0.0
54,3312.0,270.207,42.71,1018.22815,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3312.0,0.0
55,3363.0,270.207,42.717,1018.2728,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3363.0,0.0
56,3415.0,270.207,42.717,1018.2728,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3415.0,0.0
57,3465.0,270.207,42.71,1018.22375,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3465.0,0.0
58,3516.0,270.207,42.71,1018.25946,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3516.0,0.0
59,3567.0,270.207,42.702,1018.20123,1.2113,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3567.0,0.0
60,3617.0,270.207,42.71,1018.20123,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3617.0,0.0
61,3668.0,270.207,42.71,1018.22815,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3668.0,0.0
62,3720.0,270.207,42.71,1018.21466,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3720.0,0.0
63,3771.0,270.207,42.702,1018.1969,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3771.0,0.0
64,3821.0,270.207,42.71,1018.1969,1.2113,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3821.0,0.0
65,3872.0,270.207,42.695,1018.2372,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3872.0,0.0
66,3923.0,270.207,42.702,1018.20123,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3923.0,0.0
67,3974.0,270.207,42.717,1018.20123,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3974.0,0.0
68,4025.0,270.207,42.71,1018.264,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4025.0,0.0
69,4076.0,270.207,42.695,1018.2062,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4076.0,0.0
70,4126.0,270.207,42.71,1018.1834,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4126.0,0.0
71,4177.0,270.207,42.71,1018.1834,1.2113,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4177.0,0.0
72,4229.0,270.207,42.695,1018.22815,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4229.0,0.0
73,4280.0,270.207,42.717,1018.2506,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4280.0,0.0
74,4330.0,270.207,42.71,1018.25995,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4330.0,0.0
75,4381.0,270.207,42.695,1018.25995,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4381.0,0.0
76,4432.0,270.207,42.71,1018.2103,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4432.0,0.0
77,4483.0,270.207,42.687,1018.19226,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4483.0,0.0
78,4534.0,270.207,42.695,1018.21924,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4534.0,0.0
79,4585.0,270.207,42.702,1018.21924,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4585.0,0.0
80,4635.0,270.207,42.695,1018.22375,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4635.0,0.0
81,4686.0,270.207,42.717,1018.1969,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4686.0,0.0
82,4738.0,270.207,42.717,1018.21466,1.2113,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4738.0,0.0
83,4788.0,270.207,42.702,1018.21466,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4788.0,0.0
84,4839.0,270.207,42.71,1018.21466,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4839.0,0.0
85,4890.0,270.207,42.695,1018.22815,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4890.0,0.0
86,4941.0,270.207,42.71,1018.22815,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4941.0,0.0
87,4992.0,270.207,42.702,1018.2057,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4992.0,0.0
88,5043.0,270.207,42.71,1018.22815,1.2114,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5043.0,0.0
89,5094.0,270.207,42.717,1018.2416,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5094.0,0.0
90,5144.0,270.207,42.702,1018.2416,1.2115,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5144.0,0.0
91,5195.0,270.207,42.702,1018.20123,1.2115,0.125,14.0,0.455,270.0,0.0,770.48,0.0,0.0,5195.0,0.0
92,5246.0,270.207,42.695,1018.25037,1.2115,0.125,14.0,0.455,270.0,0.0,770.48,0.0,0.0,5246.0,0.0
