Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,199536.0,16.728,46.54,1012.76666,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,51.0,0.0
1,199587.0,16.728,46.532,1012.76666,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,102.0,0.0
2,199639.0,16.728,46.54,1012.7844,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,154.0,0.0
3,199690.0,16.728,46.555,1012.8513,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,205.0,0.0
4,199741.0,16.718,46.525,1012.7175,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,256.0,0.0
5,199792.0,16.728,46.532,1012.7175,1.2135,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,307.0,0.0
6,199843.0,16.718,46.54,1012.84686,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,358.0,0.0
7,199895.0,16.728,46.54,1012.7978,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,410.0,0.0
8,199945.0,16.728,46.54,1012.8245,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,460.0,0.0
9,199996.0,16.728,46.532,1012.8245,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,511.0,0.0
10,200047.0,16.739,46.547,1012.79346,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,562.0,0.0
11,200098.0,16.728,46.547,1012.83795,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,613.0,0.0
12,200150.0,16.728,46.54,1012.8375,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,665.0,0.0
13,200201.0,16.728,46.555,1012.8375,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,716.0,0.0
14,200252.0,16.739,46.54,1012.8197,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,767.0,0.0
15,200303.0,16.75,46.563,1012.8063,1.2135,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,818.0,0.0
16,200354.0,16.739,46.547,1012.75275,1.2135,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,869.0,0.0
17,200406.0,16.718,46.547,1012.75275,1.2136,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,921.0,0.0
18,200457.0,16.718,46.532,1012.8063,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,972.0,0.0
19,200508.0,16.707,46.54,1012.7929,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,1023.0,0.0
20,200559.0,16.718,46.532,1012.7929,1.2137,0.125,14.0,0.454,220.0,0.0,607.81,0.0,0.0,1074.0,0.0
21,200609.0,16.718,46.54,1012.8286,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1124.0,0.0
22,200660.0,16.728,46.54,1012.7885,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1175.0,0.0
23,200712.0,16.739,46.532,1012.8019,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1227.0,0.0
24,200763.0,16.728,46.555,1012.8019,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1278.0,0.0
25,200814.0,16.718,46.547,1012.8197,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1329.0,0.0
26,200865.0,16.728,46.54,1012.79736,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1380.0,0.0
27,200916.0,16.728,46.547,1012.84644,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1431.0,0.0
28,200968.0,16.718,46.525,1012.84644,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1483.0,0.0
29,201019.0,16.739,46.54,1012.7885,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1534.0,0.0
30,201070.0,16.728,46.547,1012.84644,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1585.0,0.0
31,201121.0,16.75,46.547,1012.8019,1.2135,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1636.0,0.0
32,201172.0,16.718,46.532,1012.8019,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1687.0,0.0
33,201224.0,16.739,46.547,1012.7617,1.2135,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1739.0,0.0
34,201274.0,16.718,46.54,1012.72156,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1789.0,0.0
35,201325.0,16.718,46.54,1012.8113,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1840.0,0.0
36,201376.0,16.739,46.532,1012.8113,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1891.0,0.0
37,201427.0,16.75,46.54,1012.8245,1.2136,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1942.0,0.0
38,201479.0,16.718,46.525,1012.8063,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,1994.0,0.0
39,201530.0,16.728,46.547,1012.8245,1.2137,0.25,14.0,0.642,220.0,0.0,597.13,0.0,0.0,2045.0,0.0
