Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,43.488,1018.4665,1.2145,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,563.0,0.0
1,613.0,270.207,43.473,1018.40344,1.2145,0.375,14.0,0.786,270.0,0.0,751.64,0.0,0.0,613.0,0.0
2,664.0,270.207,43.48,1018.385,1.2145,0.375,14.0,0.786,270.0,0.0,751.64,0.0,0.0,664.0,0.0
3,715.0,270.207,43.473,1018.385,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,715.0,0.0
4,765.0,270.207,43.473,1018.4158,1.2144,0.375,14.0,0.786,270.0,0.0,751.64,0.0,0.0,765.0,0.0
5,817.0,270.207,43.465,1018.41486,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,817.0,0.0
6,868.0,270.207,43.473,1018.4639,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,868.0,0.0
7,919.0,270.207,43.473,1018.4639,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,919.0,0.0
8,969.0,270.207,43.465,1018.46796,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,969.0,0.0
9,1020.0,270.207,43.473,1018.38745,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1020.0,0.0
10,1072.0,270.207,43.465,1018.4009,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1072.0,0.0
11,1123.0,270.207,43.48,1018.4009,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1123.0,0.0
12,1174.0,270.207,43.465,1018.45844,1.2146,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1174.0,0.0
13,1224.0,270.207,43.458,1018.40485,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1224.0,0.0
14,1275.0,270.207,43.458,1018.43164,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1275.0,0.0
15,1327.0,270.207,43.465,1018.43164,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1327.0,0.0
16,1378.0,270.207,43.465,1018.4402,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1378.0,0.0
17,1428.0,270.207,43.458,1018.40924,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1428.0,0.0
18,1479.0,270.207,43.465,1018.40924,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1479.0,0.0
19,1530.0,270.207,43.473,1018.40485,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1530.0,0.0
20,1582.0,270.207,43.465,1018.38245,1.2143,1.0,14.0,1.283,270.0,0.0,723.34,0.0,0.0,1582.0,0.0
21,1633.0,270.207,43.45,1018.40485,1.2144,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1633.0,0.0
22,1683.0,270.207,43.465,1018.40485,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1683.0,0.0
23,1734.0,270.207,43.473,1018.4268,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1734.0,0.0
24,1785.0,270.207,43.465,1018.4178,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1785.0,0.0
25,1837.0,270.207,43.458,1018.4133,1.2145,1.0,14.0,1.283,270.0,0.0,723.35,0.0,0.0,1837.0,0.0
