Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,2.9,76.5,89.2,1042.0,4.87,4.03,4.27,4.29,7.0,14.2,1.0,0.0,2.0,1.0,0.0
1,2.97,72.6,91.2,867.0,3.1,3.33,4.79,4.49,15.9,5.1,3.0,0.0,4.0,1.0,0.0
2,3.01,75.3,90.8,1044.0,3.68,3.9,4.24,4.96,6.0,13.3,5.0,0.0,6.0,1.0,0.0
3,2.22,86.6,94.9,1024.0,3.01,3.53,4.77,3.08,10.8,16.3,6.0,0.0,7.0,1.0,0.0
4,3.48,88.1,93.5,813.0,3.65,3.14,3.63,4.36,15.5,14.9,7.0,0.0,8.0,1.0,0.0
5,3.38,72.3,70.5,882.0,4.52,4.66,4.16,4.37,6.8,17.4,9.0,0.0,10.0,1.0,0.0
6,2.59,83.1,94.5,875.0,3.35,3.98,4.42,4.99,9.8,9.2,11.0,0.0,12.0,1.0,0.0
7,3.42,96.5,78.2,852.0,4.67,3.21,3.95,4.12,5.1,13.1,13.0,0.0,14.0,1.0,0.0
8,3.22,99.8,89.5,1019.0,3.54,3.23,3.89,4.6,8.5,15.6,15.0,0.0,16.0,1.0,0.0
9,3.23,90.6,81.3,970.0,3.38,3.94,3.2,3.44,4.6,6.4,16.0,0.0,17.0,1.0,0.0
10,2.26,99.4,86.3,938.0,3.44,4.9,4.5,4.59,10.3,17.7,17.0,0.0,18.0,1.0,0.0
11,2.85,91.7,97.2,839.0,3.47,4.85,3.96,3.85,10.3,10.0,18.0,0.0,19.0,1.0,0.0
12,2.85,76.8,79.5,1076.0,4.67,3.39,3.74,4.31,3.6,3.1,22.0,0.0,23.0,1.0,0.0
13,2.8,75.5,95.5,806.0,4.63,4.02,3.76,4.08,12.9,11.1,24.0,0.0,25.0,1.0,0.0
14,2.76,91.2,85.4,1097.0,4.04,4.81,4.48,3.65,15.8,17.9,28.0,0.0,29.0,1.0,0.0
15,2.09,92.9,85.3,1083.0,3.47,3.07,4.73,4.22,13.5,15.6,29.0,0.0,30.0,1.0,0.0
16,2.53,82.4,83.0,1066.0,3.0,3.44,4.7,3.85,4.6,12.8,30.0,0.0,31.0,1.0,0.0
17,3.23,80.3,99.7,1020.0,4.5,3.31,3.8,3.03,8.0,10.0,38.0,0.0,39.0,1.0,0.0
18,2.49,84.2,84.9,871.0,4.1,3.79,4.83,4.7,12.0,10.3,40.0,0.0,41.0,1.0,0.0
19,2.51,90.1,70.5,980.0,3.18,3.74,3.49,3.13,5.0,15.5,43.0,0.0,44.0,1.0,0.0
20,2.62,88.3,78.8,817.0,3.08,4.5,4.24,4.95,3.7,9.1,44.0,0.0,45.0,1.0,0.0
21,3.07,84.1,81.0,1000.0,4.99,4.27,4.71,4.87,4.4,15.5,46.0,0.0,47.0,1.0,0.0
22,2.41,81.7,94.8,1042.0,4.15,4.74,3.45,4.73,5.0,9.1,47.0,0.0,48.0,1.0,0.0
