Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,3.14,83.2,95.4,,,,,,,,,,,,
1,2.9,76.5,89.2,,,,,,,,,,,,
2,2.03,86.9,70.9,,,,,,,,,,,,
3,2.97,72.6,91.2,,,,,,,,,,,,
4,3.01,75.3,90.8,,,,,,,,,,,,
5,2.22,86.6,94.9,,,,,,,,,,,,
6,3.48,88.1,93.5,,,,,,,,,,,,
7,2.6,85.7,99.4,,,,,,,,,,,,
8,3.4,93.1,73.8,,,,,,,,,,,,
9,3.23,90.6,81.3,,,,,,,,,,,,
10,2.26,99.4,86.3,,,,,,,,,,,,
11,2.44,76.8,93.5,,,,,,,,,,,,
12,2.03,94.7,82.5,,,,,,,,,,,,
13,2.22,96.0,89.4,,,,,,,,,,,,
14,3.05,73.3,95.7,,,,,,,,,,,,
15,2.39,97.3,87.7,,,,,,,,,,,,
16,2.8,83.0,95.5,,,,,,,,,,,,
17,3.13,80.2,91.7,,,,,,,,,,,,
18,3.23,80.3,99.7,,,,,,,,,,,,
19,2.33,85.8,90.3,,,,,,,,,,,,
20,2.5,97.1,82.9,,,,,,,,,,,,
21,2.51,90.1,70.5,,,,,,,,,,,,
22,2.9,76.6,81.0,,,,,,,,,,,,
23,2.41,81.7,94.8,,,,,,,,,,,,
24,3.11,81.6,89.1,,,,,,,,,,,,
25,2.95,83.1,84.2,,,,,,,,,,,,
26,3.03,72.4,80.8,,,,,,,,,,,,
27,2.17,94.9,87.6,,,,,,,,,,,,
28,2.6,85.8,81.1,,,,,,,,,,,,
29,2.58,93.3,70.0,,,,,,,,,,,,
30,2.62,98.4,88.9,,,,,,,,,,,,
31,2.29,96.5,89.1,,,,,,,,,,,,
32,2.97,92.2,77.9,,,,,,,,,,,,
33,3.44,75.5,82.1,,,,,,,,,,,,
34,2.02,95.6,77.0,,,,,,,,,,,,
35,2.11,73.1,99.2,,,,,,,,,,,,
36,2.48,91.4,94.4,,,,,,,,,,,,
37,2.45,86.1,75.7,,,,,,,,,,,,
