Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,2.07,74.9,87.3,958.0,4.3,3.72,4.44,3.78,5.3,13.9,0.0,0.0,1.0,1.0,0.0
1,2.9,76.5,89.2,1042.0,4.87,4.03,4.27,4.29,7.0,14.2,1.0,0.0,2.0,1.0,0.0
2,2.03,86.9,70.9,1057.0,4.6,4.33,3.99,3.78,14.6,11.5,2.0,0.0,3.0,1.0,0.0
3,2.22,86.6,94.9,1024.0,3.01,3.53,4.77,3.08,10.8,16.3,6.0,0.0,7.0,1.0,0.0
4,3.38,72.3,70.5,882.0,4.52,4.66,4.16,4.37,6.8,17.4,9.0,0.0,10.0,1.0,0.0
5,3.42,96.5,78.2,852.0,4.67,3.21,3.95,4.12,5.1,13.1,13.0,0.0,14.0,1.0,0.0
6,3.4,93.1,73.8,857.0,3.16,4.9,3.4,3.79,6.5,13.6,14.0,0.0,15.0,1.0,0.0
7,3.23,90.6,81.3,970.0,3.38,3.94,3.2,3.44,4.6,6.4,16.0,0.0,17.0,1.0,0.0
8,2.85,91.7,97.2,839.0,3.47,4.85,3.96,3.85,10.3,10.0,18.0,0.0,19.0,1.0,0.0
9,2.44,76.8,93.5,815.0,3.25,4.34,3.42,3.11,15.9,13.2,19.0,0.0,20.0,1.0,0.0
10,3.44,99.5,91.8,1096.0,3.92,3.15,4.91,3.33,14.9,12.7,20.0,0.0,21.0,1.0,0.0
11,2.85,76.8,79.5,1076.0,4.67,3.39,3.74,4.31,3.6,3.1,22.0,0.0,23.0,1.0,0.0
12,2.22,96.0,89.4,984.0,4.55,4.89,3.07,3.15,7.3,14.9,23.0,0.0,24.0,1.0,0.0
13,3.19,87.5,90.9,980.0,4.29,3.23,3.54,3.6,11.7,7.5,26.0,0.0,27.0,1.0,0.0
14,2.76,91.2,85.4,1097.0,4.04,4.81,4.48,3.65,15.8,17.9,28.0,0.0,29.0,1.0,0.0
15,2.53,82.4,83.0,1066.0,3.0,3.44,4.7,3.85,4.6,12.8,30.0,0.0,31.0,1.0,0.0
16,2.69,93.7,93.3,991.0,4.2,4.62,3.33,4.97,11.1,6.8,32.0,0.0,33.0,1.0,0.0
17,2.39,97.3,87.7,804.0,4.58,3.0,3.54,4.6,14.5,17.7,33.0,0.0,34.0,1.0,0.0
18,3.13,71.4,99.3,1060.0,4.54,3.18,4.57,4.85,15.9,14.5,35.0,0.0,36.0,1.0,0.0
19,3.23,80.3,99.7,1020.0,4.5,3.31,3.8,3.03,8.0,10.0,38.0,0.0,39.0,1.0,0.0
20,2.49,84.2,84.9,871.0,4.1,3.79,4.83,4.7,12.0,10.3,40.0,0.0,41.0,1.0,0.0
21,3.44,85.8,79.6,971.0,3.64,4.6,4.98,4.51,17.0,8.3,42.0,0.0,43.0,1.0,0.0
22,3.07,84.1,81.0,1000.0,4.99,4.27,4.71,4.87,4.4,15.5,46.0,0.0,47.0,1.0,0.0
23,3.11,81.6,89.1,1071.0,4.28,3.71,3.61,3.45,15.0,7.0,50.0,0.0,51.0,1.0,0.0
24,2.95,83.1,84.2,916.0,3.06,4.15,4.24,3.01,12.7,9.1,52.0,1.0,1.0,1.0,0.0
25,2.17,94.9,87.6,846.0,4.76,3.66,3.67,4.2,6.4,17.1,55.0,1.0,4.0,1.0,0.0
26,2.4,99.6,83.5,983.0,3.48,3.65,3.11,3.52,14.4,10.6,58.0,1.0,7.0,1.0,0.0
27,3.47,71.5,79.3,879.0,4.29,4.64,4.79,4.01,15.5,11.9,60.0,1.0,9.0,1.0,0.0
