Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,2.56,90.6,95.5,1050.0,3.62,4.48,4.35,3.79,7.2,12.9,902.0,17.0,19.0,1.0,0.0
1,2.03,86.9,70.9,1057.0,4.6,4.33,3.99,3.78,14.6,11.5,2.0,0.0,3.0,1.0,0.0
2,2.67,97.2,89.3,836.0,3.85,4.45,3.28,3.91,17.4,3.7,4.0,0.0,5.0,1.0,0.0
3,2.22,86.6,94.9,1024.0,3.01,3.53,4.77,3.08,10.8,16.3,6.0,0.0,7.0,1.0,0.0
4,2.6,85.7,99.4,1008.0,4.95,4.68,4.13,4.3,13.6,4.2,12.0,0.0,13.0,1.0,0.0
5,3.42,96.5,78.2,852.0,4.67,3.21,3.95,4.12,5.1,13.1,13.0,0.0,14.0,1.0,0.0
6,3.4,93.1,73.8,857.0,3.16,4.9,3.4,3.79,6.5,13.6,14.0,0.0,15.0,1.0,0.0
7,2.44,76.8,93.5,815.0,3.25,4.34,3.42,3.11,15.9,13.2,19.0,0.0,20.0,1.0,0.0
8,3.44,73.8,80.8,997.0,3.51,3.49,3.03,4.31,11.1,9.4,25.0,0.0,26.0,1.0,0.0
9,3.17,92.5,90.0,856.0,4.64,4.97,3.48,4.04,8.0,3.0,27.0,0.0,28.0,1.0,0.0
10,3.05,73.3,95.7,976.0,4.78,3.66,4.57,4.11,15.8,14.4,31.0,0.0,32.0,1.0,0.0
11,3.13,71.4,99.3,1060.0,4.54,3.18,4.57,4.85,15.9,14.5,35.0,0.0,36.0,1.0,0.0
12,3.23,70.3,74.8,885.0,3.58,3.59,3.06,4.3,10.4,16.2,37.0,0.0,38.0,1.0,0.0
13,2.33,85.8,90.3,976.0,4.5,4.34,4.8,3.79,6.2,15.4,39.0,0.0,40.0,1.0,0.0
14,2.5,97.1,82.9,1018.0,4.46,3.99,3.3,3.21,5.6,5.4,41.0,0.0,42.0,1.0,0.0
15,2.9,76.6,81.0,1093.0,4.53,4.65,4.6,4.42,8.3,3.2,45.0,0.0,46.0,1.0,0.0
16,2.41,81.7,94.8,1042.0,4.15,4.74,3.45,4.73,5.0,9.1,47.0,0.0,48.0,1.0,0.0
17,2.31,82.0,99.1,969.0,3.65,3.27,4.36,4.28,15.5,6.4,54.0,1.0,3.0,1.0,0.0
18,3.47,71.5,79.3,879.0,4.29,4.64,4.79,4.01,15.5,11.9,60.0,1.0,9.0,1.0,0.0
19,3.11,72.5,81.9,931.0,4.03,3.98,4.98,3.39,13.4,3.3,64.0,1.0,13.0,1.0,0.0
20,2.11,73.1,99.2,916.0,3.99,4.71,3.39,4.7,16.6,7.1,72.0,1.0,21.0,1.0,0.0
21,2.11,70.4,82.6,891.0,4.9,4.22,4.64,3.9,6.4,9.3,74.0,1.0,23.0,1.0,0.0
22,2.82,83.2,95.4,1059.0,3.47,4.77,3.62,3.1,4.9,3.0,76.0,1.0,25.0,1.0,0.0
23,2.48,91.4,94.4,818.0,4.5,4.01,3.95,3.21,11.1,13.1,78.0,1.0,27.0,1.0,0.0
24,2.51,73.4,72.8,971.0,3.48,3.75,3.53,3.71,10.9,12.3,83.0,1.0,32.0,1.0,0.0
25,3.01,85.9,98.3,814.0,3.37,3.79,3.98,4.0,6.7,11.5,89.0,1.0,38.0,1.0,0.0
26,3.26,78.4,95.2,1008.0,4.14,3.54,3.19,3.28,10.1,10.0,93.0,1.0,42.0,1.0,0.0
27,2.09,81.9,87.9,856.0,3.61,3.87,4.53,3.99,11.8,12.4,95.0,1.0,44.0,1.0,0.0
28,3.39,94.6,99.0,1011.0,3.12,3.63,4.12,4.81,8.1,16.0,99.0,1.0,48.0,1.0,0.0
29,3.32,75.9,87.7,979.0,3.32,3.72,4.83,3.81,3.3,15.2,101.0,1.0,50.0,1.0,0.0
30,2.94,97.5,77.0,816.0,4.99,3.8,3.18,3.88,8.2,10.8,103.0,2.0,0.0,1.0,0.0
31,3.43,72.8,92.2,881.0,4.66,3.68,3.23,4.22,11.9,9.7,109.0,2.0,6.0,1.0,0.0
32,2.93,76.4,97.8,956.0,4.71,4.41,4.55,3.36,11.9,15.8,110.0,2.0,7.0,1.0,0.0
33,3.2,90.2,81.2,1016.0,4.47,4.46,3.51,3.72,4.1,5.3,111.0,2.0,8.0,1.0,0.0
34,2.36,70.5,70.7,1033.0,3.66,4.53,3.12,4.25,7.0,3.3,112.0,2.0,9.0,1.0,0.0
35,2.57,73.3,89.5,839.0,3.51,3.58,3.94,4.6,16.8,5.9,113.0,2.0,10.0,1.0,0.0
36,2.22,74.8,90.0,870.0,4.98,3.92,4.45,4.28,13.0,7.3,116.0,2.0,13.0,1.0,0.0
37,2.31,75.7,71.9,1086.0,3.56,3.16,3.54,4.54,4.4,14.5,118.0,2.0,15.0,1.0,0.0
38,3.27,72.4,88.4,833.0,4.5,4.27,4.99,3.29,13.9,7.4,120.0,2.0,17.0,1.0,0.0
39,2.03,79.1,82.1,925.0,3.53,4.29,3.96,4.53,9.1,8.8,122.0,2.0,19.0,1.0,0.0
40,2.51,79.2,94.5,1070.0,3.74,4.62,4.76,4.17,10.6,4.3,124.0,2.0,21.0,1.0,0.0
