Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,459507.0,25.105,16.991,992.7413,1.1575,0.681,50.0,1.085,964.0,0.0,2782.28,0.0,0.0,459507.0
1,460661.0,25.094,16.991,992.7766,1.1576,0.806,50.0,1.18,964.0,0.0,2776.87,0.0,0.0,1154.0
2,460712.0,25.083,16.991,992.7766,1.1577,0.806,50.0,1.18,964.0,0.0,2776.87,0.0,0.0,1205.0
3,460764.0,25.115,16.984,992.7505,1.1575,0.806,50.0,1.18,964.0,0.0,2776.86,0.0,0.0,1257.0
4,460968.0,25.115,16.984,992.7955,1.1575,0.806,50.0,1.18,964.0,0.0,2776.87,0.0,0.0,1461.0
5,461071.0,25.105,16.991,992.77234,1.1576,0.806,50.0,1.18,964.0,0.0,2776.87,0.0,0.0,1564.0
6,461122.0,25.094,16.991,992.77234,1.1576,0.931,50.0,1.268,964.0,0.0,2771.85,0.0,0.0,1615.0
7,461224.0,25.105,16.999,992.7452,1.1575,1.056,50.0,1.351,964.0,0.0,2767.15,0.0,0.0,1717.0
8,461276.0,25.094,16.984,992.84436,1.1577,1.056,50.0,1.351,964.0,0.0,2767.16,0.0,0.0,1769.0
9,461327.0,25.094,16.984,992.84436,1.1577,1.056,50.0,1.351,964.0,0.0,2767.16,0.0,0.0,1820.0
10,461483.0,25.105,16.984,992.76306,1.1576,2.806,4.7,2.202,100.0,1.0,142.08,0.0,0.0,1976.0
11,461841.0,25.115,16.991,992.84015,1.1576,4.056,4.7,2.647,100.0,1.0,116.76,0.0,0.0,2334.0
12,461995.0,25.115,16.984,992.7766,1.1575,4.306,4.7,2.728,105.0,1.0,112.18,0.0,0.0,2488.0
13,462046.0,25.094,16.984,992.7495,1.1576,4.306,4.7,2.728,107.0,1.0,112.18,0.0,0.0,2539.0
14,462509.0,25.105,16.984,992.73596,1.1575,4.806,14.0,2.882,270.0,0.0,632.43,0.0,0.0,3002.0
15,462560.0,25.105,16.991,992.84875,1.1576,4.806,14.0,2.882,270.0,0.0,632.44,0.0,0.0,3053.0
16,462713.0,25.115,16.984,992.7495,1.1575,4.806,14.0,2.882,270.0,0.0,632.43,0.0,0.0,3206.0
17,462816.0,25.105,16.968,992.79016,1.1576,4.806,14.0,2.882,270.0,0.0,632.43,0.0,0.0,3309.0
18,463227.0,25.126,16.976,992.78094,1.1575,4.181,4.7,2.688,87.0,1.0,114.44,0.0,0.0,3720.0
19,463381.0,25.115,16.991,992.80804,1.1576,4.056,4.7,2.647,96.0,1.0,116.76,0.0,0.0,3874.0
20,463535.0,25.105,16.976,992.76733,1.1576,4.056,4.7,2.647,104.0,1.0,116.76,0.0,0.0,4028.0
21,464459.0,25.115,16.984,992.7581,1.1575,5.181,14.0,2.992,270.0,1.0,626.15,0.0,0.0,4952.0
22,464510.0,25.115,16.976,992.7581,1.1575,5.181,4.7,2.992,246.0,1.0,97.14,0.0,0.0,5003.0
23,464613.0,25.137,16.976,992.79877,1.1575,4.931,4.7,2.919,73.0,1.0,101.3,0.0,0.0,5106.0
24,465125.0,25.126,16.984,992.8123,1.1575,3.931,4.7,2.606,110.0,1.0,119.09,0.0,0.0,5618.0
25,465280.0,25.137,16.976,992.7766,1.1574,3.931,4.7,2.606,118.0,1.0,119.08,0.0,0.0,5773.0
26,465793.0,25.137,16.984,992.87054,1.1575,4.181,14.0,2.688,270.0,0.0,643.46,0.0,0.0,6286.0
27,465844.0,25.115,16.976,992.87054,1.1576,4.181,14.0,2.688,270.0,0.0,643.46,0.0,0.0,6337.0
28,465946.0,25.115,16.984,992.78925,1.1575,4.181,14.0,2.688,270.0,0.0,643.46,0.0,0.0,6439.0
29,465997.0,25.126,16.976,992.78925,1.1575,4.181,14.0,2.688,270.0,0.0,643.45,0.0,0.0,6490.0
30,466049.0,25.137,16.968,992.7852,1.1574,4.181,14.0,2.688,270.0,0.0,643.45,0.0,0.0,6542.0
31,466100.0,25.126,16.961,992.83514,1.1576,4.181,14.0,2.688,270.0,0.0,643.46,0.0,0.0,6593.0
32,466202.0,25.105,16.976,992.79346,1.1576,4.181,14.0,2.688,270.0,0.0,643.46,0.0,0.0,6695.0
33,466817.0,25.126,16.976,992.84344,1.1576,5.056,14.0,2.956,270.0,0.0,628.22,0.0,0.0,7310.0
34,466868.0,25.148,16.984,992.91547,1.1576,5.181,14.0,2.992,270.0,0.0,626.16,0.0,0.0,7361.0
35,466969.0,25.137,16.968,992.807,1.1575,5.306,14.0,3.028,270.0,0.0,624.11,0.0,0.0,7462.0
36,467534.0,25.137,16.984,992.89264,1.1576,5.431,4.7,3.063,65.0,1.0,93.09,0.0,0.0,8027.0
37,467688.0,25.137,16.968,992.8884,1.1576,5.306,4.7,3.028,73.0,1.0,95.11,0.0,0.0,8181.0
38,468200.0,25.137,16.976,992.8206,1.1575,4.806,4.7,2.882,100.0,1.0,103.42,0.0,0.0,8693.0
39,468302.0,25.148,16.976,992.89264,1.1575,4.431,4.7,2.767,109.0,1.0,109.95,0.0,0.0,8795.0
40,468354.0,25.148,16.976,992.89264,1.1575,4.431,4.7,2.767,111.0,1.0,109.95,0.0,0.0,8847.0
41,468456.0,25.115,16.976,992.8196,1.1576,4.056,4.7,2.647,120.0,1.0,116.76,0.0,0.0,8949.0
42,469072.0,25.126,16.961,992.89703,1.1576,3.556,14.0,2.479,270.0,0.0,655.35,0.0,0.0,9565.0
43,469226.0,25.148,16.984,992.851,1.1575,3.556,14.0,2.479,270.0,0.0,655.34,0.0,0.0,9719.0
44,469891.0,25.148,16.976,992.8375,1.1575,5.056,14.0,2.956,270.0,0.0,628.21,0.0,0.0,10384.0
45,469942.0,25.148,16.961,992.84174,1.1575,5.056,14.0,2.956,270.0,0.0,628.21,0.0,0.0,10435.0
46,470609.0,25.126,16.976,992.7832,1.1575,5.181,4.7,2.992,89.0,1.0,97.14,0.0,0.0,11102.0
47,470661.0,25.148,16.961,992.7832,1.1574,5.181,4.7,2.992,91.0,1.0,97.14,0.0,0.0,11154.0
48,471275.0,25.126,16.968,992.8147,1.1575,4.431,4.7,2.767,126.0,1.0,109.95,0.0,0.0,11768.0
49,471326.0,25.126,16.961,992.7875,1.1575,4.431,4.7,2.767,128.0,1.0,109.94,0.0,0.0,11819.0
50,471377.0,25.148,16.953,992.8282,1.1575,4.181,4.7,2.688,134.0,1.0,114.44,0.0,0.0,11870.0
51,471890.0,25.137,16.961,992.8147,1.1575,3.681,4.7,2.522,166.0,1.0,123.88,0.0,0.0,12383.0
52,471993.0,25.137,16.961,992.77826,1.1574,3.431,4.7,2.435,175.0,1.0,128.83,0.0,0.0,12486.0
53,472095.0,25.148,16.961,992.77826,1.1574,3.431,4.7,2.435,181.0,1.0,128.83,0.0,0.0,12588.0
54,472968.0,25.148,16.953,992.7647,1.1574,3.181,4.7,2.345,233.0,1.0,133.97,0.0,0.0,13461.0
55,473634.0,25.126,16.961,992.78424,1.1575,3.181,4.7,2.344,270.0,1.0,133.98,0.0,0.0,14127.0
56,474507.0,25.105,16.938,992.7469,1.1575,3.306,4.7,2.39,316.0,1.0,131.38,0.0,0.0,15000.0
57,474558.0,25.105,16.953,992.8147,1.1576,3.306,4.7,2.39,319.0,1.0,131.39,0.0,0.0,15051.0
58,475122.0,25.137,16.961,992.8596,1.1575,3.431,4.7,2.435,347.0,1.0,128.84,0.0,0.0,15615.0
59,475225.0,25.115,16.953,992.7919,1.1575,3.431,4.7,2.435,353.0,1.0,128.84,0.0,0.0,15718.0
60,475327.0,25.115,16.938,992.77826,1.1575,3.306,4.7,2.39,360.0,1.0,131.38,0.0,0.0,15820.0
61,475687.0,25.137,16.945,992.7958,1.1575,3.556,12.0,2.479,687.0,1.0,541.54,0.0,0.0,16180.0
62,475740.0,25.126,16.953,992.8147,1.1575,3.556,12.0,2.479,699.0,1.0,541.55,0.0,0.0,16233.0
63,476304.0,25.115,16.953,992.8103,1.1576,3.556,12.0,2.479,827.0,1.0,541.55,0.0,0.0,16797.0
64,476406.0,25.115,16.938,992.7968,1.1576,3.556,12.0,2.479,850.0,1.0,541.55,0.0,0.0,16899.0
65,476510.0,25.115,16.945,992.7604,1.1575,3.556,12.0,2.479,873.0,1.0,541.55,0.0,0.0,17003.0
66,476868.0,25.105,16.938,992.77295,1.1576,3.681,12.0,2.522,953.0,1.0,539.09,0.0,0.0,17361.0
67,476972.0,25.105,16.945,992.774,1.1576,3.681,12.0,2.522,976.0,1.0,539.09,0.0,0.0,17465.0
68,477023.0,25.105,16.953,992.80005,1.1576,3.556,12.0,2.479,989.0,1.0,541.55,0.0,0.0,17516.0
69,477125.0,25.126,16.953,992.78656,1.1575,3.681,12.0,2.522,1011.0,1.0,539.08,0.0,0.0,17618.0
70,477176.0,25.126,16.953,992.7469,1.1574,3.681,12.0,2.522,1022.0,1.0,539.08,0.0,0.0,17669.0
71,477331.0,25.115,16.938,992.7687,1.1575,3.681,12.0,2.522,1023.0,1.0,539.09,0.0,0.0,17824.0
72,477537.0,25.115,16.938,992.8189,1.1576,3.681,12.0,2.522,1023.0,1.0,539.09,0.0,0.0,18030.0
73,478152.0,25.126,16.945,992.845,1.1576,3.806,12.0,2.564,1023.0,1.0,536.68,0.0,0.0,18645.0
74,478204.0,25.105,16.93,992.78217,1.1576,3.806,12.0,2.564,1023.0,1.0,536.68,0.0,0.0,18697.0
75,478771.0,25.115,16.938,992.8127,1.1576,4.056,35.36,2.647,682.0,0.0,1860.98,0.0,0.0,19264.0
76,478924.0,25.094,16.945,992.8222,1.1577,4.181,35.36,2.688,682.0,0.0,1858.68,0.0,0.0,19417.0
77,479284.0,25.105,16.938,992.78656,1.1576,4.306,35.36,2.728,682.0,0.0,1856.4,0.0,0.0,19777.0
78,479898.0,25.094,16.93,992.80005,1.1576,5.681,35.36,3.133,682.0,0.0,1833.35,0.0,0.0,20391.0
79,479949.0,25.115,16.938,992.8044,1.1576,5.681,35.36,3.133,682.0,0.0,1833.35,0.0,0.0,20442.0
80,480052.0,25.094,16.923,992.8127,1.1577,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,20545.0
81,480820.0,25.073,16.93,992.77625,1.1577,5.931,35.36,3.201,682.0,0.0,1829.48,0.0,0.0,21313.0
82,480871.0,25.115,16.93,992.77625,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,21364.0
83,481383.0,25.094,16.93,992.80334,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,21876.0
84,482049.0,25.115,16.923,992.83044,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,22542.0
85,482100.0,25.105,16.938,992.79846,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,22593.0
86,482612.0,25.115,16.93,992.8755,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,23105.0
87,482765.0,25.105,16.923,992.8484,1.1577,5.806,35.36,3.167,682.0,0.0,1831.41,0.0,0.0,23258.0
88,483329.0,25.115,16.93,992.85266,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,23822.0
89,483431.0,25.105,16.923,992.8077,1.1576,5.681,35.36,3.133,682.0,0.0,1833.35,0.0,0.0,23924.0
90,483482.0,25.115,16.915,992.8067,1.1576,5.681,35.36,3.133,682.0,0.0,1833.35,0.0,0.0,23975.0
91,483943.0,25.115,16.923,992.79315,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,24436.0
92,484250.0,25.105,16.93,992.7481,1.1575,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,24743.0
93,484353.0,25.115,16.923,992.7481,1.1575,5.806,35.36,3.167,682.0,0.0,1831.39,0.0,0.0,24846.0
94,484404.0,25.115,16.923,992.80237,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,24897.0
95,484967.0,25.115,16.915,992.7888,1.1575,5.681,35.36,3.133,682.0,0.0,1833.35,0.0,0.0,25460.0
96,485069.0,25.115,16.915,992.7805,1.1575,5.681,35.36,3.133,682.0,0.0,1833.34,0.0,0.0,25562.0
97,485121.0,25.115,16.93,992.7805,1.1575,5.681,35.36,3.133,682.0,0.0,1833.34,0.0,0.0,25614.0
98,485684.0,25.126,16.915,992.7888,1.1575,5.806,35.36,3.167,682.0,0.0,1831.39,0.0,0.0,26177.0
99,485735.0,25.115,16.907,992.78485,1.1575,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,26228.0
100,485786.0,25.094,16.923,992.8067,1.1577,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,26279.0
101,485837.0,25.105,16.915,992.79846,1.1576,5.806,35.36,3.167,682.0,0.0,1831.4,0.0,0.0,26330.0
102,486401.0,25.115,16.915,992.7389,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,26894.0
103,486452.0,25.115,16.907,992.75775,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,26945.0
104,486708.0,25.115,16.915,992.7753,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,27201.0
105,486759.0,25.115,16.907,992.7617,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,27252.0
106,486810.0,25.105,16.9,992.75775,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,27303.0
107,486913.0,25.105,16.9,992.812,1.1576,6.431,35.36,3.333,682.0,0.0,1821.95,0.0,0.0,27406.0
108,487117.0,25.115,16.915,992.772,1.1575,6.431,35.36,3.333,682.0,0.0,1821.94,0.0,0.0,27610.0
109,487220.0,25.094,16.9,992.8212,1.1577,6.431,35.36,3.333,682.0,0.0,1821.96,0.0,0.0,27713.0
110,487783.0,25.137,16.907,992.78485,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,28276.0
111,487834.0,25.115,16.907,992.78485,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,28327.0
