Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,0.0,0.0,0.0,,,,,,,,,,,,
1,15.950001,0.0,0.0,,,,,,,,,,,,
2,500.0,0.0,0.0,,,,,,,,,,,,
3,500.0,0.0,0.0,,,,,,,,,,,,
4,500.0,0.0,0.0,,,,,,,,,,,,
5,500.0,0.0,0.0,,,,,,,,,,,,
6,500.0,0.0,0.0,,,,,,,,,,,,
7,500.0,0.0,0.0,,,,,,,,,,,,
8,500.0,0.0,0.0,,,,,,,,,,,,
9,500.0,0.0,0.0,,,,,,,,,,,,
10,500.0,0.0,0.0,,,,,,,,,,,,
11,500.0,0.0,0.0,,,,,,,,,,,,
12,500.0,0.0,0.0,,,,,,,,,,,,
13,500.0,0.0,0.0,,,,,,,,,,,,
14,500.0,0.0,0.0,,,,,,,,,,,,
15,500.0,0.0,0.0,,,,,,,,,,,,
16,500.0,0.0,0.0,,,,,,,,,,,,
17,16.1,0.0,0.0,,,,,,,,,,,,
18,16.1,0.0,0.0,,,,,,,,,,,,
19,16.1,0.0,0.0,,,,,,,,,,,,
20,16.1,0.0,0.0,,,,,,,,,,,,
21,17.2,0.0,0.0,,,,,,,,,,,,
22,17.2,0.0,0.0,,,,,,,,,,,,
23,17.2,0.0,0.0,,,,,,,,,,,,
24,17.2,0.0,0.0,,,,,,,,,,,,
25,17.2,0.0,0.0,,,,,,,,,,,,
26,17.2,0.0,0.0,,,,,,,,,,,,
27,17.2,0.0,0.0,,,,,,,,,,,,
28,17.2,0.0,0.0,,,,,,,,,,,,
29,17.2,0.0,0.0,,,,,,,,,,,,
30,17.2,0.0,0.0,,,,,,,,,,,,
31,15.25,0.0,0.0,,,,,,,,,,,,
32,15.25,0.0,0.0,,,,,,,,,,,,
33,15.25,0.0,0.0,,,,,,,,,,,,
34,15.25,0.0,0.0,,,,,,,,,,,,
35,15.25,0.0,0.0,,,,,,,,,,,,
36,15.25,0.0,0.0,,,,,,,,,,,,
37,15.25,0.0,0.0,,,,,,,,,,,,
38,15.25,0.0,0.0,,,,,,,,,,,,
39,15.25,0.0,0.0,,,,,,,,,,,,
40,15.25,0.0,0.0,,,,,,,,,,,,
41,17.2,0.0,0.0,,,,,,,,,,,,
42,17.2,0.0,0.0,,,,,,,,,,,,
43,17.2,0.0,0.0,,,,,,,,,,,,
44,14.5,0.0,0.0,,,,,,,,,,,,
45,12.05,0.0,0.0,,,,,,,,,,,,
46,12.4,0.0,0.0,,,,,,,,,,,,
47,10.4,0.0,0.0,,,,,,,,,,,,
48,15.15,0.0,0.0,,,,,,,,,,,,
49,10.85,0.0,0.0,,,,,,,,,,,,
50,13.400001,0.0,0.0,,,,,,,,,,,,
51,11.849999,0.0,0.0,,,,,,,,,,,,
52,12.9,0.0,0.0,,,,,,,,,,,,
53,13.099999,0.0,0.0,,,,,,,,,,,,
54,11.45,0.0,0.0,,,,,,,,,,,,
55,14.85,0.0,0.0,,,,,,,,,,,,
56,17.2,0.0,0.0,,,,,,,,,,,,
57,15.349999,0.0,0.0,,,,,,,,,,,,
58,15.349999,0.0,0.0,,,,,,,,,,,,
59,15.349999,0.0,0.0,,,,,,,,,,,,
60,15.349999,0.0,0.0,,,,,,,,,,,,
61,15.349999,0.0,0.0,,,,,,,,,,,,
62,12.25,0.0,0.0,,,,,,,,,,,,
63,12.25,0.0,0.0,,,,,,,,,,,,
64,12.25,0.0,0.0,,,,,,,,,,,,
65,12.25,0.0,0.0,,,,,,,,,,,,
66,12.25,0.0,0.0,,,,,,,,,,,,
67,12.25,0.0,0.0,,,,,,,,,,,,
68,12.25,0.0,0.0,,,,,,,,,,,,
69,12.25,0.0,0.0,,,,,,,,,,,,
70,12.25,0.0,0.0,,,,,,,,,,,,
71,12.25,0.0,0.0,,,,,,,,,,,,
72,12.25,0.0,0.0,,,,,,,,,,,,
73,12.25,0.0,0.0,,,,,,,,,,,,
74,12.25,0.0,0.0,,,,,,,,,,,,
75,12.25,0.0,0.0,,,,,,,,,,,,
76,12.25,0.0,0.0,,,,,,,,,,,,
77,12.25,0.0,0.0,,,,,,,,,,,,
78,12.25,0.0,0.0,,,,,,,,,,,,
79,12.25,0.0,0.0,,,,,,,,,,,,
80,12.25,0.0,0.0,,,,,,,,,,,,
81,12.25,0.0,0.0,,,,,,,,,,,,
82,12.25,0.0,0.0,,,,,,,,,,,,
