Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,488397.0,25.126,16.907,992.8619,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,563.0
1,488551.0,25.115,16.915,992.83044,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,717.0
2,489217.0,25.115,16.915,992.77625,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,1383.0
3,489268.0,25.126,16.9,992.84406,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,1434.0
4,489370.0,25.115,16.9,992.7805,1.1575,5.931,35.36,3.201,682.0,0.0,1829.46,0.0,0.0,1536.0
5,489933.0,25.126,16.9,992.8669,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,2099.0
6,489985.0,25.115,16.9,992.8669,1.1576,5.931,35.36,3.201,682.0,0.0,1829.47,0.0,0.0,2151.0
7,490087.0,25.115,16.9,992.84406,1.1576,6.056,35.36,3.235,682.0,0.0,1827.56,0.0,0.0,2253.0
8,490189.0,25.126,16.9,992.78156,1.1575,6.056,35.36,3.235,682.0,0.0,1827.55,0.0,0.0,2355.0
9,491316.0,25.115,16.884,992.774,1.1575,6.556,35.36,3.366,682.0,0.0,1820.11,0.0,0.0,3482.0
10,491932.0,25.094,16.877,992.7885,1.1576,6.931,35.36,3.46,682.0,0.0,1814.72,0.0,0.0,4098.0
11,492035.0,25.083,16.884,992.8292,1.1577,6.931,35.36,3.46,682.0,0.0,1814.73,0.0,0.0,4201.0
12,492086.0,25.073,16.884,992.8292,1.1578,7.181,35.36,3.522,682.0,0.0,1811.21,0.0,0.0,4252.0
13,492751.0,25.105,16.869,992.8292,1.1576,8.181,35.36,3.76,682.0,0.0,1797.71,0.0,0.0,4917.0
14,492854.0,25.083,16.877,992.77893,1.1577,8.181,35.36,3.76,682.0,0.0,1797.71,0.0,0.0,5020.0
15,493366.0,25.073,16.877,992.7697,1.1577,8.681,35.36,3.873,682.0,0.0,1791.28,0.0,0.0,5532.0
16,493724.0,25.062,16.869,992.851,1.1578,8.681,35.36,3.872,682.0,0.0,1791.29,0.0,0.0,5890.0
17,493775.0,25.083,16.861,992.7614,1.1577,8.681,35.36,3.873,682.0,0.0,1791.27,0.0,0.0,5941.0
18,493827.0,25.073,16.854,992.7436,1.1577,8.681,35.36,3.873,682.0,0.0,1791.27,0.0,0.0,5993.0
19,494441.0,25.062,16.846,992.77167,1.1578,8.681,35.36,3.873,682.0,0.0,1791.28,0.0,0.0,6607.0
20,494543.0,25.073,16.846,992.78925,1.1577,8.556,35.36,3.845,682.0,0.0,1792.87,0.0,0.0,6709.0
21,494595.0,25.083,16.861,992.7852,1.1577,8.431,35.36,3.816,682.0,0.0,1794.47,0.0,0.0,6761.0
22,494646.0,25.083,16.861,992.7852,1.1577,8.431,35.36,3.816,682.0,0.0,1794.47,0.0,0.0,6812.0
23,494697.0,25.062,16.846,992.762,1.1577,8.181,35.36,3.759,682.0,0.0,1797.72,0.0,0.0,6863.0
24,494799.0,25.073,16.846,992.7581,1.1577,8.181,35.36,3.759,682.0,0.0,1797.71,0.0,0.0,6965.0
25,495363.0,25.073,16.854,992.78094,1.1577,8.056,35.36,3.731,682.0,0.0,1799.35,0.0,0.0,7529.0
26,495414.0,25.062,16.861,992.78094,1.1578,7.931,35.36,3.701,682.0,0.0,1801.01,0.0,0.0,7580.0
27,495465.0,25.051,16.839,992.8038,1.1578,7.931,35.36,3.701,682.0,0.0,1801.02,0.0,0.0,7631.0
28,495516.0,25.062,16.839,992.7852,1.1578,7.931,35.36,3.701,682.0,0.0,1801.01,0.0,0.0,7682.0
29,496079.0,25.073,16.839,992.8038,1.1577,7.931,35.36,3.701,682.0,0.0,1801.01,0.0,0.0,8245.0
30,496233.0,25.073,16.823,992.8038,1.1578,7.431,35.36,3.583,682.0,0.0,1807.76,0.0,0.0,8399.0
31,496796.0,25.073,16.831,992.86224,1.1578,7.431,35.36,3.583,682.0,0.0,1807.76,0.0,0.0,8962.0
32,496899.0,25.051,16.831,992.78094,1.1578,7.181,35.36,3.522,682.0,0.0,1811.22,0.0,0.0,9065.0
33,497564.0,25.062,16.831,992.8666,1.1579,6.431,35.36,3.333,682.0,0.0,1821.97,0.0,0.0,9730.0
34,497615.0,25.051,16.823,992.80804,1.1578,6.181,35.36,3.268,682.0,0.0,1825.69,0.0,0.0,9781.0
35,497718.0,25.062,16.816,992.813,1.1578,6.181,35.36,3.268,682.0,0.0,1825.69,0.0,0.0,9884.0
36,498844.0,25.051,16.816,992.80804,1.1578,5.806,35.36,3.167,682.0,0.0,1831.42,0.0,0.0,11010.0
37,499510.0,25.03,16.808,992.76306,1.1579,5.806,35.36,3.167,682.0,0.0,1831.42,0.0,0.0,11676.0
38,499561.0,25.051,16.8,992.8038,1.1578,5.806,35.36,3.167,682.0,0.0,1831.42,0.0,0.0,11727.0
39,500227.0,25.04,16.793,992.82654,1.1579,5.931,35.36,3.201,682.0,0.0,1829.49,0.0,0.0,12393.0
