Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador
0,2.23,74.6,82.3,948.0,4.34,4.41,3.06,4.65,17.6,11.2,-16544.0,942.0,9.0
1,2.9,76.5,89.2,1042.0,4.87,4.03,4.27,4.29,7.0,14.2,1.0,0.0,2.0
2,2.97,72.6,91.2,867.0,3.1,3.33,4.79,4.49,15.9,5.1,3.0,0.0,4.0
3,3.01,75.3,90.8,1044.0,3.68,3.9,4.24,4.96,6.0,13.3,5.0,0.0,6.0
4,3.48,88.1,93.5,813.0,3.65,3.14,3.63,4.36,15.5,14.9,7.0,0.0,8.0
5,3.38,72.3,70.5,882.0,4.52,4.66,4.16,4.37,6.8,17.4,9.0,0.0,10.0
6,2.59,83.1,94.5,875.0,3.35,3.98,4.42,4.99,9.8,9.2,11.0,0.0,12.0
7,3.42,96.5,78.2,852.0,4.67,3.21,3.95,4.12,5.1,13.1,13.0,0.0,14.0
8,3.22,99.8,89.5,1019.0,3.54,3.23,3.89,4.6,8.5,15.6,15.0,0.0,16.0
9,2.26,99.4,86.3,938.0,3.44,4.9,4.5,4.59,10.3,17.7,17.0,0.0,18.0
10,2.44,76.8,93.5,815.0,3.25,4.34,3.42,3.11,15.9,13.2,19.0,0.0,20.0
11,2.03,94.7,82.5,910.0,3.62,3.11,3.08,4.77,9.1,10.5,21.0,0.0,22.0
12,2.22,96.0,89.4,984.0,4.55,4.89,3.07,3.15,7.3,14.9,23.0,0.0,24.0
13,3.44,73.8,80.8,997.0,3.51,3.49,3.03,4.31,11.1,9.4,25.0,0.0,26.0
14,3.17,92.5,90.0,856.0,4.64,4.97,3.48,4.04,8.0,3.0,27.0,0.0,28.0
15,2.09,92.9,85.3,1083.0,3.47,3.07,4.73,4.22,13.5,15.6,29.0,0.0,30.0
16,3.05,73.3,95.7,976.0,4.78,3.66,4.57,4.11,15.8,14.4,31.0,0.0,32.0
17,2.39,97.3,87.7,804.0,4.58,3.0,3.54,4.6,14.5,17.7,33.0,0.0,34.0
18,3.13,71.4,99.3,1060.0,4.54,3.18,4.57,4.85,15.9,14.5,35.0,0.0,36.0
19,3.23,70.3,74.8,885.0,3.58,3.59,3.06,4.3,10.4,16.2,37.0,0.0,38.0
20,2.33,85.8,90.3,976.0,4.5,4.34,4.8,3.79,6.2,15.4,39.0,0.0,40.0
21,2.5,97.1,82.9,1018.0,4.46,3.99,3.3,3.21,5.6,5.4,41.0,0.0,42.0
22,2.51,90.1,70.5,980.0,3.18,3.74,3.49,3.13,5.0,15.5,43.0,0.0,44.0
23,2.9,76.6,81.0,1093.0,4.53,4.65,4.6,4.42,8.3,3.2,45.0,0.0,46.0
24,2.41,81.7,94.8,1042.0,4.15,4.74,3.45,4.73,5.0,9.1,47.0,0.0,48.0
