Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,433658.0,24.89,19.7,994.8794,1.1605,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,433658.0
1,433658.0,24.89,19.7,994.8794,1.1605,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,0.0
2,433710.0,24.879,19.7,994.9241,1.1606,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,52.0
3,433916.0,24.879,19.707,994.84705,1.1605,0.0,4.7,0.0,188.0,1.0,267.33,0.0,0.0,258.0
4,434425.0,24.869,19.7,994.8699,1.1606,0.0,4.7,0.0,245.0,1.0,267.33,0.0,0.0,767.0
5,434579.0,24.879,19.7,994.8427,1.1605,0.0,4.7,0.0,262.0,1.0,267.33,0.0,0.0,921.0
6,434629.0,24.879,19.7,994.85626,1.1605,0.0,4.7,0.0,268.0,1.0,267.33,0.0,0.0,971.0
7,435393.0,24.89,19.715,994.85626,1.1605,0.0,4.7,0.0,353.0,1.0,267.33,0.0,0.0,1735.0
8,435444.0,24.89,19.707,994.86584,1.1605,0.0,4.7,0.0,359.0,1.0,267.33,0.0,0.0,1786.0
9,435852.0,24.89,19.7,994.892,1.1605,0.0,4.7,0.0,405.0,1.0,267.33,0.0,0.0,2194.0
10,435902.0,24.89,19.7,994.892,1.1605,0.0,4.7,0.0,410.0,1.0,267.33,0.0,0.0,2244.0
11,436004.0,24.901,19.7,994.892,1.1605,0.0,4.7,0.0,422.0,1.0,267.33,0.0,0.0,2346.0
12,436055.0,24.901,19.692,994.802,1.1604,0.0,4.7,0.0,427.0,1.0,267.33,0.0,0.0,2397.0
13,436768.0,24.89,19.7,994.85565,1.1605,0.0,4.7,0.0,507.0,1.0,267.33,0.0,0.0,3110.0
14,436818.0,24.912,19.692,994.83344,1.1604,0.0,4.7,0.0,513.0,1.0,267.33,0.0,0.0,3160.0
15,436921.0,24.912,19.692,994.85565,1.1604,0.0,4.7,0.0,524.0,1.0,267.33,0.0,0.0,3263.0
16,437073.0,24.89,19.692,994.815,1.1604,0.0,4.7,0.0,541.0,1.0,267.33,0.0,0.0,3415.0
17,437277.0,24.89,19.692,994.8189,1.1604,0.0,4.7,0.0,564.0,1.0,267.33,0.0,0.0,3619.0
18,437328.0,24.901,19.7,994.8233,1.1604,0.0,4.7,0.0,570.0,1.0,267.33,0.0,0.0,3670.0
19,438651.0,24.901,19.7,994.79517,1.1604,0.0,4.7,0.0,718.0,1.0,267.33,0.0,0.0,4993.0
20,438754.0,24.901,19.692,994.8088,1.1604,0.0,4.7,0.0,729.0,1.0,267.33,0.0,0.0,5096.0
21,438805.0,24.901,19.7,994.8141,1.1604,0.0,4.7,0.0,735.0,1.0,267.33,0.0,0.0,5147.0
22,438855.0,24.89,19.692,994.84546,1.1605,0.0,4.7,0.0,740.0,1.0,267.33,0.0,0.0,5197.0
23,438906.0,24.901,19.684,994.78156,1.1604,0.0,4.7,0.0,746.0,1.0,267.33,0.0,0.0,5248.0
24,439059.0,24.912,19.7,994.78156,1.1603,0.0,4.7,0.0,763.0,1.0,267.33,0.0,0.0,5401.0
25,439161.0,24.901,19.684,994.77234,1.1603,0.0,4.7,0.0,775.0,1.0,267.33,0.0,0.0,5503.0
26,439212.0,24.901,19.692,994.7545,1.1603,0.0,4.7,0.0,780.0,1.0,267.33,0.0,0.0,5554.0
27,439314.0,24.912,19.7,994.77234,1.1603,0.0,4.7,0.0,792.0,1.0,267.33,0.0,0.0,5656.0
28,439467.0,24.912,19.692,994.8173,1.1604,0.0,4.7,0.0,809.0,1.0,267.33,0.0,0.0,5809.0
29,439619.0,24.89,19.692,994.7902,1.1604,0.0,4.7,0.0,826.0,1.0,267.33,0.0,0.0,5961.0
30,439670.0,24.901,19.684,994.82166,1.1604,0.0,4.7,0.0,832.0,1.0,267.33,0.0,0.0,6012.0
31,439772.0,24.901,19.692,994.8088,1.1604,0.0,4.7,0.0,843.0,1.0,267.33,0.0,0.0,6114.0
32,440027.0,24.901,19.692,994.8081,1.1604,0.0,4.7,0.0,871.0,1.0,267.33,0.0,0.0,6369.0
33,440739.0,24.89,19.684,994.81305,1.1604,0.0,4.7,0.0,951.0,1.0,267.33,0.0,0.0,7081.0
34,440791.0,24.89,19.692,994.77234,1.1604,0.0,4.7,0.0,957.0,1.0,267.33,0.0,0.0,7133.0
35,440893.0,24.89,19.677,994.8445,1.1605,0.0,4.7,0.0,968.0,1.0,267.33,0.0,0.0,7235.0
36,441657.0,24.912,19.684,994.79956,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,7999.0
37,441759.0,24.912,19.677,994.8088,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8101.0
38,441809.0,24.912,19.692,994.8088,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8151.0
39,441861.0,24.912,19.677,994.80475,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8203.0
40,441912.0,24.901,19.684,994.76807,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8254.0
41,441963.0,24.89,19.677,994.76807,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8305.0
42,442014.0,24.922,19.677,994.76807,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8356.0
43,442116.0,24.912,19.692,994.8359,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8458.0
44,442167.0,24.901,19.7,994.8088,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,8509.0
45,442932.0,24.912,19.677,994.78687,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,9274.0
46,442982.0,24.922,19.684,994.78687,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,9324.0
47,443084.0,24.89,19.677,994.8088,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,9426.0
48,443187.0,24.901,19.677,994.79126,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,9529.0
49,8192.0,24.922,19.677,994.8716,1.1604,0.0,4.7,0.0,234.0,1.0,267.33,0.0,0.0,-434995.0
50,8243.0,24.89,19.677,994.8445,1.1605,0.0,4.7,0.0,239.0,1.0,267.33,0.0,0.0,-434944.0
51,8293.0,24.89,19.669,994.8445,1.1605,0.0,4.7,0.0,245.0,1.0,267.33,0.0,0.0,-434894.0
52,8395.0,24.901,19.677,994.8716,1.1605,0.0,4.7,0.0,256.0,1.0,267.33,0.0,0.0,-434792.0
53,9106.0,24.89,19.677,994.84937,1.1605,0.0,4.7,0.0,336.0,1.0,267.33,0.0,0.0,-434081.0
54,9208.0,24.912,19.684,994.858,1.1604,0.0,4.7,0.0,347.0,1.0,267.33,0.0,0.0,-433979.0
55,9310.0,24.922,19.684,994.9258,1.1604,0.0,4.7,0.0,359.0,1.0,267.33,0.0,0.0,-433877.0
56,9462.0,24.912,19.669,994.8359,1.1604,0.0,4.7,0.0,376.0,1.0,267.33,0.0,0.0,-433725.0
57,9512.0,24.912,19.669,994.8987,1.1605,0.0,4.7,0.0,381.0,1.0,267.33,0.0,0.0,-433675.0
58,9919.0,24.901,19.669,994.86237,1.1605,0.0,4.7,0.0,427.0,1.0,267.33,0.0,0.0,-433268.0
59,9970.0,24.89,19.677,994.86237,1.1605,0.0,4.7,0.0,432.0,1.0,267.33,0.0,0.0,-433217.0
60,10123.0,24.901,19.684,994.8759,1.1605,0.0,4.7,0.0,450.0,1.0,267.33,0.0,0.0,-433064.0
61,10224.0,24.912,19.692,994.86725,1.1604,0.0,4.7,0.0,461.0,1.0,267.33,0.0,0.0,-432963.0
62,10327.0,24.89,19.677,994.8173,1.1604,0.0,4.7,0.0,472.0,1.0,267.33,0.0,0.0,-432860.0
63,10988.0,24.901,19.692,994.858,1.1604,0.0,4.7,0.0,546.0,1.0,267.33,0.0,0.0,-432199.0
64,11038.0,24.901,19.669,994.812,1.1604,0.0,4.7,0.0,552.0,1.0,267.33,0.0,0.0,-432149.0
65,11089.0,24.912,19.677,994.781,1.1603,0.0,4.7,0.0,558.0,1.0,267.33,0.0,0.0,-432098.0
66,11141.0,24.89,19.677,994.781,1.1604,0.0,4.7,0.0,563.0,1.0,267.33,0.0,0.0,-432046.0
67,11191.0,24.912,19.684,994.785,1.1603,0.0,4.7,0.0,569.0,1.0,267.33,0.0,0.0,-431996.0
