Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,5051794.0,24.847,17.792,994.67017,1.1607,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5051794.0
1,5053869.0,24.847,17.777,994.6179,1.1606,0.0,4.7,0.0,194.0,1.0,267.33,0.0,0.0,2075.0
2,5053920.0,24.879,17.785,994.6493,1.1606,0.0,4.7,0.0,200.0,1.0,267.33,0.0,0.0,2126.0
3,5053971.0,24.858,17.785,994.6358,1.1606,0.0,4.7,0.0,205.0,1.0,267.33,0.0,0.0,2177.0
4,5054022.0,24.858,17.785,994.6358,1.1606,0.0,4.7,0.0,211.0,1.0,267.33,0.0,0.0,2228.0
5,5054124.0,24.858,17.777,994.6847,1.1607,0.0,4.7,0.0,222.0,1.0,267.33,0.0,0.0,2330.0
6,5054175.0,24.869,17.785,994.6804,1.1606,0.0,4.7,0.0,228.0,1.0,267.33,0.0,0.0,2381.0
7,5054277.0,24.858,17.792,994.66284,1.1607,0.0,4.7,0.0,240.0,1.0,267.33,0.0,0.0,2483.0
8,5054481.0,24.858,17.792,994.6847,1.1607,0.0,4.7,0.0,262.0,1.0,267.33,0.0,0.0,2687.0
9,5054582.0,24.858,17.785,994.6933,1.1607,0.0,4.7,0.0,274.0,1.0,267.33,0.0,0.0,2788.0
10,5054736.0,24.847,17.792,994.6662,1.1607,0.0,4.7,0.0,291.0,1.0,267.33,0.0,0.0,2942.0
11,5054888.0,24.858,17.785,994.66095,1.1607,0.0,4.7,0.0,308.0,1.0,267.33,0.0,0.0,3094.0
12,5054990.0,24.869,17.785,994.63477,1.1606,0.0,4.7,0.0,319.0,1.0,267.33,0.0,0.0,3196.0
13,5055195.0,24.869,17.792,994.6662,1.1606,0.0,4.7,0.0,342.0,1.0,267.33,0.0,0.0,3401.0
