Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,810950.0,25.266,19.921,995.4013,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,810950.0
1,810950.0,25.266,19.921,995.4013,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,810950.0
2,812356.0,25.255,19.928,995.3395,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,812356.0
3,812864.0,25.255,19.921,995.3056,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,812864.0
4,813069.0,25.244,19.921,995.3007,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,205.0
5,813172.0,25.266,19.913,995.33704,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,308.0
6,813223.0,25.244,19.928,995.35986,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,359.0
7,813376.0,25.244,19.921,995.30994,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,512.0
8,814290.0,25.244,19.928,995.28375,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1426.0
9,815968.0,25.223,19.913,995.3208,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3104.0
10,816171.0,25.255,19.928,995.3116,1.1595,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3307.0
11,817239.0,25.233,19.921,995.38367,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4375.0
12,817392.0,25.233,19.913,995.3677,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4528.0
13,817799.0,25.223,19.921,995.3658,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4935.0
14,817850.0,25.244,19.921,995.3658,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4986.0
15,818053.0,25.233,19.921,995.34393,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5189.0
16,818307.0,25.244,19.928,995.3575,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5443.0
17,818409.0,25.223,19.906,995.3667,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5545.0
18,818459.0,25.244,19.921,995.3677,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,5595.0
19,819171.0,25.212,19.913,995.3541,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,6307.0
20,820035.0,25.223,19.928,995.3862,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,7171.0
21,820085.0,25.223,19.921,995.3862,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,7221.0
22,820136.0,25.223,19.906,995.36835,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,7272.0
23,821001.0,25.233,19.928,995.3727,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,8137.0
24,821203.0,25.212,19.921,995.3567,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,8339.0
25,821966.0,25.212,19.928,995.35486,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,9102.0
26,822118.0,25.233,19.944,995.3049,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,9254.0
27,822169.0,25.223,19.944,995.3049,1.1596,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,9305.0
28,822881.0,25.223,19.951,995.42194,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,10017.0
29,823187.0,25.233,19.959,995.3812,1.1597,0.0,14.0,0.0,270.0,1.0,796.34,0.0,0.0,10323.0
30,824206.0,25.244,19.974,995.4855,1.1597,0.0,4.7,0.0,291.0,1.0,267.33,0.0,0.0,11342.0
31,824511.0,25.244,19.967,995.45306,1.1597,0.0,4.7,0.0,325.0,1.0,267.33,0.0,0.0,11647.0
32,824664.0,25.223,19.967,995.45825,1.1598,0.0,4.7,0.0,342.0,1.0,267.33,0.0,0.0,11800.0
33,824715.0,25.255,19.967,995.41675,1.1596,0.0,4.7,0.0,348.0,1.0,267.33,0.0,0.0,11851.0
34,824766.0,25.255,19.974,995.48016,1.1597,0.0,4.7,0.0,353.0,1.0,267.33,0.0,0.0,11902.0
35,824867.0,25.244,19.974,995.4395,1.1597,0.0,4.7,0.0,365.0,1.0,267.33,0.0,0.0,12003.0
36,824970.0,25.244,19.967,995.40314,1.1596,0.0,4.7,0.0,376.0,1.0,267.33,0.0,0.0,12106.0
37,825071.0,25.233,19.982,995.40906,1.1597,0.0,4.7,0.0,387.0,1.0,267.33,0.0,0.0,12207.0
38,825784.0,25.244,19.982,995.43024,1.1597,0.0,4.7,0.0,467.0,1.0,267.33,0.0,0.0,12920.0
39,826039.0,25.244,19.982,995.4395,1.1597,0.0,4.7,0.0,496.0,1.0,267.33,0.0,0.0,13175.0
40,826243.0,25.244,20.005,995.45306,1.1597,0.0,4.7,0.0,519.0,1.0,267.33,0.0,0.0,13379.0
41,826344.0,25.233,19.99,995.4437,1.1597,0.0,4.7,0.0,530.0,1.0,267.33,0.0,0.0,13480.0
42,826446.0,25.233,19.99,995.3939,1.1597,0.0,4.7,0.0,541.0,1.0,267.33,0.0,0.0,13582.0
43,826599.0,25.244,20.005,995.42596,1.1597,0.0,4.7,0.0,558.0,1.0,267.33,0.0,0.0,13735.0
44,826701.0,25.244,19.99,995.4345,1.1597,0.0,4.7,0.0,570.0,1.0,267.33,0.0,0.0,13837.0
45,826752.0,25.244,20.005,995.4345,1.1597,0.0,4.7,0.0,575.0,1.0,267.33,0.0,0.0,13888.0
46,827719.0,25.212,20.012,995.4253,1.1598,0.0,4.7,0.0,684.0,1.0,267.33,0.0,0.0,14855.0
47,827770.0,25.244,20.02,995.4481,1.1597,0.0,4.7,0.0,689.0,1.0,267.33,0.0,0.0,14906.0
48,827923.0,25.244,20.02,995.375,1.1596,0.0,4.7,0.0,706.0,1.0,267.33,0.0,0.0,15059.0
49,828534.0,25.266,20.035,995.4428,1.1596,0.0,4.7,0.0,775.0,1.0,267.33,0.0,0.0,15670.0
50,828636.0,25.244,20.028,995.4428,1.1597,0.0,4.7,0.0,786.0,1.0,267.33,0.0,0.0,15772.0
51,828687.0,25.255,20.028,995.4253,1.1596,0.0,4.7,0.0,792.0,1.0,267.33,0.0,0.0,15823.0
52,828738.0,25.255,20.035,995.42,1.1596,0.0,4.7,0.0,798.0,1.0,267.33,0.0,0.0,15874.0
