Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,958141.0,25.244,20.257,995.4705,1.1597,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,865.0
1,958192.0,25.223,20.264,995.46655,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,916.0
2,958396.0,25.223,20.272,995.4705,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,1120.0
3,958955.0,25.244,20.272,995.47485,1.1597,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,1679.0
4,959006.0,25.212,20.272,995.47485,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,1730.0
5,959210.0,25.223,20.272,995.46564,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,1934.0
6,959260.0,25.244,20.272,995.5062,1.1597,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,1984.0
7,959464.0,25.212,20.287,995.48846,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,2188.0
8,959668.0,25.212,20.287,995.4917,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,2392.0
9,959820.0,25.233,20.279,995.47485,1.1597,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,2544.0
10,959923.0,25.233,20.287,995.48846,1.1597,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,2647.0
11,959973.0,25.223,20.287,995.48846,1.1598,0.0,35.36,0.0,682.0,0.0,2011.55,0.0,0.0,2697.0
