Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,3.83,3.86,3.3,0.0359,12.8,0.0,87.0,2.7,869.0,17.0,2481.0,47.0,38.0,0.15999985
1,4.59,4.4,3.74,0.0416,5.4,0.0,74.7,3.4,876.0,16.3,2482.0,47.0,39.0,0.9200001
2,4.55,3.25,3.89,0.0307,3.8,0.0,79.3,3.4,1018.0,14.8,2483.0,47.0,40.0,0.8800001
3,3.03,4.32,4.1,0.0312,10.3,0.0,97.7,3.41,878.0,14.5,2484.0,47.0,41.0,-0.6400001
4,3.95,3.56,4.44,0.0421,9.1,0.0,78.0,3.02,935.0,8.1,2485.0,47.0,42.0,0.27999997
5,4.74,3.07,3.2,0.049200002,7.3,0.0,72.3,2.36,1041.0,15.7,2486.0,47.0,43.0,1.0699997
6,4.35,4.32,4.18,0.0437,17.4,0.0,87.3,2.35,1078.0,4.4,2487.0,47.0,44.0,0.6799998
7,3.41,4.16,3.95,0.0435,3.0,0.0,85.3,3.33,1010.0,12.1,2488.0,47.0,45.0,-0.26
8,4.0,3.9,4.91,0.038900003,3.9,0.0,92.9,2.38,1063.0,13.9,2489.0,47.0,46.0,0.32999992
9,3.48,4.19,4.93,0.035,3.4,0.0,77.7,2.12,975.0,5.5,2490.0,47.0,47.0,-0.19000006
10,4.83,3.03,3.49,0.0356,16.5,0.0,97.0,2.57,1026.0,15.1,2491.0,47.0,48.0,1.1599998
11,3.57,4.05,4.16,0.0494,4.1,0.0,70.7,3.01,913.0,11.6,2492.0,47.0,49.0,-0.10000014
12,3.64,3.15,3.09,0.0372,12.5,0.0,84.1,3.23,924.0,15.3,2493.0,47.0,50.0,-0.029999971
13,4.12,4.08,4.26,0.0463,4.4,0.0,76.5,2.3,978.0,16.5,2494.0,47.0,51.0,0.4499998
14,4.65,3.56,3.81,0.0478,11.5,0.0,79.4,2.26,809.0,3.9,2495.0,48.0,0.0,0.98
15,4.08,4.14,3.86,0.0372,4.6,0.0,89.7,3.39,1066.0,14.4,2496.0,48.0,1.0,0.40999985
16,4.68,4.61,4.32,0.0416,8.2,0.0,95.9,3.35,936.0,17.0,2497.0,48.0,2.0,1.0099998
17,4.61,3.13,4.74,0.0467,12.1,0.0,93.3,2.43,895.0,9.9,2498.0,48.0,3.0,0.94000006
18,3.02,4.66,3.42,0.0388,17.1,0.0,94.0,2.8,974.0,6.3,2499.0,48.0,4.0,-0.6500001
19,3.08,3.39,3.43,0.0382,9.3,0.0,81.3,2.03,817.0,6.8,2500.0,48.0,5.0,-0.59000015
20,3.49,4.31,4.55,0.037,6.9,0.0,93.6,2.44,1094.0,17.0,2501.0,48.0,6.0,-0.18000007
21,3.65,4.18,3.3,0.0325,6.9,0.0,93.3,2.36,1047.0,8.7,2502.0,48.0,7.0,-0.01999998
22,3.01,3.29,3.26,0.0369,4.5,0.0,99.6,2.98,933.0,7.1,2503.0,48.0,8.0,-0.6600001
23,3.47,3.59,4.47,0.048800003,11.0,0.0,77.8,2.37,1035.0,7.9,2504.0,48.0,9.0,-0.20000005
24,4.71,4.33,4.12,0.0466,15.3,0.0,93.8,3.41,939.0,3.9,2505.0,48.0,10.0,1.04
25,4.73,4.52,4.81,0.0335,5.5,0.0,76.3,2.34,1099.0,9.7,2506.0,48.0,11.0,1.06
26,3.97,4.09,4.63,0.0493,12.2,0.0,99.9,3.29,961.0,8.5,2507.0,48.0,12.0,0.29999995
27,4.15,3.85,3.08,0.030299999,12.1,0.0,98.8,2.6,1060.0,7.4,2508.0,48.0,13.0,0.48000002
28,3.12,4.31,3.38,0.0484,9.2,0.0,79.5,2.24,1026.0,5.5,2509.0,48.0,14.0,-0.5500002
29,3.46,4.76,4.1,0.040799998,17.5,0.0,77.9,3.39,914.0,5.4,2510.0,48.0,15.0,-0.21000004
30,4.27,3.2,4.43,0.0392,16.0,0.0,74.0,2.88,846.0,7.8,2511.0,48.0,16.0,0.5999999
31,3.91,4.46,4.13,0.0328,12.7,0.0,84.6,3.42,1024.0,15.9,2512.0,48.0,17.0,0.24000001
32,3.59,4.85,3.45,0.0395,15.1,0.0,88.7,3.03,920.0,13.2,2513.0,48.0,18.0,-0.08000016
33,4.58,4.36,3.23,0.0481,6.5,0.0,87.5,2.62,873.0,17.5,2514.0,48.0,19.0,0.90999985
34,4.31,3.24,3.77,0.0495,8.4,0.0,71.0,3.06,906.0,4.6,2515.0,48.0,20.0,0.63999987
35,4.05,3.76,3.95,0.0372,8.1,0.0,96.8,2.84,878.0,4.3,2516.0,48.0,21.0,0.3800001
36,3.4,4.45,3.94,0.0366,5.5,0.0,86.9,2.67,1026.0,17.2,2517.0,48.0,22.0,-0.26999998
37,4.24,3.544,3.66,0.033,5.0,0.0,92.8,3.05,979.0,2612.0,50.0,13.0,1.0,0.5699997
38,4.76,4.92,3.24,0.0366,3.3,0.0,77.0,2.04,910.0,5.0,2612.0,50.0,13.0,1.0900002
39,3.91,4.74,3.76,0.0497,6.0,0.0,91.2,2.85,895.0,17.3,2613.0,50.0,14.0,0.24000001
40,4.85,3.42,4.43,0.047399998,12.1,0.0,87.8,3.38,941.0,13.6,2614.0,50.0,15.0,1.1799998
41,4.12,4.67,4.7,0.040599998,13.3,0.0,87.8,3.01,1050.0,12.5,2615.0,50.0,16.0,0.4499998
42,4.25,3.92,4.32,0.0328,15.9,0.0,93.3,3.21,919.0,9.6,2616.0,50.0,17.0,0.5799999
43,3.88,3.12,3.33,0.0385,10.3,0.0,86.0,2.1,981.0,8.4,2617.0,50.0,18.0,0.21000004
44,4.21,4.82,3.95,0.0387,5.8,0.0,76.5,2.82,808.0,8.4,2618.0,50.0,19.0,0.53999996
45,3.08,3.53,3.01,0.0424,3.6,0.0,87.5,2.83,1088.0,9.7,2619.0,50.0,20.0,-0.59000015
46,3.1,4.64,3.82,0.0434,12.3,0.0,89.3,2.64,818.0,17.2,2620.0,50.0,21.0,-0.5700002
47,3.3,4.1,4.47,0.031400003,9.0,0.0,79.5,2.82,1062.0,10.2,2621.0,50.0,22.0,-0.37000012
48,4.75,3.82,4.4,0.0442,3.1,0.0,88.4,2.73,1037.0,15.7,2622.0,50.0,23.0,1.0799999
49,3.24,4.03,4.54,0.047,11.1,0.0,85.8,2.0,883.0,9.5,2623.0,50.0,24.0,-0.43000007
50,3.39,4.32,3.81,0.042,9.2,0.0,75.2,2.88,1057.0,9.7,2624.0,50.0,25.0,-0.27999997
51,3.99,4.65,3.92,0.0435,8.5,0.0,77.6,2.17,1011.0,9.5,2625.0,50.0,26.0,0.31999993
52,3.91,3.0,3.38,0.041199997,10.7,0.0,88.6,2.04,883.0,16.5,2626.0,50.0,27.0,0.24000001
53,3.23,3.53,4.42,0.0385,7.4,0.0,97.7,2.79,920.0,11.2,2627.0,50.0,28.0,-0.44000006
54,3.22,4.86,3.29,0.047,3.2,0.0,88.1,3.05,996.0,4.5,2628.0,50.0,29.0,-0.45000005
55,4.74,3.13,4.53,0.0484,14.5,0.0,83.3,2.08,964.0,7.4,2629.0,50.0,30.0,1.0699997
56,4.78,3.43,3.83,0.0337,4.9,0.0,97.9,2.21,1022.0,9.0,2630.0,50.0,31.0,1.1100001
57,3.77,4.69,3.58,0.0476,13.2,0.0,74.7,2.0,917.0,14.6,2631.0,50.0,32.0,0.099999905
58,3.92,4.87,4.96,0.0434,7.4,0.0,82.2,2.33,1019.0,17.2,2632.0,50.0,33.0,0.25
59,4.64,3.37,4.37,0.0432,16.6,0.0,86.5,2.94,955.0,10.2,2633.0,50.0,34.0,0.9699998
60,3.77,3.06,4.95,0.042,4.7,0.0,79.8,2.98,1078.0,8.6,2634.0,50.0,35.0,0.099999905
61,4.4,4.54,3.02,0.0319,17.5,0.0,77.1,2.67,810.0,9.9,2635.0,50.0,36.0,0.73
62,4.73,3.38,3.85,0.0321,5.6,0.0,72.7,3.24,807.0,6.8,2636.0,50.0,37.0,1.06
63,4.1,4.75,4.82,0.048699997,12.6,0.0,85.5,2.74,984.0,8.1,2637.0,50.0,38.0,0.42999983
64,3.25,4.35,4.15,0.048499998,11.1,0.0,71.0,3.05,1066.0,16.0,2638.0,50.0,39.0,-0.42000008
65,3.18,3.37,3.72,0.044899996,5.6,0.0,84.9,2.09,876.0,4.6,2639.0,50.0,40.0,-0.49
66,3.87,4.99,4.14,0.047199998,14.3,0.0,89.2,3.38,825.0,4.7,2640.0,50.0,41.0,0.19999981
67,4.35,3.28,3.36,0.048699997,10.5,0.0,74.2,3.04,842.0,13.3,2641.0,50.0,42.0,0.6799998
68,4.38,4.62,4.63,0.0461,4.7,0.0,75.1,2.95,884.0,10.9,2642.0,50.0,43.0,0.71000004
69,3.0,4.55,3.24,0.044,7.6,0.0,73.8,3.46,848.0,15.7,2643.0,50.0,44.0,-0.6700001
70,4.69,4.92,3.31,0.0322,16.6,0.0,92.9,2.51,925.0,13.8,2644.0,50.0,45.0,1.02
71,3.15,3.89,3.87,0.037100002,4.6,0.0,94.8,3.29,1079.0,17.4,2645.0,50.0,46.0,-0.52
72,4.56,3.2,4.03,0.043899998,6.5,0.0,84.2,2.77,1021.0,9.8,2646.0,50.0,47.0,0.88999987
73,4.37,4.17,4.0,0.0342,14.7,0.0,92.3,2.51,925.0,5.9,2647.0,50.0,48.0,0.6999998
74,3.73,3.85,3.35,0.040799998,14.4,0.0,85.2,2.92,848.0,16.2,2648.0,50.0,49.0,0.059999943
75,4.71,4.15,4.45,0.0347,5.5,0.0,99.9,2.36,913.0,10.2,2649.0,50.0,50.0,1.04
76,4.66,4.54,4.33,0.030199999,10.0,0.0,86.7,2.42,1050.0,5.9,2650.0,50.0,51.0,0.9899998
77,4.49,3.71,4.19,0.0481,13.3,0.0,74.1,3.29,843.0,3.6,2651.0,51.0,0.0,0.8199997
78,4.36,3.96,4.69,0.048800003,6.1,0.0,84.6,2.61,921.0,4.5,2652.0,51.0,1.0,0.69000006
79,3.33,4.8,4.68,0.0334,5.4,0.0,86.4,2.62,833.0,8.7,2653.0,51.0,2.0,-0.34000015
80,4.05,3.77,3.32,0.0323,12.3,0.0,87.9,2.19,1064.0,5.4,2654.0,51.0,3.0,0.3800001
81,3.14,4.83,4.17,0.037100002,9.5,0.0,96.7,3.39,884.0,15.4,2655.0,51.0,4.0,-0.53
82,4.16,3.71,3.33,0.0397,10.9,0.0,95.4,3.49,928.0,17.3,2656.0,51.0,5.0,0.48999977
83,3.88,4.98,3.79,0.0438,15.6,0.0,91.6,3.32,938.0,17.7,2657.0,51.0,6.0,0.21000004
84,4.03,3.06,3.08,0.034,8.4,0.0,71.5,3.19,890.0,5.6,2658.0,51.0,7.0,0.36000013
85,3.24,4.74,4.5,0.048,13.3,0.0,74.5,3.12,1029.0,15.9,2659.0,51.0,8.0,-0.43000007
86,3.95,3.75,4.4,0.0343,17.8,0.0,92.0,2.77,1008.0,10.4,2660.0,51.0,9.0,0.27999997
87,3.83,4.82,4.73,0.042,7.4,0.0,95.3,2.96,861.0,17.4,2661.0,51.0,10.0,0.15999985
88,4.18,3.56,4.1,0.0323,15.3,0.0,95.3,2.02,1004.0,8.0,2662.0,51.0,11.0,0.50999975
89,4.63,4.91,4.51,0.038900003,13.4,0.0,74.5,2.11,871.0,11.4,2663.0,51.0,12.0,0.96000004
90,4.21,4.21,3.44,0.0369,10.1,0.0,71.6,2.48,1000.0,14.6,2664.0,51.0,13.0,0.53999996
91,4.46,3.92,3.03,0.0352,13.7,0.0,86.5,3.21,869.0,4.8,2665.0,51.0,14.0,0.78999996
92,3.2,3.97,4.54,0.041100003,13.3,0.0,81.5,2.37,805.0,15.4,2666.0,51.0,15.0,-0.47000003
93,3.18,3.54,3.8,0.0478,12.8,0.0,77.8,2.7,953.0,10.5,2667.0,51.0,16.0,-0.49
