Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,3.99,3.93,3.58,0.0396,16.8,0.0,70.1,2.97,807.0,3.8,2572.0,3.32,4.03,3.99
1,3.99,3.93,3.58,0.0396,16.8,0.0,74.5,3.09,947.0,3.8,2572.0,49.0,25.0,3.99
2,3.92,3.42,4.87,0.0403,15.7,0.0,94.0,3.09,865.0,10.9,1.0,0.0,2.0,3.92
3,4.69,4.09,4.57,0.046,6.3,0.0,81.2,2.4,803.0,12.9,2.0,0.0,3.0,4.69
4,3.97,3.26,4.12,0.0367,14.0,0.0,81.6,2.78,1035.0,6.3,3.0,0.0,4.0,3.97
5,3.21,4.67,3.72,0.0493,6.6,0.0,74.9,2.79,1079.0,6.5,4.0,0.0,5.0,3.21
6,4.94,4.57,3.01,0.045300003,8.8,0.0,82.8,2.95,891.0,12.4,5.0,0.0,6.0,4.94
7,4.96,4.3,4.03,0.0422,4.6,0.0,99.0,3.18,824.0,12.9,6.0,0.0,7.0,4.96
8,4.77,3.08,3.28,0.0433,17.8,0.0,80.1,2.74,1053.0,6.1,7.0,0.0,8.0,4.77
9,3.14,3.63,4.36,0.0325,14.9,0.0,71.3,2.85,965.0,4.5,8.0,0.0,9.0,3.14
10,4.17,4.95,4.05,0.0304,8.1,0.0,82.9,2.94,801.0,7.8,9.0,0.0,10.0,4.17
11,3.82,4.52,4.66,0.0416,11.7,0.0,72.3,3.38,805.0,6.8,10.0,0.0,11.0,3.82
12,3.71,3.28,4.37,0.0458,15.7,0.0,90.1,3.44,1097.0,17.7,11.0,0.0,12.0,3.71
13,3.31,4.45,4.75,0.0335,12.8,0.0,90.4,3.44,1009.0,17.2,12.0,0.0,13.0,3.31
14,3.6,4.57,4.94,0.0308,17.5,0.0,76.8,2.49,1012.0,4.8,13.0,0.0,14.0,3.6
15,4.62,4.42,4.65,0.0382,8.2,0.0,83.0,3.13,906.0,9.7,14.0,0.0,15.0,4.62
16,3.71,4.01,4.9,0.033099998,6.8,0.0,89.5,2.21,912.0,8.7,15.0,0.0,16.0,3.71
17,3.79,4.35,3.06,0.047199998,17.8,0.0,99.0,2.16,940.0,7.5,16.0,0.0,17.0,3.79
18,3.89,4.6,4.05,0.042600002,15.3,0.0,75.4,2.69,823.0,8.6,17.0,0.0,18.0,3.89
19,3.94,3.2,3.44,0.0466,6.4,0.0,87.0,3.13,938.0,5.6,18.0,0.0,19.0,3.94
20,3.44,4.9,4.5,0.045900002,10.3,0.0,86.3,3.44,938.0,17.7,19.0,0.0,20.0,3.44
21,4.39,3.47,4.85,0.0396,11.5,0.0,91.7,2.85,1072.0,10.3,20.0,0.0,21.0,4.39
22,4.35,4.15,3.25,0.0434,17.2,0.0,74.4,2.7,868.0,4.1,21.0,0.0,22.0,4.35
23,3.95,3.18,4.96,0.0392,4.5,0.0,95.2,3.29,944.0,12.1,22.0,0.0,23.0,3.95
24,4.53,4.47,3.25,0.031,9.2,0.0,96.9,2.83,897.0,14.1,23.0,0.0,24.0,4.53
25,3.25,4.35,3.68,0.0495,15.6,0.0,97.7,3.08,861.0,14.7,24.0,0.0,25.0,3.25
26,4.56,4.01,3.72,0.046,7.4,0.0,97.4,3.39,1031.0,6.4,25.0,0.0,26.0,4.56
27,3.15,4.93,4.69,0.038,8.5,0.0,88.9,2.05,807.0,13.5,26.0,0.0,27.0,3.15
28,3.76,4.08,3.49,0.0431,17.4,0.0,76.3,2.06,1002.0,6.8,27.0,0.0,28.0,3.76
29,3.49,3.03,4.31,0.0431,9.4,0.0,89.7,3.08,851.0,14.9,28.0,0.0,29.0,3.49
30,4.29,3.23,3.54,0.036,11.7,0.0,90.9,2.25,980.0,7.5,29.0,0.0,30.0,4.29
31,3.56,4.64,4.97,0.0348,8.4,0.0,92.5,3.17,1000.0,8.0,30.0,0.0,31.0,3.56
32,4.54,4.97,4.04,0.0481,17.8,0.0,77.6,2.0,1012.0,4.5,31.0,0.0,32.0,4.54
33,4.29,4.53,3.83,0.0347,8.7,0.0,99.9,3.28,809.0,5.3,32.0,0.0,33.0,4.29
34,3.53,3.24,3.3,0.0466,3.0,0.0,80.5,3.22,1076.0,17.4,33.0,0.0,34.0,3.53
35,3.98,4.55,4.33,0.045700002,5.6,0.0,98.5,2.2,816.0,15.8,34.0,0.0,35.0,3.98
36,3.78,3.14,3.19,0.0437,11.3,0.0,95.7,2.66,1011.0,7.1,35.0,0.0,36.0,3.78
37,4.97,3.31,4.88,0.048899997,15.3,0.0,96.2,2.7,933.0,5.7,36.0,0.0,37.0,4.97
38,3.54,4.6,4.15,0.044699997,11.0,0.0,95.8,2.04,800.0,16.0,37.0,0.0,38.0,3.54
39,3.38,3.0,4.26,0.0335,8.7,0.0,94.6,3.05,807.0,14.3,38.0,0.0,39.0,3.38
40,4.54,3.18,4.57,0.048499998,15.9,0.0,99.3,2.14,1060.0,14.5,39.0,0.0,40.0,4.54
41,3.43,3.19,4.67,0.044699997,14.9,0.0,80.2,3.13,1017.0,7.5,40.0,0.0,41.0,3.43
42,4.48,4.85,3.58,0.0359,3.6,0.0,97.3,2.03,803.0,11.0,41.0,0.0,42.0,4.48
43,3.03,3.97,4.2,0.045,11.1,0.0,83.2,2.74,1073.0,16.0,42.0,0.0,43.0,3.03
44,4.33,3.58,3.03,0.0376,13.0,0.0,90.0,3.03,1020.0,6.4,43.0,0.0,44.0,4.33
45,4.74,4.49,4.42,0.0349,10.1,0.0,77.9,2.8,832.0,9.0,44.0,0.0,45.0,4.74
46,3.4,4.23,3.5,0.0471,15.9,0.0,98.3,2.79,870.0,9.8,45.0,0.0,46.0,3.4
47,3.21,4.76,4.24,0.0344,3.8,0.0,99.9,2.96,830.0,12.6,46.0,0.0,47.0,3.21
48,4.98,4.51,4.4,0.0403,8.1,0.0,96.4,2.21,1060.0,8.1,47.0,0.0,48.0,4.98
49,3.74,3.49,3.13,0.042,15.5,0.0,88.0,2.05,918.0,9.2,48.0,0.0,49.0,3.74
50,3.08,4.5,4.24,0.0495,3.7,0.0,78.8,2.33,817.0,9.1,49.0,0.0,50.0,3.08
51,4.93,4.53,4.65,0.046,12.2,0.0,76.6,2.9,910.0,8.3,50.0,0.0,51.0,4.93
52,4.1,3.0,4.99,0.0427,10.1,0.0,80.7,2.02,941.0,11.7,51.0,1.0,0.0,4.1
53,4.17,4.48,3.42,0.041500002,15.4,0.0,82.5,2.14,841.0,12.5,52.0,1.0,1.0,4.17
54,3.39,3.54,4.05,0.0429,13.3,0.0,72.0,2.23,1011.0,11.9,53.0,1.0,2.0,3.39
