Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,1000948.0,25.201,20.203,995.8353,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1000948.0
1,1000948.0,25.201,20.203,995.8353,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1000948.0
2,1001588.0,25.201,20.188,995.79553,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1001588.0
3,1001588.0,25.201,20.188,995.79553,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1001588.0
4,1003046.0,25.201,20.196,995.78595,1.1602,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1003046.0
5,1003352.0,25.212,20.188,995.77673,1.1602,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1003352.0
6,1003504.0,25.201,20.188,995.7631,1.1602,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1003504.0
7,1004270.0,25.18,20.188,995.77673,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,766.0
8,1004524.0,25.169,20.188,995.8081,1.1604,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1020.0
9,1004575.0,25.201,20.188,995.80383,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1071.0
10,1004626.0,25.201,20.18,995.80383,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1122.0
11,1004677.0,25.18,20.18,995.77673,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1173.0
12,1004880.0,25.201,20.188,995.7946,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1376.0
13,1004932.0,25.18,20.203,995.7989,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1428.0
14,1005033.0,25.18,20.18,995.7903,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1529.0
15,1005084.0,25.19,20.188,995.8353,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1580.0
16,1005186.0,25.19,20.18,995.7946,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1682.0
17,1006000.0,25.18,20.196,995.8939,1.1605,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2496.0
18,1006050.0,25.19,20.188,995.85315,1.1604,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2546.0
19,1006254.0,25.201,20.18,995.8125,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2750.0
20,1006305.0,25.19,20.188,995.85315,1.1604,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2801.0
21,1007118.0,25.201,20.18,995.7903,1.1602,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3614.0
22,1007169.0,25.19,20.188,995.75885,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3665.0
23,1007270.0,25.201,20.196,995.83093,1.1603,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,3766.0
24,1008186.0,25.169,20.196,995.79126,1.1604,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4682.0
25,1008288.0,25.18,20.188,995.8091,1.1604,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,4784.0
