Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,300621.0,24.74,19.799,994.87964,1.1611,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,300621.0
1,301723.0,24.719,19.829,994.87036,1.1612,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,301723.0
2,301826.0,24.751,19.806,994.84326,1.161,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,301826.0
3,301877.0,24.719,19.806,994.90674,1.1612,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,301877.0
4,302438.0,24.74,19.806,994.9111,1.1611,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,302438.0
5,302488.0,24.74,19.806,994.9111,1.1611,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,302488.0
6,302590.0,24.751,19.799,994.9425,1.1611,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,302590.0
7,302693.0,24.761,19.799,994.9517,1.1611,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,103.0
8,302900.0,24.761,19.799,994.97876,1.1611,0.0,4.7,0.0,188.0,1.0,267.33,0.0,0.0,310.0
9,303612.0,24.751,19.791,994.8892,1.1611,0.0,4.7,0.0,268.0,1.0,267.33,0.0,0.0,1022.0
10,303714.0,24.751,19.814,994.9473,1.1611,0.0,4.7,0.0,279.0,1.0,267.33,0.0,0.0,1124.0
11,303765.0,24.751,19.814,994.9434,1.1611,0.0,4.7,0.0,285.0,1.0,267.33,0.0,0.0,1175.0
12,303816.0,24.74,19.806,994.9434,1.1612,0.0,4.7,0.0,291.0,1.0,267.33,0.0,0.0,1226.0
13,303918.0,24.74,19.791,994.91626,1.1612,0.0,4.7,0.0,302.0,1.0,267.33,0.0,0.0,1328.0
14,304681.0,24.729,19.806,994.9652,1.1613,0.0,4.7,0.0,388.0,1.0,267.33,0.0,0.0,2091.0
15,305445.0,24.74,19.799,994.9652,1.1612,0.0,4.7,0.0,473.0,1.0,267.33,0.0,0.0,2855.0
16,305599.0,24.751,19.814,994.9299,1.1611,0.0,4.7,0.0,490.0,1.0,267.33,0.0,0.0,3009.0
17,305649.0,24.751,19.791,994.9473,1.1611,0.0,4.7,0.0,496.0,1.0,267.33,0.0,0.0,3059.0
18,306007.0,24.74,19.791,994.9256,1.1612,0.0,4.7,0.0,536.0,1.0,267.33,0.0,0.0,3417.0
19,307076.0,24.751,19.799,994.98804,1.1612,0.0,4.7,0.0,655.0,1.0,267.33,0.0,0.0,4486.0
20,307279.0,24.761,19.791,994.9381,1.1611,0.0,4.7,0.0,678.0,1.0,267.33,0.0,0.0,4689.0
21,307331.0,24.751,19.791,995.0059,1.1612,0.0,4.7,0.0,684.0,1.0,267.33,0.0,0.0,4741.0
22,307432.0,24.751,19.799,994.9203,1.1611,0.0,4.7,0.0,695.0,1.0,267.33,0.0,0.0,4842.0
23,307483.0,24.751,19.806,994.9203,1.1611,0.0,4.7,0.0,701.0,1.0,267.33,0.0,0.0,4893.0
24,307534.0,24.751,19.791,994.9246,1.1611,0.0,4.7,0.0,706.0,1.0,267.33,0.0,0.0,4944.0
25,307585.0,24.751,19.791,994.9153,1.1611,0.0,4.7,0.0,712.0,1.0,267.33,0.0,0.0,4995.0
26,307636.0,24.751,19.806,994.9153,1.1611,0.0,4.7,0.0,718.0,1.0,267.33,0.0,0.0,5046.0
27,307687.0,24.751,19.799,994.9517,1.1612,0.0,4.7,0.0,724.0,1.0,267.33,0.0,0.0,5097.0
