Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,6500908.0,23.067,21.691,1003.58154,1.178,2.919,14.0,6.0,270.0,0.0,-113.74,0.0,0.0,6500908.0
1,6501098.0,23.045,21.699,1003.6222,1.1781,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6501098.0
2,6501287.0,23.045,21.676,1003.5899,1.1781,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6501287.0
3,6501478.0,23.056,21.699,1003.5899,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6501478.0
4,6501668.0,23.045,21.683,1003.56287,1.178,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6501668.0
5,6501858.0,23.056,21.683,1003.56366,1.178,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6501858.0
6,6502048.0,23.045,21.676,1003.5545,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6502048.0
7,6502238.0,23.056,21.683,1003.5502,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6502238.0
8,6502428.0,23.045,21.683,1003.5899,1.1781,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6502428.0
9,6502618.0,23.067,21.699,1003.56287,1.1779,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6502618.0
10,6502808.0,23.067,21.683,1003.58154,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6502808.0
11,6502998.0,23.045,21.699,1003.51794,1.178,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6502998.0
12,6503188.0,23.024,21.691,1003.53156,1.1781,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6503188.0
13,6503377.0,23.056,21.699,1003.58514,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6503377.0
14,6503568.0,23.056,21.699,1003.5538,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6503568.0
15,6503758.0,23.056,21.683,1003.56287,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6503758.0
16,6503948.0,23.067,21.699,1003.53156,1.1779,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6503948.0
17,6504138.0,23.067,21.676,1003.56213,1.1779,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6504138.0
18,6504328.0,23.056,21.691,1003.5672,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6504328.0
19,6504518.0,23.056,21.683,1003.5808,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6504518.0
20,6504708.0,23.067,21.683,1003.52673,1.1779,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6504708.0
21,6504898.0,23.045,21.683,1003.5402,1.178,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6504898.0
22,6505088.0,23.035,21.683,1003.5664,1.1781,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6505088.0
23,6505278.0,23.045,21.676,1003.56213,1.178,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6505278.0
24,6505467.0,23.045,21.683,1003.545,1.178,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6505467.0
25,6505658.0,23.045,21.676,1003.5991,1.1781,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6505658.0
26,6505847.0,23.045,21.691,1003.572,1.178,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6505847.0
27,6506038.0,23.045,21.683,1003.6222,1.1781,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6506038.0
28,6506228.0,23.056,21.676,1003.56287,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6506228.0
29,6506418.0,23.056,21.683,1003.5764,1.178,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6506418.0
30,6506608.0,23.045,21.676,1003.545,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6506608.0
31,6506798.0,23.045,21.683,1003.58154,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6506798.0
32,6506988.0,23.045,21.676,1003.541,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6506988.0
33,6507177.0,23.035,21.676,1003.56805,1.1781,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6507177.0
34,6507368.0,23.056,21.676,1003.58563,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6507368.0
35,6507557.0,23.035,21.676,1003.5951,1.1781,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6507557.0
36,6507748.0,23.056,21.691,1003.5991,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6507748.0
37,6507937.0,23.035,21.683,1003.59076,1.1781,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6507937.0
38,6508128.0,23.035,21.668,1003.5458,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6508128.0
39,6508317.0,23.035,21.676,1003.59564,1.1781,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6508317.0
40,6508508.0,23.056,21.683,1003.6178,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6508508.0
41,6508697.0,23.045,21.706,1003.56366,1.178,3.169,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6508697.0
42,6508888.0,23.035,21.676,1003.58154,1.1781,3.294,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6508888.0
43,6509077.0,23.045,21.676,1003.59076,1.1781,3.294,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,6509077.0
