Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,270.0,319254.0,25.266,0.20051001,99561.11,2.0,14.0,0.0,0.0,1.1598,0.0,796.34,0.0,270.0
1,319254.0,25.266,20.051,995.6111,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,319254.0
2,319305.0,25.266,20.051,995.58923,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,319305.0
3,0.0,270.0,319933.0,0.25244,20.043,0.0,14.0,0.0,14.0,99564.34,1.1599,0.0,796.34,0.0
4,319933.0,25.244,20.043,995.64343,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,319933.0
5,319933.0,25.244,20.043,995.64343,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,319933.0
6,319983.0,25.266,20.043,995.5756,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,319983.0
7,321033.0,25.266,20.081,995.64844,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321033.0
8,321084.0,25.255,20.058,995.64844,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321084.0
9,321135.0,25.266,20.058,995.60345,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321135.0
10,321185.0,25.266,20.051,995.57623,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321185.0
11,321236.0,25.255,20.051,995.6348,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321236.0
12,321287.0,25.244,20.051,995.6348,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321287.0
13,321338.0,25.244,20.051,995.5941,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321338.0
14,321389.0,25.266,20.051,995.58984,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321389.0
15,321439.0,25.287,20.051,995.58984,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321439.0
16,321490.0,25.266,20.051,995.63055,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321490.0
17,321541.0,25.276,20.051,995.59937,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321541.0
18,321592.0,25.266,20.051,995.54517,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321592.0
19,321643.0,25.255,20.066,995.54517,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321643.0
20,321693.0,25.266,20.051,995.58594,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321693.0
21,321744.0,25.255,20.051,995.57623,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321744.0
22,321796.0,25.266,20.051,995.59076,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321796.0
23,321846.0,25.255,20.058,995.59076,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321846.0
24,321897.0,25.276,20.058,995.568,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,321897.0
25,321948.0,25.266,20.051,995.60876,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,51.0
26,322000.0,25.266,20.051,995.60876,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,103.0
27,322053.0,25.255,20.051,995.6266,1.1599,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,156.0
28,322103.0,25.255,20.043,995.5773,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,206.0
29,322154.0,25.266,20.051,995.55444,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,257.0
30,322205.0,25.266,20.051,995.55444,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,308.0
31,322255.0,25.266,20.066,995.568,1.1597,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,358.0
32,322307.0,25.266,20.051,995.64844,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,410.0
33,322358.0,25.266,20.051,995.58594,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,461.0
34,322408.0,25.255,20.051,995.58594,1.1598,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,511.0
