Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,5106516.0,24.901,17.724,994.53394,1.1603,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5106516.0
1,5107722.0,24.89,17.724,994.5611,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5107722.0
2,5107773.0,24.879,17.716,994.53394,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5107773.0
3,5107824.0,24.89,17.716,994.565,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5107824.0
4,5107874.0,24.869,17.701,994.52966,1.1605,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5107874.0
5,5107977.0,24.89,17.708,994.5795,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,5107977.0
6,5108028.0,24.89,17.716,994.5839,1.1604,0.0,4.7,0.0,1023.0,1.0,267.33,0.0,0.0,51.0
7,5108541.0,24.89,17.708,994.5441,1.1604,0.0,4.7,0.0,194.0,1.0,267.33,0.0,0.0,513.0
8,5108592.0,24.89,17.724,994.5567,1.1604,0.0,4.7,0.0,200.0,1.0,267.33,0.0,0.0,564.0
9,5108643.0,24.869,17.716,994.5567,1.1605,0.0,4.7,0.0,205.0,1.0,267.33,0.0,0.0,615.0
10,5108796.0,24.89,17.716,994.5069,1.1604,0.0,4.7,0.0,222.0,1.0,267.33,0.0,0.0,768.0
