Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,1180250.0,25.437,20.363,995.78735,1.1593,6.556,14.0,3.363,270.0,0.0,605.04,0.0,0.0,1180250.0
1,1181300.0,25.416,20.371,995.83673,1.1594,6.556,14.0,3.363,270.0,0.0,605.05,0.0,0.0,1181300.0
2,1181403.0,25.426,20.333,995.83234,1.1594,6.556,14.0,3.363,270.0,0.0,605.05,0.0,0.0,1181403.0
3,1181964.0,25.416,20.333,995.8416,1.1594,69.681,14.0,10.964,270.0,0.0,172.73,0.0,0.0,1181964.0
4,1182015.0,25.416,20.333,995.83734,1.1594,55.931,14.0,9.823,270.0,0.0,237.63,0.0,0.0,1182015.0
5,1182117.0,25.437,20.348,995.76953,1.1592,55.306,14.0,9.768,270.0,0.0,240.72,0.0,0.0,1182117.0
6,1182270.0,25.426,20.348,995.8102,1.1593,50.931,14.0,9.374,270.0,0.0,263.17,0.0,0.0,153.0
7,1183245.0,25.426,20.333,995.79663,1.1593,25.306,14.0,6.607,270.0,0.0,420.52,0.0,0.0,1128.0
8,1183808.0,25.437,20.318,995.796,1.1593,24.806,14.0,6.542,270.0,0.0,424.24,0.0,0.0,1691.0
9,1183910.0,25.426,20.318,995.796,1.1593,21.431,14.0,6.08,270.0,0.0,450.48,0.0,0.0,1793.0
10,1183962.0,25.416,20.325,995.76025,1.1593,20.181,14.0,5.9,270.0,0.0,460.72,0.0,0.0,1845.0
11,1184628.0,25.416,20.325,995.77814,1.1593,14.681,14.0,5.033,270.0,0.0,510.09,0.0,0.0,2511.0
12,1184731.0,25.437,20.325,995.8095,1.1593,15.306,14.0,5.139,270.0,0.0,504.05,0.0,0.0,2614.0
13,1184782.0,25.416,20.325,995.8095,1.1594,15.431,14.0,5.159,270.0,0.0,502.87,0.0,0.0,2665.0
14,1185347.0,25.448,20.318,995.76953,1.1592,24.806,14.0,6.542,270.0,0.0,424.23,0.0,0.0,3230.0
15,1186065.0,25.437,20.325,995.8102,1.1593,23.306,14.0,6.341,270.0,0.0,435.67,0.0,0.0,3948.0
16,1186167.0,25.416,20.318,995.76556,1.1593,23.556,14.0,6.375,270.0,0.0,433.74,0.0,0.0,4050.0
17,1186219.0,25.437,20.31,995.8237,1.1593,24.306,14.0,6.476,270.0,0.0,428.01,0.0,0.0,4102.0
18,1187039.0,25.437,20.31,995.76953,1.1592,24.556,4.7,6.509,0.0,1.0,-102.89,0.0,0.0,4922.0
19,1187090.0,25.426,20.302,995.76556,1.1593,23.556,4.7,6.375,0.0,1.0,-95.27,0.0,0.0,4973.0
20,1187857.0,25.416,20.31,995.78735,1.1594,18.931,4.7,5.715,0.0,1.0,-57.72,0.0,0.0,5740.0
21,1188369.0,25.426,20.318,995.79175,1.1593,15.306,4.7,5.139,0.0,1.0,-24.95,0.0,0.0,6252.0
22,1188420.0,25.448,20.31,995.75104,1.1592,15.306,4.7,5.139,0.0,1.0,-24.97,0.0,0.0,6303.0
23,1189188.0,25.416,20.31,995.8493,1.1594,7.806,4.7,3.67,0.0,1.0,58.61,0.0,0.0,7071.0
24,1189239.0,25.426,20.318,995.8178,1.1593,7.431,4.7,3.58,2.0,1.0,63.68,0.0,0.0,7122.0
25,1189906.0,25.426,20.31,995.8169,1.1593,4.806,4.7,2.879,55.0,1.0,103.55,0.0,0.0,7789.0
26,1189957.0,25.426,20.302,995.78143,1.1593,4.806,4.7,2.879,57.0,1.0,103.55,0.0,0.0,7840.0
27,1190470.0,25.437,20.302,995.84,1.1593,4.806,4.7,2.879,79.0,1.0,103.55,0.0,0.0,8353.0
28,1190521.0,25.426,20.318,995.8265,1.1594,4.806,4.7,2.879,81.0,1.0,103.55,0.0,0.0,8404.0
29,1190573.0,25.437,20.31,995.7898,1.1593,4.806,4.7,2.88,84.0,1.0,103.54,0.0,0.0,8456.0
30,1190624.0,25.437,20.302,995.7898,1.1593,4.806,4.7,2.88,86.0,1.0,103.54,0.0,0.0,8507.0
31,1191187.0,25.459,20.325,995.8169,1.1592,11.806,4.7,4.513,38.0,1.0,10.62,0.0,0.0,9070.0
32,1191342.0,25.426,20.325,995.8212,1.1593,14.306,4.7,4.968,19.0,1.0,-15.24,0.0,0.0,9225.0
33,1191857.0,25.448,20.318,995.8672,1.1593,14.306,10.0,4.968,268.0,1.0,286.2,0.0,0.0,9740.0
34,1192371.0,25.437,20.318,995.8169,1.1593,9.806,10.0,4.113,369.0,1.0,334.83,0.0,0.0,10254.0
35,1192987.0,25.437,20.31,995.74506,1.1592,9.556,10.0,4.06,459.0,1.0,337.82,0.0,0.0,10870.0
36,1193038.0,25.437,20.31,995.83044,1.1593,9.556,10.0,4.06,466.0,1.0,337.83,0.0,0.0,10921.0
37,1193552.0,25.437,20.318,995.7636,1.1592,9.556,10.0,4.06,538.0,1.0,337.82,0.0,0.0,11435.0
38,1193604.0,25.448,20.31,995.7636,1.1592,9.556,10.0,4.06,546.0,1.0,337.82,0.0,0.0,11487.0
39,1195455.0,25.416,20.31,995.8265,1.1594,15.181,10.0,5.117,725.0,1.0,277.7,0.0,0.0,13338.0
40,1195969.0,25.437,20.318,995.77716,1.1593,14.431,10.0,4.99,790.0,1.0,284.96,0.0,0.0,13852.0
41,1196020.0,25.437,20.325,995.8178,1.1593,14.056,10.0,4.924,799.0,1.0,288.68,0.0,0.0,13903.0
42,1196587.0,25.448,20.318,995.8265,1.1593,13.056,10.0,4.746,875.0,1.0,298.82,0.0,0.0,14470.0
43,1196843.0,25.426,20.302,995.76263,1.1593,12.306,10.0,4.608,913.0,1.0,306.7,0.0,0.0,14726.0
44,1197356.0,25.448,20.318,995.8212,1.1593,12.431,10.0,4.631,979.0,1.0,305.36,0.0,0.0,15239.0
45,1198073.0,25.437,20.31,995.8086,1.1593,0.306,10.0,0.727,1023.0,1.0,527.43,0.0,0.0,15956.0
46,1198790.0,25.459,20.31,995.81287,1.1592,0.306,10.0,0.727,1023.0,1.0,527.43,0.0,0.0,16673.0
47,1198841.0,25.448,20.31,995.78577,1.1592,0.306,10.0,0.727,1023.0,1.0,527.43,0.0,0.0,16724.0
