Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,7479194.0,23.131,21.386,1003.4414,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7479194.0
1,7480577.0,23.131,21.386,1003.3881,1.1775,2.669,14.0,15.0,270.0,0.0,-56.86,0.0,0.0,7480577.0
2,7480767.0,23.11,21.363,1003.3973,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7480767.0
3,7480957.0,23.11,21.386,1003.4243,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7480957.0
4,7481147.0,23.121,21.386,1003.41077,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7481147.0
5,7481337.0,23.131,21.393,1003.45483,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7481337.0
6,7481527.0,23.131,21.378,1003.45056,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7481527.0
7,7481717.0,23.142,21.378,1003.4414,1.1775,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7481717.0
8,7481907.0,23.11,21.386,1003.4286,1.1776,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7481907.0
9,7482097.0,23.121,21.363,1003.4422,1.1776,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7482097.0
10,7482287.0,23.11,21.386,1003.4016,1.1776,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7482287.0
11,7482477.0,23.142,21.363,1003.44617,1.1775,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7482477.0
12,7482668.0,23.121,21.393,1003.4243,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7482668.0
13,7482857.0,23.11,21.363,1003.40204,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7482857.0
14,7483047.0,23.11,21.378,1003.4386,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7483047.0
15,7483237.0,23.121,21.378,1003.39813,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7483237.0
16,7483427.0,23.121,21.37,1003.4291,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7483427.0
17,7483617.0,23.099,21.378,1003.40204,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7483617.0
18,7483807.0,23.131,21.37,1003.40643,1.1775,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7483807.0
19,7483997.0,23.121,21.393,1003.37103,1.1775,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7483997.0
20,7484187.0,23.11,21.363,1003.37585,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7484187.0
21,7484377.0,23.11,21.378,1003.46045,1.1777,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7484377.0
22,7484567.0,23.099,21.363,1003.39813,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7484567.0
23,7484758.0,23.11,21.37,1003.46564,1.1777,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7484758.0
24,7484947.0,23.088,21.37,1003.42505,1.1777,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7484947.0
25,7485137.0,23.099,21.386,1003.3894,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7485137.0
26,7485327.0,23.121,21.363,1003.4256,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7485327.0
27,7485517.0,23.11,21.363,1003.4391,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7485517.0
28,7485707.0,23.099,21.363,1003.43506,1.1777,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7485707.0
29,7485897.0,23.121,21.363,1003.41205,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7485897.0
30,7486087.0,23.11,21.378,1003.4256,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7486087.0
31,7486277.0,23.11,21.386,1003.4256,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7486277.0
32,7486467.0,23.11,21.378,1003.45264,1.1777,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7486467.0
33,7486657.0,23.099,21.363,1003.3716,1.1776,2.669,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7486657.0
34,7486846.0,23.11,21.363,1003.4478,1.1777,2.669,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7486846.0
35,7487037.0,23.121,21.378,1003.39813,1.1776,2.669,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7487037.0
36,7487227.0,23.099,21.37,1003.41205,1.1777,2.669,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7487227.0
37,7487417.0,23.11,21.378,1003.4164,1.1776,2.794,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7487417.0
38,7487607.0,23.121,21.363,1003.42993,1.1776,2.669,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7487607.0
39,7487797.0,23.121,21.393,1003.4434,1.1776,2.794,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7487797.0
40,7487987.0,23.121,21.393,1003.4343,1.1776,2.669,14.0,14.0,270.0,0.0,0.02,0.0,0.0,7487987.0
41,7488177.0,23.121,21.363,1003.4164,1.1776,2.669,14.0,12.0,270.0,0.0,113.78,0.0,0.0,7488177.0
42,7488367.0,23.099,21.378,1003.45264,1.1777,2.669,14.0,11.0,270.0,0.0,170.66,0.0,0.0,7488367.0
43,7488557.0,23.121,21.363,1003.4208,1.1776,2.669,14.0,10.0,270.0,0.0,227.54,0.0,0.0,7488557.0
44,7488747.0,23.099,21.378,1003.4164,1.1777,2.669,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7488747.0
45,7488936.0,23.11,21.363,1003.41205,1.1776,2.669,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7488936.0
46,7489127.0,23.099,21.363,1003.4256,1.1777,2.669,14.0,7.0,270.0,0.0,398.18,0.0,0.0,7489127.0
47,7489316.0,23.11,21.386,1003.3985,1.1776,2.669,14.0,7.0,270.0,0.0,398.18,0.0,0.0,7489316.0
48,7489507.0,23.11,21.378,1003.4486,1.1777,2.544,14.0,6.0,270.0,0.0,455.06,0.0,0.0,7489507.0
49,7489696.0,23.131,21.363,1003.39453,1.1775,2.544,14.0,7.0,270.0,0.0,398.18,0.0,0.0,7489696.0
50,7489887.0,23.11,21.386,1003.4391,1.1776,2.544,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7489887.0
51,7490076.0,23.099,21.378,1003.4256,1.1777,2.544,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7490076.0
52,7490266.0,23.11,21.378,1003.42206,1.1776,2.544,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7490266.0
53,7490456.0,23.11,21.378,1003.44904,1.1777,2.544,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7490456.0
54,7490646.0,23.099,21.378,1003.3723,1.1776,2.544,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7490646.0
55,7490836.0,23.099,21.37,1003.4308,1.1777,2.544,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7490836.0
56,7491025.0,23.088,21.37,1003.35876,1.1776,2.544,14.0,10.0,270.0,0.0,227.54,0.0,0.0,7491025.0
57,7491216.0,23.131,21.386,1003.4534,1.1776,2.544,14.0,11.0,270.0,0.0,170.66,0.0,0.0,7491216.0
58,7491405.0,23.121,21.363,1003.4442,1.1776,2.669,14.0,13.0,270.0,0.0,56.9,0.0,0.0,7491405.0
59,7491596.0,23.099,21.386,1003.4534,1.1777,2.669,14.0,14.0,270.0,0.0,0.02,0.0,0.0,7491596.0
60,7491785.0,23.121,21.386,1003.44904,1.1776,2.669,14.0,14.0,270.0,0.0,0.02,0.0,0.0,7491785.0
61,7491976.0,23.11,21.386,1003.4442,1.1777,2.669,14.0,14.0,270.0,0.0,0.02,0.0,0.0,7491976.0
62,7492165.0,23.11,21.386,1003.41766,1.1776,2.669,14.0,14.0,270.0,0.0,0.02,0.0,0.0,7492165.0
63,7492356.0,23.131,21.363,1003.41766,1.1775,2.669,14.0,12.0,270.0,0.0,113.78,0.0,0.0,7492356.0
64,7492545.0,23.121,21.393,1003.41846,1.1776,2.794,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7492545.0
65,7492736.0,23.11,21.393,1003.43634,1.1776,2.794,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7492736.0
66,7492925.0,23.099,21.386,1003.405,1.1777,2.794,14.0,7.0,270.0,0.0,398.18,0.0,0.0,7492925.0
67,7493115.0,23.11,21.378,1003.4136,1.1776,2.919,14.0,7.0,270.0,0.0,398.18,0.0,0.0,7493115.0
68,7493305.0,23.099,21.386,1003.4228,1.1777,2.919,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7493305.0
69,7493495.0,23.11,21.386,1003.4272,1.1776,2.919,14.0,7.0,270.0,0.0,398.18,0.0,0.0,7493495.0
70,7493685.0,23.099,21.378,1003.4447,1.1777,2.919,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7493685.0
71,7493874.0,23.11,21.401,1003.43634,1.1776,3.044,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7493874.0
72,7494065.0,23.099,21.393,1003.4228,1.1777,3.044,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7494065.0
73,7494254.0,23.121,21.378,1003.40015,1.1776,3.044,14.0,13.0,270.0,0.0,56.9,0.0,0.0,7494254.0
74,7494445.0,23.11,21.386,1003.49524,1.1777,3.044,14.0,15.0,270.0,0.0,-56.86,0.0,0.0,7494445.0
75,7494634.0,23.11,21.378,1003.4236,1.1776,3.044,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7494634.0
76,7494824.0,23.099,21.37,1003.4277,1.1777,3.044,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7494824.0
77,7495015.0,23.099,21.378,1003.40063,1.1776,3.044,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7495015.0
78,7495204.0,23.11,21.378,1003.4277,1.1776,3.044,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7495204.0
79,7495395.0,23.099,21.378,1003.39655,1.1776,2.919,14.0,17.0,270.0,0.0,-170.62,0.0,0.0,7495395.0
80,7495584.0,23.11,21.386,1003.4372,1.1776,2.919,14.0,16.0,270.0,0.0,-113.74,0.0,0.0,7495584.0
81,7495775.0,23.11,21.378,1003.356,1.1776,2.919,14.0,14.0,270.0,0.0,0.02,0.0,0.0,7495775.0
82,7495964.0,23.121,21.386,1003.40063,1.1776,2.919,14.0,12.0,270.0,0.0,113.78,0.0,0.0,7495964.0
83,7496155.0,23.11,21.378,1003.387,1.1776,2.919,14.0,10.0,270.0,0.0,227.54,0.0,0.0,7496155.0
84,7496344.0,23.099,21.386,1003.40063,1.1776,2.919,14.0,9.0,270.0,0.0,284.42,0.0,0.0,7496344.0
85,7496535.0,23.11,21.393,1003.356,1.1775,2.919,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7496535.0
86,7496724.0,23.11,21.378,1003.4372,1.1776,2.919,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7496724.0
87,7496914.0,23.121,21.386,1003.4506,1.1776,2.919,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7496914.0
88,7497104.0,23.11,21.386,1003.46423,1.1777,3.044,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7497104.0
89,7497294.0,23.11,21.393,1003.4236,1.1776,3.044,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7497294.0
90,7497484.0,23.088,21.386,1003.4101,1.1777,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7497484.0
91,7497674.0,23.11,21.378,1003.4506,1.1777,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7497674.0
92,7497864.0,23.11,21.386,1003.45544,1.1777,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7497864.0
93,7498053.0,23.099,21.386,1003.4377,1.1777,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7498053.0
94,7498244.0,23.088,21.378,1003.4511,1.1778,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7498244.0
95,7498433.0,23.099,21.393,1003.45984,1.1777,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7498433.0
96,7498624.0,23.088,21.378,1003.4014,1.1777,3.169,14.0,8.0,270.0,0.0,341.3,0.0,0.0,7498624.0
