Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,0.9,565.0,10.0,,,,,,,,,,,,
1,0.9,565.0,10.0,,,,,,,,,,,,
2,0.9,565.0,10.0,,,,,,,,,,,,
3,2.07,74.9,87.3,,,,,,,,,,,,
4,2.97,72.6,91.2,,,,,,,,,,,,
5,2.67,97.2,89.3,,,,,,,,,,,,
6,2.22,86.6,94.9,,,,,,,,,,,,
7,3.38,72.3,70.5,,,,,,,,,,,,
8,2.59,83.1,94.5,,,,,,,,,,,,
9,3.44,99.5,91.8,,,,,,,,,,,,
10,2.85,76.8,79.5,,,,,,,,,,,,
11,2.8,75.5,95.5,,,,,,,,,,,,
12,3.19,87.5,90.9,,,,,,,,,,,,
13,2.76,91.2,85.4,,,,,,,,,,,,
14,2.69,93.7,93.3,,,,,,,,,,,,
15,2.8,83.0,95.5,,,,,,,,,,,,
16,3.13,80.2,91.7,,,,,,,,,,,,
17,3.23,70.3,74.8,,,,,,,,,,,,
18,3.07,84.1,81.0,,,,,,,,,,,,
19,2.97,92.2,77.9,,,,,,,,,,,,
20,2.9,76.5,89.2,,,,,,,,,,,,
21,2.51,99.7,77.1,,,,,,,,,,,,
22,2.6,85.7,99.4,,,,,,,,,,,,
23,3.4,93.1,73.8,,,,,,,,,,,,
24,2.26,99.4,86.3,,,,,,,,,,,,
25,2.44,76.8,93.5,,,,,,,,,,,,
26,2.03,94.7,82.5,,,,,,,,,,,,
27,2.22,96.0,89.4,,,,,,,,,,,,
28,3.44,73.8,80.8,,,,,,,,,,,,
29,3.17,92.5,90.0,,,,,,,,,,,,
30,2.09,92.9,85.3,,,,,,,,,,,,
31,2.69,93.7,93.3,,,,,,,,,,,,
32,2.8,83.0,95.5,,,,,,,,,,,,
33,3.23,70.3,74.8,,,,,,,,,,,,
34,2.49,84.2,84.9,,,,,,,,,,,,
35,2.62,88.3,78.8,,,,,,,,,,,,
36,2.95,83.1,84.2,,,,,,,,,,,,
37,2.58,93.3,70.0,,,,,,,,,,,,
38,2.97,92.2,77.9,,,,,,,,,,,,
