Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,659118.0,25.33,15.954,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,659118.0,0.0
1,25.341,15.961,0.0,0.01174,0.0,270.0,0.0,0.0,659067.0,230.09,0.0,0.0,0.0,25.341,NaN
2,659118.0,25.33,15.954,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,659118.0,0.0
3,659168.0,25.33,15.954,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,659168.0,0.0
4,660198.0,25.319,15.984,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660198.0,1.0
5,660252.0,25.319,15.969,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660252.0,1.0
6,660302.0,25.341,15.954,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660302.0,1.0
7,660353.0,25.341,15.961,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660353.0,1.0
8,660403.0,25.33,15.961,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660403.0,1.0
9,660453.0,25.33,15.954,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660453.0,1.0
10,660504.0,25.33,15.961,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660504.0,1.0
11,660554.0,25.319,15.961,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660554.0,1.0
12,660604.0,25.308,15.954,0.0,1.1743,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660604.0,1.0
13,660655.0,25.33,15.954,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660655.0,1.0
14,660705.0,25.319,15.954,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660705.0,1.0
15,660756.0,25.33,15.961,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660756.0,1.0
16,660806.0,25.33,15.954,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660806.0,1.0
17,660856.0,25.33,15.961,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660856.0,1.0
18,660907.0,25.33,15.969,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660907.0,1.0
19,660957.0,25.351,15.954,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,660957.0,1.0
20,661008.0,25.33,15.954,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,661008.0,1.0
21,661058.0,25.33,15.969,0.0,1.1742,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,661058.0,1.0
22,661108.0,25.341,15.961,0.0,1.1741,0.0,14.0,9.955,270.0,0.0,230.09,0.0,0.0,661108.0,1.0
