Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,184249.0,24.375,270.207,1011.53674,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,184249.0
1,184249.0,24.375,270.207,1011.53674,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,184249.0
2,512.0,24.375,270.207,1011.51953,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,512.0
3,563.0,24.386,270.207,1011.50525,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,563.0
4,614.0,24.375,270.207,1011.53046,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,614.0
5,664.0,24.375,270.207,1011.4894,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,664.0
6,715.0,24.375,270.207,1011.4894,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,715.0
7,766.0,24.365,270.207,1011.5022,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,766.0
8,818.0,24.375,270.207,1011.5508,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,818.0
9,868.0,24.375,270.207,1011.4916,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,868.0
10,919.0,24.375,270.207,1011.4916,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,919.0
11,970.0,24.365,270.207,1011.5094,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,970.0
12,1020.0,24.386,270.207,1011.5222,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1020.0
13,1072.0,24.375,270.207,1011.5043,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1072.0
14,1123.0,24.354,270.207,1011.5043,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1123.0
15,1174.0,24.375,270.207,1011.5087,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1174.0
16,1224.0,24.365,270.207,1011.5087,1.1829,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1224.0
17,1275.0,24.386,270.207,1011.5087,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1275.0
18,1327.0,24.365,270.207,1011.572,1.183,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1327.0
19,1378.0,24.375,270.207,1011.5175,1.1828,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1378.0
