Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,24.332,16.724,1.0,0.011787,1.0,982.0,0.0,12.0,2173111.0,70.92,0.0,0.0,0.0,24.332,NaN
1,2173161.0,24.332,16.732,0.01,1.1787,0.0,5.12,3.856,984.0,1.0,71.86,0.0,0.0,2173161.0,0.0
2,24.332,16.724,1.0,0.011787,1.0,982.0,0.0,12.0,2173111.0,70.92,0.0,0.0,0.0,24.332,NaN
3,2173161.0,24.332,16.732,0.01,1.1787,0.0,5.12,3.856,984.0,1.0,71.86,0.0,0.0,2173161.0,0.0
4,24.332,16.724,1.0,0.011787,1.0,982.0,0.0,12.0,2173111.0,70.92,0.0,0.0,0.0,24.332,NaN
5,2173161.0,24.332,16.732,0.01,1.1787,0.0,5.12,3.856,984.0,1.0,71.86,0.0,0.0,2173161.0,0.0
6,2173211.0,24.311,16.724,0.01,1.1788,0.0,5.12,3.856,985.0,1.0,71.86,0.0,0.0,2173211.0,0.0
7,2174252.0,24.311,16.747,0.0,1.1788,0.0,5.12,3.856,1017.0,0.0,71.86,0.0,0.0,2174252.0,0.0
8,2174306.0,24.279,16.724,0.0,1.1789,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174306.0,0.0
9,2174356.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174356.0,0.0
10,2174406.0,24.322,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174406.0,0.0
11,2174457.0,24.343,16.724,0.0,1.1786,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174457.0,0.0
12,2174508.0,24.311,16.739,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174508.0,0.0
13,2174558.0,24.311,16.732,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174558.0,0.0
14,2174608.0,24.311,16.717,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174608.0,0.0
15,2174659.0,24.332,16.724,0.0,1.1787,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174659.0,0.0
16,2174709.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174709.0,0.0
17,2174759.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174759.0,0.0
18,2174810.0,24.322,16.724,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174810.0,0.0
19,2174861.0,24.311,16.717,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2174861.0,0.0
20,2174911.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174911.0,0.0
21,2174961.0,24.311,16.724,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2174961.0,0.0
22,2175011.0,24.332,16.732,0.0,1.1786,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175011.0,0.0
23,2175063.0,24.332,16.717,0.0,1.1786,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175063.0,0.0
24,2175113.0,24.322,16.724,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175113.0,0.0
25,2175163.0,24.322,16.732,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175163.0,0.0
26,2175213.0,24.322,16.724,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175213.0,0.0
27,2175264.0,24.311,16.732,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2175264.0,0.0
28,2175314.0,24.3,16.724,0.0,1.1789,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2175314.0,0.0
29,2175365.0,24.322,16.717,0.0,1.1787,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2175365.0,0.0
30,2175415.0,24.322,16.732,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175415.0,0.0
31,2175466.0,24.322,16.717,0.0,1.1787,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2175466.0,0.0
32,2175516.0,24.3,16.724,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175516.0,0.0
33,2175566.0,24.332,16.732,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175566.0,0.0
34,2175617.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175617.0,0.0
35,2175668.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175668.0,0.0
36,2175718.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175718.0,0.0
37,2175768.0,24.322,16.724,0.0,1.1787,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2175768.0,0.0
38,2175818.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175818.0,0.0
39,2175869.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175869.0,0.0
40,2175920.0,24.343,16.732,0.0,1.1786,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2175920.0,0.0
41,2175970.0,24.322,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2175970.0,0.0
42,2176020.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176020.0,0.0
43,2176071.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176071.0,0.0
44,2176121.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2176121.0,0.0
45,2176172.0,24.311,16.739,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176172.0,0.0
46,2176222.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176222.0,0.0
47,2176273.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176273.0,0.0
48,2176323.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176323.0,0.0
49,2176373.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176373.0,0.0
50,2176423.0,24.322,16.717,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176423.0,0.0
51,2176475.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2176475.0,0.0
52,2176525.0,24.3,16.717,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2176525.0,0.0
53,2176575.0,24.311,16.724,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176575.0,0.0
54,2176625.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176625.0,0.0
55,2176676.0,24.29,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2176676.0,0.0
56,2176727.0,24.29,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176727.0,0.0
57,2176777.0,24.311,16.717,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176777.0,0.0
58,2176827.0,24.311,16.717,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176827.0,0.0
59,2176878.0,24.311,16.717,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176878.0,0.0
60,2176928.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176928.0,0.0
61,2176978.0,24.3,16.732,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2176978.0,0.0
62,2177029.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177029.0,0.0
63,2177080.0,24.311,16.732,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2177080.0,0.0
64,2177130.0,24.29,16.724,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177130.0,0.0
65,2177180.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177180.0,0.0
66,2177230.0,24.311,16.709,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177230.0,0.0
67,2177282.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2177282.0,0.0
68,2177332.0,24.332,16.724,0.0,1.1787,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2177332.0,0.0
69,2177382.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177382.0,0.0
70,2177432.0,24.311,16.739,0.0,1.1789,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2177432.0,0.0
71,2177483.0,24.3,16.724,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177483.0,0.0
72,2177533.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177533.0,0.0
73,2177584.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2177584.0,0.0
74,2177634.0,24.311,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177634.0,0.0
75,2177685.0,24.3,16.739,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177685.0,0.0
76,2177735.0,24.29,16.724,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177735.0,0.0
77,2177785.0,24.3,16.739,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2177785.0,0.0
78,2177836.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177836.0,0.0
79,2177887.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177887.0,0.0
80,2177937.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177937.0,0.0
81,2177987.0,24.311,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2177987.0,0.0
82,2178037.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178037.0,0.0
83,2178088.0,24.3,16.724,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178088.0,0.0
84,2178139.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178139.0,0.0
85,2178189.0,24.3,16.717,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178189.0,0.0
86,2178239.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178239.0,0.0
87,2178290.0,24.29,16.724,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178290.0,0.0
88,2178340.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178340.0,0.0
89,2178391.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178391.0,0.0
90,2178441.0,24.3,16.739,0.0,1.1789,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178441.0,0.0
91,2178492.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178492.0,0.0
92,2178542.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178542.0,0.0
93,2178592.0,24.311,16.739,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178592.0,0.0
94,2178642.0,24.3,16.739,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178642.0,0.0
95,2178702.0,24.29,16.739,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178702.0,1.0
96,2178752.0,24.322,16.739,0.0,1.1787,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178752.0,1.0
97,2178802.0,24.29,16.732,0.0,1.1789,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178802.0,1.0
98,2178852.0,24.3,16.717,0.0,1.1788,0.0,14.0,3.856,270.0,0.0,577.03,0.0,0.0,2178852.0,1.0
99,2178904.0,24.3,16.732,0.0,1.1788,0.0,14.0,3.872,270.0,0.0,576.08,0.0,0.0,2178904.0,1.0
