Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,54634.0,16.589,46.731,1012.8289,1.2143,3.25,14.0,2.314,220.0,0.0,502.04,0.0,0.0,51.0,0.0
1,54685.0,16.589,46.738,1012.8244,1.2143,3.25,14.0,2.314,220.0,0.0,502.04,0.0,0.0,102.0,0.0
2,54736.0,16.589,46.731,1012.78876,1.2142,3.125,14.0,2.269,220.0,0.0,504.59,0.0,0.0,153.0,0.0
3,54788.0,16.578,46.731,1012.87305,1.2144,3.0,14.0,2.223,220.0,0.0,507.21,0.0,0.0,205.0,0.0
4,54839.0,16.568,46.746,1012.87305,1.2144,2.875,14.0,2.176,220.0,0.0,509.87,0.0,0.0,256.0,0.0
5,54890.0,16.578,46.723,1012.8021,1.2143,2.75,14.0,2.128,220.0,0.0,512.59,0.0,0.0,307.0,0.0
6,54941.0,16.568,46.723,1012.83295,1.2144,2.625,14.0,2.079,220.0,0.0,515.37,0.0,0.0,358.0,0.0
7,54992.0,16.589,46.723,1012.83295,1.2143,2.5,14.0,2.029,220.0,0.0,518.22,0.0,0.0,409.0,0.0
8,55044.0,16.578,46.731,1012.83295,1.2143,2.375,14.0,1.978,220.0,0.0,521.14,0.0,0.0,461.0,0.0
9,55095.0,16.578,46.738,1012.8507,1.2143,2.375,14.0,1.978,220.0,0.0,521.14,0.0,0.0,512.0,0.0
10,55147.0,16.578,46.723,1012.8284,1.2143,2.375,14.0,1.978,220.0,0.0,521.14,0.0,0.0,564.0,0.0
11,55198.0,16.578,46.731,1012.85126,1.2143,2.375,14.0,1.978,220.0,0.0,521.14,0.0,0.0,615.0,0.0
12,55249.0,16.578,46.738,1012.85126,1.2143,2.25,14.0,1.925,220.0,0.0,524.14,0.0,0.0,666.0,0.0
13,55301.0,16.578,46.738,1012.77936,1.2143,2.25,14.0,1.925,220.0,0.0,524.14,0.0,0.0,718.0,0.0
14,55352.0,16.546,46.738,1012.8195,1.2145,2.25,14.0,1.925,220.0,0.0,524.15,0.0,0.0,769.0,0.0
