Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,16.492,46.952,1012.79987,1.2146,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,563.0,0.0
1,613.0,16.492,46.944,1012.8792,1.2147,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,613.0,0.0
2,664.0,16.514,46.937,1012.84296,1.2146,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,664.0,0.0
3,715.0,16.503,46.937,1012.84296,1.2147,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,715.0,0.0
4,765.0,16.525,46.944,1012.8067,1.2145,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,765.0,0.0
5,817.0,16.514,46.959,1012.83344,1.2146,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,817.0,0.0
6,868.0,16.514,46.944,1012.8597,1.2146,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,868.0,0.0
7,919.0,16.492,46.944,1012.8597,1.2147,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,919.0,0.0
8,969.0,16.514,46.952,1012.82806,1.2146,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,969.0,0.0
9,1020.0,16.492,46.952,1012.8636,1.2147,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1020.0,0.0
10,1072.0,16.514,46.937,1012.8725,1.2146,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,1072.0,0.0
11,1123.0,16.525,46.959,1012.8725,1.2146,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,1123.0,0.0
12,1174.0,16.503,46.952,1012.752,1.2145,0.125,14.0,0.454,220.0,0.0,607.82,0.0,0.0,1174.0,0.0
13,1224.0,16.514,46.952,1012.85425,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1224.0,0.0
14,1275.0,16.492,46.929,1012.8725,1.2147,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1275.0,0.0
15,1327.0,16.525,46.937,1012.8725,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1327.0,0.0
16,1378.0,16.503,46.944,1012.8452,1.2147,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1378.0,0.0
17,1429.0,16.514,46.959,1012.84033,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1429.0,0.0
18,1480.0,16.503,46.952,1012.84033,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1480.0,0.0
19,1530.0,16.503,46.937,1012.8184,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1530.0,0.0
20,1582.0,16.503,46.937,1012.8491,1.2147,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1582.0,0.0
21,1633.0,16.525,46.937,1012.84033,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1633.0,0.0
22,1684.0,16.503,46.937,1012.84033,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1684.0,0.0
23,1735.0,16.514,46.944,1012.84033,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1735.0,0.0
24,1785.0,16.514,46.952,1012.8269,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1785.0,0.0
25,1837.0,16.503,46.937,1012.8448,1.2147,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1837.0,0.0
26,1888.0,16.514,46.937,1012.8448,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1888.0,0.0
27,1939.0,16.492,46.967,1012.85376,1.2147,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1939.0,0.0
28,1990.0,16.525,46.952,1012.8536,1.2146,0.25,14.0,0.642,220.0,0.0,597.14,0.0,0.0,1990.0,0.0
