Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,27.993,1022.4455,1.1954,0.0,14.0,7.512,270.0,0.0,369.06,0.0,0.0,563.0,0.0
1,614.0,270.207,27.978,1022.4762,1.1953,0.0,14.0,7.329,270.0,0.0,379.45,0.0,0.0,614.0,0.0
2,664.0,270.207,27.993,1022.45233,1.1953,0.0,14.0,7.18,270.0,0.0,387.96,0.0,0.0,664.0,0.0
3,715.0,270.207,27.985,1022.45233,1.1953,0.0,14.0,6.997,270.0,0.0,398.36,0.0,0.0,715.0,0.0
4,766.0,270.207,27.985,1022.4517,1.1953,0.0,14.0,6.864,270.0,0.0,405.92,0.0,0.0,766.0,0.0
5,818.0,270.207,27.985,1022.4511,1.1953,0.0,14.0,6.664,270.0,0.0,417.27,0.0,0.0,818.0,0.0
6,869.0,270.207,27.985,1022.46,1.1953,0.0,14.0,6.531,270.0,0.0,424.83,0.0,0.0,869.0,0.0
7,919.0,270.207,27.985,1022.46,1.1954,0.0,14.0,6.349,270.0,0.0,435.23,0.0,0.0,919.0,0.0
8,970.0,270.207,27.985,1022.4864,1.1953,0.0,14.0,6.216,270.0,0.0,442.79,0.0,0.0,970.0,0.0
9,1021.0,270.207,27.985,1022.4547,1.1954,0.0,14.0,6.05,270.0,0.0,452.24,0.0,0.0,1021.0,0.0
10,1073.0,270.207,27.993,1022.45874,1.1952,0.0,14.0,5.883,270.0,0.0,461.7,0.0,0.0,1073.0,0.0
11,1123.0,270.207,27.985,1022.45874,1.1953,0.0,14.0,5.75,270.0,0.0,469.26,0.0,0.0,1123.0,0.0
12,1174.0,270.207,27.978,1022.47675,1.1953,0.0,14.0,5.601,270.0,0.0,477.77,0.0,0.0,1174.0,0.0
13,1225.0,270.207,27.993,1022.4812,1.1953,0.0,14.0,5.468,270.0,0.0,485.33,0.0,0.0,1225.0,0.0
14,1276.0,270.207,27.993,1022.4812,1.1953,0.0,14.0,5.302,270.0,0.0,494.78,0.0,0.0,1276.0,0.0
15,1328.0,270.207,27.993,1022.40436,1.1952,0.0,14.0,5.202,270.0,0.0,500.46,0.0,0.0,1328.0,0.0
16,1379.0,270.207,27.985,1022.4585,1.1953,0.0,14.0,5.036,270.0,0.0,509.91,0.0,0.0,1379.0,0.0
17,1429.0,270.207,28.0,1022.45404,1.1953,0.0,14.0,4.936,270.0,0.0,515.58,0.0,0.0,1429.0,0.0
18,1480.0,270.207,27.993,1022.45404,1.1953,0.0,14.0,4.786,270.0,0.0,524.09,0.0,0.0,1480.0,0.0
19,1531.0,270.207,28.008,1022.4585,1.1952,0.0,14.0,4.67,270.0,0.0,530.71,0.0,0.0,1531.0,0.0
20,1583.0,270.207,27.993,1022.44904,1.1953,0.0,14.0,4.57,270.0,0.0,536.38,0.0,0.0,1583.0,0.0
21,1634.0,270.207,27.993,1022.4812,1.1953,0.0,14.0,4.437,270.0,0.0,543.94,0.0,0.0,1634.0,0.0
22,1684.0,270.207,27.993,1022.4812,1.1953,0.0,14.0,4.354,270.0,0.0,548.67,0.0,0.0,1684.0,0.0
23,1735.0,270.207,27.985,1022.4314,1.1952,0.0,14.0,4.238,270.0,0.0,555.28,0.0,0.0,1735.0,0.0
24,1786.0,270.207,27.978,1022.48065,1.1952,0.0,14.0,4.155,270.0,0.0,560.01,0.0,0.0,1786.0,0.0
