Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,563.0,270.207,43.74,1018.3903,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,563.0,0.0
1,613.0,270.207,43.717,1018.3982,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,613.0,0.0
2,664.0,270.207,43.717,1018.36194,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,664.0,0.0
3,714.0,270.207,43.74,1018.36194,1.2156,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,714.0,0.0
4,765.0,270.207,43.717,1018.37036,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,765.0,0.0
5,817.0,270.207,43.717,1018.4414,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,817.0,0.0
6,867.0,270.207,43.717,1018.39667,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,867.0,0.0
7,918.0,270.207,43.717,1018.39667,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,918.0,0.0
8,969.0,270.207,43.74,1018.3962,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,969.0,0.0
9,1019.0,270.207,43.74,1018.41406,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1019.0,0.0
10,1071.0,270.207,43.732,1018.4319,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1071.0,0.0
11,1122.0,270.207,43.732,1018.4319,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1122.0,0.0
12,1172.0,270.207,43.725,1018.3823,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1172.0,0.0
13,1223.0,270.207,43.74,1018.45374,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1223.0,0.0
14,1274.0,270.207,43.74,1018.45374,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1274.0,0.0
15,1325.0,270.207,43.732,1018.3912,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1325.0,0.0
16,1376.0,270.207,43.74,1018.4224,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1376.0,0.0
17,1427.0,270.207,43.74,1018.43585,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1427.0,0.0
18,1477.0,270.207,43.747,1018.43585,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1477.0,0.0
19,1528.0,270.207,43.74,1018.46265,1.2159,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1528.0,0.0
20,1580.0,270.207,43.74,1018.4444,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1580.0,0.0
21,1630.0,270.207,43.725,1018.4224,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1630.0,0.0
22,1681.0,270.207,43.74,1018.4224,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1681.0,0.0
23,1732.0,270.207,43.717,1018.40906,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1732.0,0.0
24,1782.0,270.207,43.74,1018.4309,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1782.0,0.0
25,1833.0,270.207,43.732,1018.43994,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1833.0,0.0
26,1885.0,270.207,43.725,1018.43994,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1885.0,0.0
27,1935.0,270.207,43.725,1018.4224,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1935.0,0.0
28,1986.0,270.207,43.74,1018.4444,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,1986.0,0.0
29,2037.0,270.207,43.747,1018.35956,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2037.0,0.0
30,2087.0,270.207,43.725,1018.35956,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2087.0,0.0
31,2139.0,270.207,43.747,1018.3908,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2139.0,0.0
32,2190.0,270.207,43.725,1018.43536,1.2159,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2190.0,0.0
33,2240.0,270.207,43.725,1018.43536,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2240.0,0.0
34,2291.0,270.207,43.725,1018.3237,1.2156,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2291.0,0.0
35,2342.0,270.207,43.709,1018.39966,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2342.0,0.0
36,2393.0,270.207,43.74,1018.39514,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2393.0,0.0
37,2444.0,270.207,43.725,1018.39514,1.2158,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2444.0,0.0
38,2495.0,270.207,43.747,1018.3908,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2495.0,0.0
39,2545.0,270.207,43.725,1018.40857,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2545.0,0.0
40,2596.0,270.207,43.725,1018.37286,1.2157,0.0,14.0,0.0,270.0,0.0,796.34,0.0,0.0,2596.0,0.0
41,2648.0,270.207,43.74,1018.37286,1.2157,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2648.0,0.0
42,2698.0,270.207,43.747,1018.4041,1.2157,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2698.0,0.0
43,2749.0,270.207,43.74,1018.40857,1.2157,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2749.0,0.0
44,2800.0,270.207,43.74,1018.40906,1.2158,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2800.0,0.0
45,2851.0,270.207,43.74,1018.40906,1.2157,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2851.0,0.0
46,2902.0,270.207,43.74,1018.4041,1.2158,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2902.0,0.0
47,2953.0,270.207,43.74,1018.4175,1.2158,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,2953.0,0.0
48,3004.0,270.207,43.74,1018.4444,1.2158,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,3004.0,0.0
49,3055.0,270.207,43.725,1018.4444,1.2157,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,3055.0,0.0
50,3106.0,270.207,43.732,1018.46674,1.2158,0.125,14.0,0.454,270.0,0.0,770.53,0.0,0.0,3106.0,0.0
51,3156.0,270.207,43.74,1018.4487,1.2157,0.125,14.0,0.454,270.0,0.0,770.53,0.0,0.0,3156.0,0.0
52,3208.0,270.207,43.717,1018.4487,1.2158,0.125,14.0,0.454,270.0,0.0,770.53,0.0,0.0,3208.0,0.0
53,3259.0,270.207,43.747,1018.4487,1.2157,0.125,14.0,0.454,270.0,0.0,770.53,0.0,0.0,3259.0,0.0
54,3310.0,270.207,43.732,1018.47565,1.2159,0.125,14.0,0.454,270.0,0.0,770.53,0.0,0.0,3310.0,0.0
55,3360.0,270.207,43.725,1018.4891,1.2158,0.25,14.0,0.641,270.0,0.0,759.86,0.0,0.0,3360.0,0.0
