Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,43053.0,270.207,43.74,1018.41296,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,52.0,0.0
1,43104.0,270.207,43.725,1018.41296,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,103.0,0.0
2,43155.0,270.207,43.74,1018.3947,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,154.0,0.0
3,43206.0,270.207,43.732,1018.44836,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,205.0,0.0
4,43257.0,270.207,43.747,1018.44836,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,256.0,0.0
5,43309.0,270.207,43.74,1018.3947,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,308.0,0.0
6,43360.0,270.207,43.74,1018.40814,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,359.0,0.0
7,43411.0,270.207,43.74,1018.4171,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,410.0,0.0
8,43462.0,270.207,43.725,1018.4171,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,461.0,0.0
9,43513.0,270.207,43.732,1018.3996,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,512.0,0.0
10,43565.0,270.207,43.74,1018.4305,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,564.0,0.0
11,43616.0,270.207,43.732,1018.3903,1.2155,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,615.0,0.0
12,43667.0,270.207,43.732,1018.3903,1.2155,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,666.0,0.0
13,43718.0,270.207,43.747,1018.43494,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,717.0,0.0
14,43769.0,270.207,43.732,1018.4398,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,768.0,0.0
15,43821.0,270.207,43.725,1018.4171,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,820.0,0.0
16,43872.0,270.207,43.74,1018.4171,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,871.0,0.0
17,43923.0,270.207,43.725,1018.4216,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,922.0,0.0
18,43974.0,270.207,43.709,1018.4439,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,973.0,0.0
19,44025.0,270.207,43.725,1018.40857,1.2156,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,1024.0,0.0
20,44077.0,270.207,43.74,1018.40857,1.2157,0.5,14.0,0.907,270.0,0.0,744.74,0.0,0.0,1076.0,0.0
21,44128.0,270.207,43.732,1018.4533,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1127.0,0.0
22,44179.0,270.207,43.732,1018.43494,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1178.0,0.0
23,44230.0,270.207,43.74,1018.4171,1.2156,0.375,14.0,0.786,270.0,0.0,751.66,0.0,0.0,1229.0,0.0
24,44281.0,270.207,43.725,1018.4171,1.2156,0.375,14.0,0.786,270.0,0.0,751.66,0.0,0.0,1280.0,0.0
25,44333.0,270.207,43.74,1018.4171,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1332.0,0.0
26,44384.0,270.207,43.717,1018.4216,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1383.0,0.0
27,44435.0,270.207,43.74,1018.44836,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1434.0,0.0
28,44486.0,270.207,43.725,1018.44836,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1485.0,0.0
29,44537.0,270.207,43.732,1018.4171,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1536.0,0.0
30,44589.0,270.207,43.725,1018.3996,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1588.0,0.0
31,44640.0,270.207,43.74,1018.3996,1.2156,0.375,14.0,0.786,270.0,0.0,751.66,0.0,0.0,1639.0,0.0
32,44691.0,270.207,43.732,1018.4533,1.2158,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1690.0,0.0
33,44742.0,270.207,43.74,1018.4171,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1741.0,0.0
34,44793.0,270.207,43.732,1018.40857,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1792.0,0.0
35,44845.0,270.207,43.725,1018.40857,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1844.0,0.0
36,44896.0,270.207,43.717,1018.3639,1.2156,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1895.0,0.0
37,44947.0,270.207,43.725,1018.4264,1.2157,0.375,14.0,0.785,270.0,0.0,751.66,0.0,0.0,1946.0,0.0
