Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,19.345,36.637,35.96,100128.56,1.1893,2.57388,0.875,0.875,1.213,1.213,512.0,0.0,0.0,0.0,-69.01
1,19.345,36.591,35.895,100126.67,1.1893,2.57388,0.875,0.875,1.213,1.213,565.0,0.0,0.0,0.0,-69.01
2,19.345,36.591,35.885,100128.31,1.1893,2.57413,1.125,0.875,1.376,1.213,618.0,0.0,0.0,0.0,-69.01
3,19.345,36.591,35.963,100132.234,1.1894,2.574,1.0,1.0,1.297,1.297,670.0,0.0,0.0,0.0,-73.77
4,19.345,36.576,35.963,100132.16,1.1894,2.57438,1.375,1.0,1.521,1.297,723.0,0.0,0.0,0.0,-73.77
5,19.345,36.599,35.909,100132.16,1.1893,2.574,1.0,1.0,1.297,1.297,776.0,0.0,0.0,0.0,-73.77
6,19.335,36.583,35.954,100130.75,1.1894,2.57438,1.375,1.0,1.521,1.297,829.0,0.0,0.0,0.0,-73.76
7,19.345,36.568,35.942,100130.7,1.1893,2.574,1.0,1.0,1.297,1.297,882.0,0.0,0.0,0.0,-73.77
8,19.345,36.583,35.966,100131.984,1.1893,2.574,1.0,1.0,1.297,1.297,934.0,0.0,0.0,0.0,-73.77
9,19.356,36.568,35.966,100131.984,1.1893,2.57425,1.25,1.0,1.45,1.297,988.0,0.0,0.0,0.0,-73.77
10,19.345,36.583,35.899,100128.375,1.1893,2.574,1.0,1.0,1.297,1.297,1041.0,0.0,0.0,0.0,-73.77
11,19.356,36.583,35.934,100124.75,1.1892,2.574,1.0,1.0,1.297,1.297,1093.0,0.0,0.0,0.0,-73.77
12,19.356,36.583,35.944,100127.875,1.1893,2.5735,0.5,1.0,0.917,1.297,1146.0,0.0,0.0,0.0,-73.77
13,19.345,36.599,35.944,100127.875,1.1893,2.57413,1.125,1.0,1.376,1.297,1200.0,0.0,0.0,0.0,-73.77
14,19.345,36.583,35.911,100127.875,1.1893,2.57375,0.75,1.0,1.123,1.297,1252.0,0.0,0.0,0.0,-73.77
15,19.345,36.591,35.988,100126.53,1.1893,2.5735,0.5,1.0,0.917,1.297,1305.0,0.0,0.0,0.0,-73.77
16,19.356,36.591,35.922,100126.96,1.1892,2.574,1.0,1.0,1.297,1.297,1358.0,0.0,0.0,0.0,-73.77
17,19.335,36.576,35.922,100126.96,1.1893,2.57425,1.25,1.0,1.45,1.297,1412.0,0.0,0.0,0.0,-73.77
18,19.335,36.591,35.955,100127.39,1.1893,2.57388,0.875,1.0,1.213,1.297,1464.0,0.0,0.0,0.0,-73.77
19,19.345,36.583,35.934,100128.74,1.1893,2.57363,0.625,1.0,1.025,1.297,1517.0,0.0,0.0,0.0,-73.77
20,19.335,36.576,35.945,100129.58,1.1894,2.574,1.0,1.0,1.297,1.297,1570.0,0.0,0.0,0.0,-73.77
21,19.324,36.568,35.945,100130.92,1.1894,2.57363,0.625,1.0,1.025,1.297,1624.0,0.0,0.0,0.0,-73.76
22,19.345,36.591,35.945,100130.92,1.1893,2.57375,0.75,1.0,1.123,1.297,1676.0,0.0,0.0,0.0,-73.77
23,19.345,36.591,35.912,100128.234,1.1893,2.57413,1.125,1.0,1.376,1.297,1729.0,0.0,0.0,0.0,-73.77
24,19.345,36.576,35.979,100129.58,1.1893,2.57413,1.125,1.0,1.375,1.297,1782.0,0.0,0.0,0.0,-73.77
25,19.356,36.591,35.967,100126.89,1.1892,2.57438,1.375,1.0,1.521,1.297,1836.0,0.0,0.0,0.0,-73.77
26,19.367,36.576,35.967,100126.89,1.1892,2.57363,0.625,1.0,1.025,1.297,1889.0,0.0,0.0,0.0,-73.77
