Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,15.163,49.401,103112.195,1.2426,2.5735,0.5,0.175,0.1,0.5,0.897,0.897,0.531,0.401,512.0,0.0,0.0,47.706,0.0,-51.04
1,15.184,49.317,103112.625,1.2425,2.57325,0.25,0.201,0.13,0.5,0.634,0.897,0.569,0.458,567.0,0.0,0.0,47.707,0.0,-51.04
2,15.184,49.34,103110.83,1.2424,2.57363,0.625,0.35,0.229,0.5,1.003,0.897,0.75,0.607,622.0,0.0,0.0,47.709,0.0,-51.04
3,15.173,49.325,103109.92,1.2425,2.57388,0.875,0.534,0.358,0.625,1.187,1.003,0.927,0.759,676.0,0.0,0.0,47.743,0.0,-57.06
4,15.173,49.34,103116.11,1.2426,2.57375,0.75,0.609,0.437,0.625,1.099,1.003,0.99,0.838,732.0,0.0,0.0,47.744,0.0,-57.06
5,15.173,49.332,103116.11,1.2426,2.57325,0.25,0.484,0.399,0.625,0.634,1.003,0.882,0.802,787.0,0.0,0.0,47.744,0.0,-57.06
6,15.184,49.309,103110.75,1.2425,2.57375,0.75,0.577,0.469,0.625,1.099,1.003,0.964,0.869,841.0,0.0,0.0,47.702,0.0,-57.06
7,15.173,49.325,103115.625,1.2426,2.5735,0.5,0.55,0.476,0.625,0.897,1.003,0.941,0.875,897.0,0.0,0.0,47.736,0.0,-57.06
8,15.184,49.34,103111.625,1.2425,2.57388,0.875,0.664,0.556,0.625,1.187,1.003,1.034,0.946,952.0,0.0,0.0,47.703,0.0,-57.06
9,15.205,49.325,103112.51,1.2424,2.5735,0.5,0.607,0.544,0.625,0.897,1.003,0.988,0.936,1006.0,0.0,0.0,47.682,0.0,-57.06
10,15.195,49.332,103112.51,1.2424,2.57388,0.875,0.701,0.611,0.625,1.187,1.003,1.062,0.991,1061.0,0.0,0.0,47.682,0.0,-57.06
11,15.195,49.332,103111.625,1.2424,2.5735,0.5,0.63,0.589,0.625,0.897,1.003,1.007,0.973,1117.0,0.0,0.0,47.714,0.0,-57.06
