Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,19.764,36.934,103066.945,1.2224,2.57375,-3.25,-1.137,-0.65,0.0,0.0,0.0,1.364,1.031,233.0,0.0,0.0,30.273,0.0,0.0
1,19.753,36.896,103067.516,1.2225,2.574,-3.0,-1.789,-1.12,0.0,0.0,0.0,1.711,1.354,297.0,0.0,0.0,30.284,0.0,0.0
2,19.764,36.881,103067.516,1.2225,2.57325,-3.75,-2.475,-1.646,0.0,0.0,0.0,2.012,1.641,363.0,0.0,0.0,30.284,0.0,0.0
3,19.742,36.881,103066.04,1.2225,2.57388,-3.125,-2.703,-1.942,0.0,0.0,0.0,2.103,1.782,428.0,0.0,0.0,30.239,0.0,0.0
4,19.742,36.873,103067.0,1.2225,2.5735,-3.5,-2.982,-2.253,0.0,0.0,0.0,2.209,1.92,493.0,0.0,0.0,30.295,0.0,0.0
5,19.731,36.866,103067.0,1.2226,2.57375,-3.25,-3.076,-2.453,0.0,0.0,0.0,2.243,2.003,558.0,0.0,0.0,30.295,0.0,0.0
6,19.753,36.873,103065.81,1.2225,2.5735,-3.5,-3.224,-2.662,0.0,0.0,0.0,2.297,2.087,623.0,0.0,0.0,30.306,0.0,0.0
7,19.764,36.873,103065.3,1.2224,2.57338,-3.625,-3.364,-2.855,0.0,0.0,0.0,2.346,2.161,688.0,0.0,0.0,30.25,0.0,0.0
8,19.764,36.873,103065.3,1.2224,2.57413,-2.875,-3.193,-2.859,0.0,0.0,0.0,2.286,2.163,753.0,0.0,0.0,30.25,0.0,0.0
9,19.753,36.873,103064.625,1.2225,2.57413,-2.875,-3.082,-2.862,0.0,0.0,0.0,2.245,2.164,818.0,0.0,0.0,30.272,0.0,0.0
10,19.753,36.873,103067.74,1.2225,2.57363,-3.375,-3.184,-2.964,0.0,0.0,0.0,2.282,2.202,883.0,0.0,0.0,30.262,0.0,0.0
11,19.785,36.866,103067.74,1.2224,2.57375,-3.25,-3.207,-3.022,0.0,0.0,0.0,2.291,2.223,948.0,0.0,0.0,30.262,0.0,0.0
12,19.753,36.873,103068.016,1.2225,2.57363,-3.375,-3.266,-3.092,0.0,0.0,0.0,2.311,2.249,1013.0,0.0,0.0,30.239,0.0,0.0
13,19.764,36.866,103067.69,1.2225,2.57375,-3.25,-3.26,-3.124,0.0,0.0,0.0,2.31,2.261,1078.0,0.0,0.0,30.262,0.0,0.0
14,19.764,36.866,103067.69,1.2225,2.5735,-3.5,-3.344,-3.199,0.0,0.0,0.0,2.339,2.288,1143.0,0.0,0.0,30.262,0.0,0.0
15,19.742,36.881,103066.78,1.2225,2.57375,-3.25,-3.311,-3.209,0.0,0.0,0.0,2.327,2.291,1209.0,0.0,0.0,30.307,0.0,0.0
16,19.753,36.881,103069.67,1.2225,2.57363,-3.375,-3.333,-3.242,0.0,0.0,0.0,2.335,2.303,1273.0,0.0,0.0,30.251,0.0,0.0
17,19.742,36.866,103069.67,1.2226,2.57325,-3.75,-3.479,-3.344,0.0,0.0,0.0,2.386,2.339,1339.0,0.0,0.0,30.251,0.0,0.0
18,19.764,36.866,103067.06,1.2225,2.57363,-3.375,-3.443,-3.35,0.0,0.0,0.0,2.373,2.341,1403.0,0.0,0.0,30.296,0.0,0.0
19,19.764,36.873,103067.91,1.2225,2.57375,-3.25,-3.375,-3.33,0.0,0.0,0.0,2.35,2.334,1469.0,0.0,0.0,30.263,0.0,0.0
20,19.764,36.873,103067.91,1.2225,2.574,-3.0,-3.244,-3.264,0.0,0.0,0.0,2.304,2.311,1533.0,0.0,0.0,30.263,0.0,0.0
21,19.742,36.866,103069.266,1.2226,2.57388,-3.125,-3.202,-3.236,0.0,0.0,0.0,2.289,2.301,1599.0,0.0,0.0,30.285,0.0,0.0
22,19.774,36.881,103065.87,1.2224,2.57388,-3.125,-3.175,-3.214,0.0,0.0,0.0,2.279,2.293,1665.0,0.0,0.0,30.273,0.0,0.0
23,19.753,36.889,103065.87,1.2225,2.57363,-3.375,-3.245,-3.246,0.0,0.0,0.0,2.304,2.304,1729.0,0.0,0.0,30.273,0.0,0.0
24,19.764,36.881,103068.76,1.2225,2.57338,-3.625,-3.378,-3.322,0.0,0.0,0.0,2.351,2.331,1795.0,0.0,0.0,30.24,0.0,0.0
25,19.742,36.873,103070.39,1.2226,2.57375,-3.25,-3.333,-3.307,0.0,0.0,0.0,2.335,2.326,1859.0,0.0,0.0,30.207,0.0,0.0
26,19.764,36.866,103070.39,1.2225,2.5735,-3.5,-3.391,-3.346,0.0,0.0,0.0,2.355,2.34,1925.0,0.0,0.0,30.207,0.0,0.0
27,19.774,36.889,103065.54,1.2224,2.5735,-3.5,-3.429,-3.377,0.0,0.0,0.0,2.369,2.35,1990.0,0.0,0.0,30.24,0.0,0.0
28,19.764,36.866,103066.45,1.2224,2.57363,-3.375,-3.41,-3.376,0.0,0.0,0.0,2.362,2.35,2055.0,0.0,0.0,30.218,0.0,0.0
29,19.753,36.873,103066.45,1.2225,2.5735,-3.5,-3.442,-3.401,0.0,0.0,0.0,2.373,2.359,2120.0,0.0,0.0,30.218,0.0,0.0
30,19.764,36.889,103068.25,1.2225,2.57413,-2.875,-3.243,-3.296,0.0,0.0,0.0,2.303,2.322,2185.0,0.0,0.0,30.229,0.0,0.0
31,19.774,36.873,103066.89,1.2224,2.57363,-3.375,-3.289,-3.312,0.0,0.0,0.0,2.32,2.328,2250.0,0.0,0.0,30.263,0.0,0.0
32,19.742,36.873,103066.89,1.2225,2.57375,-3.25,-3.275,-3.299,0.0,0.0,0.0,2.315,2.323,2315.0,0.0,0.0,30.263,0.0,0.0
33,19.753,36.873,103069.16,1.2225,2.574,-3.0,-3.179,-3.239,0.0,0.0,0.0,2.281,2.302,2380.0,0.0,0.0,30.251,0.0,0.0
