Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,26.37,27.382,26.964,100228.12,1.162,2.3925,-20.2,0.0,0.0,0.0,1404100.0,0.0,0.0,0.0,NaN
1,26.36,27.421,26.953,100231.16,1.162,2.41625,-156.75,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0
2,26.349,27.39,26.941,100229.03,1.1621,2.41738,-155.625,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0
3,26.37,27.367,26.941,100229.03,1.162,2.41675,-156.25,0.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0
4,26.37,27.375,26.907,100230.5,1.162,2.41538,-157.625,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0
5,26.36,27.375,26.953,100231.42,1.1621,2.41613,-156.875,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0
6,26.338,27.367,26.953,100231.42,1.1621,2.417,-156.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0
7,26.37,27.375,26.931,100231.93,1.162,2.41625,-156.75,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0
8,26.349,27.367,26.941,100235.08,1.1621,2.41763,-155.375,0.0,0.0,0.0,673.0,0.0,0.0,0.0,0.0
9,26.349,27.367,26.941,100235.08,1.1621,2.417,-156.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0
10,26.36,27.367,26.908,100232.1,1.1621,2.41613,-156.875,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0
11,26.36,27.36,26.908,100232.1,1.1621,2.41725,-155.75,0.0,0.0,0.0,862.0,0.0,0.0,0.0,0.0
12,26.349,27.367,26.941,100231.59,1.1621,2.4155,-157.5,0.0,0.0,0.0,925.0,0.0,0.0,0.0,0.0
13,26.349,27.382,26.941,100229.55,1.1621,2.41638,-156.625,0.0,0.0,0.0,988.0,0.0,0.0,0.0,0.0
14,26.349,27.367,26.941,100229.55,1.1621,2.41663,-156.375,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,0.0
15,26.36,27.375,26.908,100229.05,1.162,2.41575,-157.25,0.0,0.0,0.0,1114.0,0.0,0.0,0.0,0.0
16,26.36,27.367,26.931,100231.836,1.1621,2.41688,-156.125,0.0,0.0,0.0,1177.0,0.0,0.0,0.0,0.0
17,26.349,27.382,26.931,100231.836,1.1621,2.41713,-155.875,0.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0
18,26.37,27.36,26.919,100233.29,1.162,2.41563,-157.375,0.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0
19,26.37,27.367,26.896,100231.08,1.162,2.417,-156.0,0.0,0.0,0.0,1366.0,0.0,0.0,0.0,0.0
20,26.36,27.367,26.896,100231.08,1.1621,2.41738,-155.625,0.0,0.0,0.0,1429.0,0.0,0.0,0.0,0.0
