Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro
0,21.104,33.417,97198.62,1.1474,2.54675,2546.75,764.025,509.35,2546.75,66.627,66.627,36.493,29.797,512.0,0.0,1.0
1,21.104,33.371,97199.234,1.1474,2.54688,1273.5,916.868,662.18,2546.75,47.115,66.627,39.977,33.974,566.0,0.0,1.0
2,21.093,33.371,97194.43,1.1474,2.5465,848.625,896.395,699.469,1273.5,38.461,47.115,39.528,34.917,620.0,0.0,1.0
3,21.115,33.364,97195.05,1.1473,2.54675,636.719,818.492,686.919,1273.5,33.316,47.116,37.773,34.604,674.0,0.0,1.0
4,21.093,33.371,97196.17,1.1474,2.54663,509.25,725.719,651.385,848.625,29.793,38.46,35.566,33.696,729.0,0.0,1.0
5,21.115,33.371,97196.17,1.1473,2.54663,424.375,635.316,605.983,848.625,27.199,38.462,33.279,32.501,783.0,0.0,1.0
6,21.083,33.371,97200.94,1.1475,2.54688,364.0,553.921,557.587,636.719,25.188,33.313,31.071,31.174,837.0,0.0,1.0
7,21.126,33.371,97202.91,1.1474,2.54688,318.5,483.295,509.769,636.719,23.562,33.315,29.025,29.809,891.0,0.0,1.0
8,21.093,33.379,97199.3,1.1475,2.54675,282.986,423.202,464.413,509.25,22.209,29.793,27.159,28.451,945.0,0.0,1.0
9,21.093,33.379,97199.3,1.1475,2.54675,254.687,372.648,422.468,509.25,21.069,29.793,25.486,27.136,999.0,0.0,1.0
10,21.093,33.371,97199.18,1.1475,2.5475,232.284,330.539,384.431,424.375,20.121,27.197,24.003,25.885,1053.0,0.0,1.0
11,21.093,33.364,97197.72,1.1474,2.54688,212.302,295.068,350.005,424.375,19.237,27.197,22.678,24.699,1107.0,0.0,1.0
12,21.104,33.379,97198.56,1.1474,2.54675,195.846,265.301,319.173,364.0,18.476,25.189,21.504,23.587,1162.0,0.0,1.0
13,21.093,33.364,97201.64,1.1475,2.54675,181.857,240.268,291.71,364.0,17.804,25.188,20.464,22.548,1216.0,0.0,1.0
14,21.126,33.364,97201.64,1.1474,2.54688,169.858,219.145,267.34,318.5,17.207,23.562,19.545,21.587,1270.0,0.0,1.0
15,21.104,33.364,97198.03,1.1474,2.54675,159.117,201.137,245.695,318.5,16.654,23.562,18.724,20.695,1325.0,0.0,1.0
16,21.104,33.364,97198.45,1.1474,2.54625,149.257,185.573,226.408,282.986,16.13,22.21,17.985,19.866,1379.0,0.0,1.0
17,21.093,33.364,97201.984,1.1475,2.54688,141.591,172.378,209.444,282.986,15.709,22.209,17.333,19.106,1433.0,0.0,1.0
18,21.093,33.364,97198.875,1.1475,2.54663,133.888,160.831,194.333,254.687,15.276,21.069,16.743,18.404,1487.0,0.0,1.0
19,21.093,33.371,97198.875,1.1475,2.54725,127.819,150.928,181.03,254.687,14.926,21.069,16.219,17.763,1542.0,0.0,1.0
20,21.115,33.364,97200.11,1.1474,2.54675,-0.044,105.636,144.815,232.284,0.0,20.122,13.57,15.888,1596.0,0.0,1.0
21,21.115,33.356,97198.766,1.1474,2.547,0.206,74.007,115.894,232.284,0.6,20.122,11.358,14.213,1650.0,0.0,1.0
22,21.104,33.364,97204.57,1.1475,2.54713,0.325,51.903,92.78,212.302,0.753,19.236,9.511,12.717,1703.0,0.0,1.0
23,21.083,33.356,97204.57,1.1476,2.54713,0.294,36.42,74.283,195.846,0.715,18.475,7.967,11.378,1758.0,0.0,1.0
24,21.115,33.371,97196.06,1.1473,2.54688,0.025,25.501,59.431,181.857,0.209,17.805,6.667,10.178,1812.0,0.0,1.0
25,21.115,33.364,97199.61,1.1474,2.547,0.137,17.892,47.572,169.858,0.489,17.207,5.585,9.106,1865.0,0.0,1.0
26,21.115,33.364,97199.61,1.1474,2.54725,0.369,12.635,38.132,159.117,0.802,16.654,4.693,8.153,1920.0,0.0,1.0
27,21.104,33.371,97198.26,1.1474,2.54713,0.225,8.912,30.55,149.257,0.626,16.13,3.941,7.297,1974.0,0.0,1.0
28,21.136,33.364,97198.26,1.1473,2.54725,0.337,6.34,24.508,141.591,0.767,15.711,3.324,6.536,2027.0,0.0,1.0
29,21.104,33.371,97200.414,1.1474,2.54675,-0.188,4.381,19.569,133.888,0.0,15.277,2.764,5.84,2081.0,0.0,1.0
30,21.093,33.371,97200.95,1.1475,2.5475,0.562,3.236,15.767,133.888,0.99,15.276,2.375,5.242,2135.0,0.0,1.0
31,21.104,33.371,97195.95,1.1474,2.54663,-0.313,2.171,12.551,127.819,0.0,14.927,1.945,4.677,2189.0,0.0,1.0
32,21.115,33.371,97195.95,1.1473,2.5465,-0.437,1.389,9.954,0.562,0.0,0.99,1.556,4.165,2242.0,0.0,1.0
33,21.093,33.371,97203.11,1.1475,2.54688,-0.062,0.953,7.95,0.562,0.0,0.99,1.289,3.722,2296.0,0.0,1.0
