Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,18.809,34.89,34.479,100264.56,1.1934,2.57525,2.25,2.25,1.942,1.942,512.0,0.0,0.0,0.0,-110.46
1,18.809,34.844,34.491,100267.62,1.1935,2.57488,1.875,2.25,1.773,1.942,565.0,0.0,0.0,0.0,-110.45
2,18.809,34.829,34.459,100260.766,1.1934,2.57513,2.125,2.125,1.887,1.887,618.0,0.0,0.0,0.0,-107.35
3,18.809,34.836,34.46,100265.125,1.1934,2.57463,1.625,2.125,1.65,1.887,670.0,0.0,0.0,0.0,-107.35
4,18.809,34.836,34.472,100265.92,1.1934,2.57475,1.75,1.875,1.713,1.773,723.0,0.0,0.0,0.0,-100.83
5,18.798,34.836,34.473,100265.92,1.1935,2.575,2.0,2.0,1.831,1.831,777.0,0.0,0.0,0.0,-104.13
6,18.82,34.852,34.495,100264.95,1.1934,2.57488,1.875,1.875,1.773,1.773,829.0,0.0,0.0,0.0,-100.83
7,18.809,34.859,34.463,100261.75,1.1934,2.57475,1.75,1.875,1.713,1.773,882.0,0.0,0.0,0.0,-100.83
8,18.798,34.844,34.507,100263.53,1.1934,2.57525,2.25,1.875,1.942,1.773,935.0,0.0,0.0,0.0,-100.83
9,18.809,34.844,34.507,100263.53,1.1934,2.575,2.0,2.0,1.831,1.831,988.0,0.0,0.0,0.0,-104.14
10,18.82,34.844,34.475,100261.28,1.1933,2.57488,1.875,1.875,1.773,1.773,1041.0,0.0,0.0,0.0,-100.84
11,18.83,34.844,34.508,100263.0,1.1933,2.57488,1.875,1.875,1.773,1.773,1094.0,0.0,0.0,0.0,-100.84
12,18.82,34.852,34.464,100263.39,1.1934,2.57488,1.875,1.875,1.773,1.773,1147.0,0.0,0.0,0.0,-100.83
13,18.809,34.829,34.464,100263.39,1.1934,2.57513,2.125,1.875,1.887,1.773,1200.0,0.0,0.0,0.0,-100.83
14,18.83,34.836,34.453,100259.805,1.1933,2.57475,1.75,1.875,1.713,1.773,1253.0,0.0,0.0,0.0,-100.84
15,18.82,34.844,34.508,100268.3,1.1934,2.57488,1.875,1.875,1.773,1.773,1306.0,0.0,0.0,0.0,-100.83
16,18.809,34.844,34.475,100269.21,1.1935,2.57463,1.625,1.875,1.65,1.773,1359.0,0.0,0.0,0.0,-100.83
17,18.809,34.821,34.475,100269.21,1.1935,2.5745,1.5,1.875,1.586,1.773,1413.0,0.0,0.0,0.0,-100.83
18,18.83,34.844,34.442,100266.516,1.1933,2.57513,2.125,1.875,1.887,1.773,1465.0,0.0,0.0,0.0,-100.83
19,18.82,34.844,34.497,100264.266,1.1934,2.57488,1.875,1.875,1.773,1.773,1518.0,0.0,0.0,0.0,-100.83
20,18.809,34.836,34.464,100261.14,1.1934,2.575,2.0,1.875,1.831,1.773,1571.0,0.0,0.0,0.0,-100.83
21,18.809,34.836,34.498,100262.016,1.1934,2.5745,1.5,1.875,1.586,1.773,1625.0,0.0,0.0,0.0,-100.83
22,18.809,34.844,34.498,100262.016,1.1934,2.57463,1.625,1.875,1.65,1.773,1678.0,0.0,0.0,0.0,-100.83
23,18.809,34.852,34.454,100262.42,1.1934,2.57475,1.75,1.875,1.713,1.773,1730.0,0.0,0.0,0.0,-100.83
24,18.83,34.844,34.498,100266.05,1.1933,2.575,2.0,1.875,1.831,1.773,1783.0,0.0,0.0,0.0,-100.84
25,18.82,34.844,34.498,100267.8,1.1934,2.574,1.0,1.875,1.295,1.773,1837.0,0.0,0.0,0.0,-100.83
26,18.809,34.836,34.498,100267.8,1.1935,2.57463,1.625,1.875,1.65,1.773,1890.0,0.0,0.0,0.0,-100.83
27,18.82,34.836,34.486,100265.11,1.1934,2.57475,1.75,1.875,1.713,1.773,1943.0,0.0,0.0,0.0,-100.83
28,18.82,34.836,34.433,100267.33,1.1934,2.57475,1.75,1.875,1.713,1.773,1996.0,0.0,0.0,0.0,-100.83
29,18.809,34.844,34.498,100265.55,1.1934,2.57525,2.25,1.875,1.942,1.773,2050.0,0.0,0.0,0.0,-100.83
30,18.809,34.829,34.498,100265.55,1.1934,2.57475,1.75,1.875,1.713,1.773,2103.0,0.0,0.0,0.0,-100.83
31,18.82,34.829,34.465,100261.516,1.1933,2.57488,1.875,1.875,1.773,1.773,2155.0,0.0,0.0,0.0,-100.84
32,18.82,34.829,34.487,100265.984,1.1934,2.57488,1.875,1.875,1.773,1.773,2208.0,0.0,0.0,0.0,-100.83
33,18.83,34.836,34.52,100265.55,1.1933,2.57475,1.75,1.875,1.713,1.773,2262.0,0.0,0.0,0.0,-100.84
34,18.83,34.836,34.52,100265.55,1.1933,2.57488,1.875,1.875,1.773,1.773,2315.0,0.0,0.0,0.0,-100.84
35,18.82,34.806,34.499,100266.82,1.1934,2.575,0.237,1.875,0.631,1.773,2368.0,0.0,0.0,0.0,-100.83
36,18.82,34.821,34.51,100264.64,1.1934,2.57463,-0.138,1.875,0.0,1.773,2421.0,0.0,0.0,0.0,-100.83
37,18.809,34.829,34.531,100266.414,1.1934,2.57413,-0.638,1.875,0.0,1.773,2473.0,0.0,0.0,0.0,-100.83
38,18.841,34.821,34.476,100264.2,1.1933,2.57463,-0.138,1.875,0.0,1.773,2527.0,0.0,0.0,0.0,-100.84
39,18.809,34.836,34.476,100264.2,1.1934,2.57463,-0.138,1.875,0.0,1.773,2580.0,0.0,0.0,0.0,-100.83
40,18.83,34.829,34.486,100261.516,1.1933,2.575,0.237,1.875,0.631,1.773,2633.0,0.0,0.0,0.0,-100.84
41,18.809,34.813,34.477,100271.79,1.1935,2.57463,-0.138,1.875,0.0,1.773,2686.0,0.0,0.0,0.0,-100.83
42,18.809,34.821,34.499,100270.016,1.1935,2.5745,-0.263,1.75,0.0,1.713,2739.0,0.0,0.0,0.0,-97.41
43,18.83,34.829,34.499,100270.016,1.1934,2.57463,-0.138,1.875,0.0,1.773,2792.0,0.0,0.0,0.0,-100.83
44,18.809,34.821,34.487,100265.984,1.1934,2.57463,-0.138,1.875,0.0,1.773,2845.0,0.0,0.0,0.0,-100.83
45,18.83,34.836,34.564,100265.47,1.1933,2.57475,-0.012,1.875,0.0,1.773,2898.0,0.0,0.0,0.0,-100.84
46,18.809,34.813,34.499,100260.09,1.1934,2.5745,-0.263,1.75,0.0,1.713,2951.0,0.0,0.0,0.0,-97.42
47,18.809,34.829,34.499,100260.09,1.1934,2.57438,-0.387,1.875,0.0,1.773,3004.0,0.0,0.0,0.0,-100.83
48,18.82,34.829,34.531,100269.11,1.1934,2.57438,-0.387,1.75,0.0,1.713,3057.0,0.0,0.0,0.0,-97.41
49,18.82,34.836,34.443,100265.08,1.1934,2.57463,-0.138,1.75,0.0,1.713,3109.0,0.0,0.0,0.0,-97.42
50,18.82,34.821,34.51,100265.08,1.1934,2.57413,-0.638,1.75,0.0,1.713,3163.0,0.0,0.0,0.0,-97.42
51,18.82,34.821,34.51,100262.38,1.1933,2.57413,-0.638,1.75,0.0,1.713,3216.0,0.0,0.0,0.0,-97.42
52,18.83,34.829,34.477,100261.95,1.1933,2.574,-0.762,1.75,0.0,1.713,3268.0,0.0,0.0,0.0,-97.42
53,18.83,34.829,34.454,100261.95,1.1933,2.57438,-0.387,1.75,0.0,1.713,3321.0,0.0,0.0,0.0,-97.42
54,18.82,34.813,34.531,100268.67,1.1934,2.57475,-0.012,1.75,0.0,1.713,3375.0,0.0,0.0,0.0,-97.41
55,18.841,34.844,34.509,100269.58,1.1933,2.5745,-0.263,1.75,0.0,1.713,3427.0,0.0,0.0,0.0,-97.42
56,18.841,34.806,34.509,100269.58,1.1933,2.57538,0.612,1.75,1.013,1.713,3480.0,0.0,0.0,0.0,-97.42
57,18.83,34.813,34.454,100265.11,1.1933,2.57513,0.363,1.75,0.78,1.713,3533.0,0.0,0.0,0.0,-97.42
