Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2
0,20.514,40.52,102151.03,1.2079,2.56,-14.0,-4.2,-2.8,0.0,0.0,0.0,2.637,2.153,512.0,0.0,1.0,39.409
1,20.525,40.482,102147.82,1.2078,2.55975,-14.25,-7.215,-5.09,0.0,0.0,0.0,3.456,2.903,566.0,0.0,1.0,39.378
2,20.536,40.49,102151.766,1.2078,2.55963,-14.375,-9.363,-6.947,0.0,0.0,0.0,3.938,3.392,620.0,0.0,1.0,39.435
3,20.525,40.467,102149.45,1.2078,2.55988,-14.125,-10.791,-8.382,0.0,0.0,0.0,4.227,3.726,674.0,0.0,1.0,39.413
4,20.525,40.467,102146.25,1.2078,2.55938,-14.625,-11.941,-9.631,0.0,0.0,0.0,4.447,3.994,728.0,0.0,1.0,39.403
5,20.547,40.467,102146.25,1.2077,2.55988,-14.125,-12.596,-10.53,0.0,0.0,0.0,4.567,4.176,782.0,0.0,1.0,39.403
6,20.525,40.467,102148.484,1.2078,2.55963,-14.375,-13.13,-11.299,0.0,0.0,0.0,4.663,4.325,836.0,0.0,1.0,39.36
7,20.525,40.474,102144.39,1.2077,2.55988,-14.125,-13.428,-11.864,0.0,0.0,0.0,4.716,4.432,890.0,0.0,1.0,39.36
8,20.525,40.467,102146.234,1.2078,2.55963,-14.375,-13.712,-12.366,0.0,0.0,0.0,4.765,4.525,945.0,0.0,1.0,39.448
9,20.525,40.482,102146.234,1.2078,2.5595,-14.5,-13.949,-12.793,0.0,0.0,0.0,4.806,4.603,999.0,0.0,1.0,39.448
10,20.514,40.482,102147.984,1.2078,2.559,-15.0,-14.264,-13.234,0.0,0.0,0.0,4.86,4.681,1053.0,0.0,1.0,39.426
11,20.504,40.467,102148.375,1.2079,2.55988,-14.125,-14.222,-13.412,0.0,0.0,0.0,4.853,4.713,1107.0,0.0,1.0,39.416
12,20.525,40.482,102146.17,1.2078,2.55988,-14.125,-14.193,-13.555,0.0,0.0,0.0,4.848,4.738,1162.0,0.0,1.0,39.416
13,20.536,40.467,102148.375,1.2077,2.56013,-13.875,-14.098,-13.619,0.0,0.0,0.0,4.832,4.749,1215.0,0.0,1.0,39.394
14,20.536,40.459,102148.375,1.2077,2.55938,-14.625,-14.256,-13.82,0.0,0.0,0.0,4.859,4.784,1269.0,0.0,1.0,39.394
15,20.525,40.482,102147.03,1.2078,2.559,-15.0,-14.479,-14.056,0.0,0.0,0.0,4.897,4.825,1324.0,0.0,1.0,39.36
16,20.536,40.459,102144.78,1.2077,2.55988,-14.125,-14.373,-14.07,0.0,0.0,0.0,4.879,4.827,1378.0,0.0,1.0,39.327
17,20.525,40.482,102147.03,1.2078,2.55938,-14.625,-14.448,-14.181,0.0,0.0,0.0,4.891,4.846,1432.0,0.0,1.0,39.383
18,20.536,40.474,102146.625,1.2077,2.55938,-14.625,-14.501,-14.27,0.0,0.0,0.0,4.9,4.861,1486.0,0.0,1.0,39.372
19,20.547,40.467,102146.625,1.2077,2.55988,-14.125,-14.388,-14.241,0.0,0.0,0.0,4.881,4.856,1541.0,0.0,1.0,39.372
20,20.525,40.459,102144.78,1.2078,2.55988,-14.125,-14.309,-14.217,0.0,0.0,0.0,4.868,4.852,1595.0,0.0,1.0,39.36
21,20.525,40.459,102150.17,1.2078,2.55988,-14.125,-14.254,-14.199,0.0,0.0,0.0,4.858,4.849,1649.0,0.0,1.0,39.35
22,20.504,40.474,102143.43,1.2078,2.5595,-14.5,-14.328,-14.259,0.0,0.0,0.0,4.871,4.859,1703.0,0.0,1.0,39.383
23,20.514,40.482,102143.43,1.2078,2.56,-14.0,-14.229,-14.207,0.0,0.0,0.0,4.854,4.85,1758.0,0.0,1.0,39.383
24,20.525,40.459,102147.016,1.2078,2.5595,-14.5,-14.31,-14.266,0.0,0.0,0.0,4.868,4.86,1812.0,0.0,1.0,39.428
25,20.525,40.452,102146.08,1.2078,2.55888,-15.125,-14.555,-14.438,0.0,0.0,0.0,4.909,4.89,1866.0,0.0,1.0,39.417
26,20.525,40.482,102146.516,1.2078,2.55913,-14.875,-14.651,-14.525,0.0,0.0,0.0,4.926,4.904,1921.0,0.0,1.0,39.362
27,20.525,40.482,102144.73,1.2078,2.559,-15.0,-14.755,-14.62,0.0,0.0,0.0,4.943,4.92,1974.0,0.0,1.0,39.361
28,20.525,40.467,102144.73,1.2078,2.55975,-14.25,-14.604,-14.546,0.0,0.0,0.0,4.918,4.908,2028.0,0.0,1.0,39.361
29,20.514,40.459,102143.875,1.2078,2.5595,-14.5,-14.573,-14.537,0.0,0.0,0.0,4.912,4.906,2082.0,0.0,1.0,39.34
30,20.525,40.474,102147.92,1.2078,2.559,-0.538,-10.362,-11.737,0.0,0.0,0.0,4.142,4.409,2137.0,0.0,1.0,39.384
31,20.525,40.467,102149.266,1.2078,2.55938,-0.163,-7.302,-9.422,0.0,0.0,0.0,3.477,3.95,2191.0,0.0,1.0,39.395
32,20.536,40.474,102149.266,1.2078,2.55888,-0.662,-5.31,-7.67,0.0,0.0,0.0,2.965,3.564,2245.0,0.0,1.0,39.395
33,20.514,40.474,102146.08,1.2078,2.55938,-0.163,-3.766,-6.169,0.0,0.0,0.0,2.497,3.196,2299.0,0.0,1.0,39.373
34,20.525,40.49,102142.97,1.2077,2.55938,-0.163,-2.685,-4.967,0.0,0.0,0.0,2.109,2.868,2353.0,0.0,1.0,39.395
35,20.525,40.467,102146.516,1.2078,2.55938,-0.163,-1.928,-4.006,0.0,0.0,0.0,1.787,2.576,2407.0,0.0,1.0,39.34
36,20.525,40.452,102148.36,1.2078,2.55938,-0.163,-1.399,-3.238,0.0,0.0,0.0,1.522,2.315,2461.0,0.0,1.0,39.384
37,20.525,40.444,102148.36,1.2078,2.55913,-0.412,-1.103,-2.673,0.0,0.0,0.0,1.351,2.104,2514.0,0.0,1.0,39.384
38,20.525,40.467,102146.08,1.2078,2.55938,-0.163,-0.821,-2.171,0.0,0.0,0.0,1.166,1.896,2569.0,0.0,1.0,39.438
39,20.525,40.459,102149.21,1.2078,2.56,0.463,-0.436,-1.644,0.463,0.875,0.875,0.849,1.65,2623.0,0.0,1.0,39.406
40,20.536,40.467,102150.12,1.2078,2.559,-0.538,-0.466,-1.423,0.463,0.0,0.875,0.879,1.535,2677.0,0.0,1.0,39.34
41,20.536,40.467,102150.12,1.2078,2.55988,0.337,-0.225,-1.071,0.463,0.748,0.875,0.611,1.332,2732.0,0.0,1.0,39.34
42,20.536,40.467,102149.7,1.2078,2.5595,-0.037,-0.169,-0.864,0.337,0.0,0.748,0.529,1.196,2786.0,0.0,1.0,39.373
43,20.536,40.467,102147.92,1.2077,2.55925,-0.287,-0.204,-0.749,0.337,0.0,0.748,0.582,1.113,2839.0,0.0,1.0,39.351
44,20.536,40.467,102147.81,1.2077,2.56013,0.588,0.033,-0.481,0.463,0.986,0.875,0.234,0.893,2893.0,0.0,1.0,39.352
45,20.536,40.459,102147.41,1.2077,2.55988,0.337,0.124,-0.318,0.463,0.748,0.875,0.454,0.725,2948.0,0.0,1.0,39.362
46,20.536,40.474,102147.41,1.2077,2.55975,0.213,0.151,-0.212,0.337,0.593,0.748,0.5,0.592,3002.0,0.0,1.0,39.362
47,20.525,40.459,102144.31,1.2077,2.5595,-0.037,0.094,-0.177,0.337,0.0,0.748,0.395,0.541,3056.0,0.0,1.0,39.395
48,20.525,40.459,102157.25,1.2079,2.55975,0.213,0.13,-0.099,0.337,0.593,0.747,0.464,0.405,3110.0,0.0,1.0,39.396
49,20.525,40.467,102146.516,1.2078,2.55913,-0.412,-0.033,-0.162,0.337,0.0,0.748,0.233,0.517,3164.0,0.0,1.0,39.352
50,20.536,40.452,102150.56,1.2078,2.559,-0.538,-0.184,-0.237,0.337,0.0,0.748,0.552,0.626,3218.0,0.0,1.0,39.352
51,20.514,40.459,102151.45,1.2079,2.55875,-0.787,-0.365,-0.347,0.337,0.0,0.747,0.778,0.758,3272.0,0.0,1.0,39.373
52,20.482,40.474,102148.75,1.208,2.5595,-0.037,-0.267,-0.285,0.337,0.0,0.747,0.665,0.687,3326.0,0.0,1.0,39.385
53,20.525,40.467,102151.45,1.2078,2.55975,0.213,-0.123,-0.186,0.337,0.593,0.747,0.451,0.554,3381.0,0.0,1.0,39.418
54,20.536,40.474,102154.14,1.2078,2.55913,-0.412,-0.21,-0.231,0.337,0.0,0.747,0.589,0.618,3435.0,0.0,1.0,39.362
55,20.514,40.467,102154.14,1.2079,2.5595,-0.037,-0.158,-0.192,0.337,0.0,0.747,0.512,0.564,3488.0,0.0,1.0,39.362
56,20.536,40.474,102146.055,1.2077,2.55975,0.213,-0.047,-0.111,0.337,0.593,0.748,0.279,0.429,3543.0,0.0,1.0,39.373
57,20.514,40.459,102147.41,1.2078,2.559,-0.538,-0.194,-0.197,0.213,0.0,0.593,0.567,0.57,3597.0,0.0,1.0,39.352
58,20.536,40.459,102152.35,1.2078,2.55913,-0.412,-0.26,-0.24,0.213,0.0,0.593,0.656,0.63,3651.0,0.0,1.0,39.385
59,20.525,40.474,102149.21,1.2078,2.55875,-0.787,-0.418,-0.349,0.213,0.0,0.593,0.832,0.76,3705.0,0.0,1.0,39.362
60,20.525,40.467,102149.21,1.2078,2.55925,-0.287,-0.379,-0.337,0.213,0.0,0.593,0.792,0.747,3760.0,0.0,1.0,39.362
61,20.514,40.459,102143.36,1.2078,2.55875,-0.787,-0.501,-0.427,0.213,0.0,0.593,0.911,0.841,3813.0,0.0,1.0,39.362
62,20.525,40.474,102151.0,1.2078,2.55888,-0.662,-0.55,-0.474,0.213,0.0,0.593,0.954,0.886,3867.0,0.0,1.0,39.373
63,20.504,40.452,102146.055,1.2079,2.5595,-0.037,-0.396,-0.387,0.213,0.0,0.593,0.81,0.8,3921.0,0.0,1.0,39.362
64,20.504,40.459,102146.055,1.2079,2.559,-0.538,-0.438,-0.417,0.213,0.0,0.593,0.852,0.831,3976.0,0.0,1.0,39.362
65,20.514,40.459,102150.56,1.2079,2.5595,-0.037,-0.318,-0.341,0.213,0.0,0.593,0.726,0.751,4030.0,0.0,1.0,39.406
66,20.504,40.452,102149.6,1.2079,2.55925,-0.287,-0.309,-0.33,0.213,0.0,0.593,0.715,0.74,4084.0,0.0,1.0,39.352
67,20.514,40.452,102152.35,1.2079,2.55913,-0.412,-0.34,-0.347,0.213,0.0,0.593,0.75,0.758,4137.0,0.0,1.0,39.396
68,20.504,40.467,102148.75,1.2079,2.55925,-0.287,-0.324,-0.335,0.213,0.0,0.593,0.733,0.745,4192.0,0.0,1.0,39.396
69,20.493,40.474,102148.75,1.2079,2.55913,-0.412,-0.351,-0.35,0.213,0.0,0.593,0.762,0.762,4246.0,0.0,1.0,39.396
70,20.514,40.467,102148.31,1.2078,2.5595,-0.037,-0.257,-0.288,0.213,0.0,0.593,0.652,0.69,4300.0,0.0,1.0,39.439
71,20.504,40.474,102149.66,1.2079,2.55875,-0.787,-0.416,-0.388,0.213,0.0,0.593,0.83,0.801,4355.0,0.0,1.0,39.362
72,20.493,40.467,102146.96,1.2079,2.559,-0.538,-0.452,-0.418,0.213,0.0,0.593,0.865,0.832,4408.0,0.0,1.0,39.362
73,20.504,40.459,102146.96,1.2079,2.5585,-1.038,-0.628,-0.542,0.213,0.0,0.593,1.02,0.947,4462.0,0.0,1.0,39.362
74,20.514,40.467,102148.75,1.2078,2.55938,-0.163,-0.488,-0.466,0.213,0.0,0.593,0.899,0.878,4516.0,0.0,1.0,39.406
75,20.493,40.459,102146.055,1.2079,2.55888,-0.662,-0.541,-0.505,0.213,0.0,0.593,0.946,0.915,4571.0,0.0,1.0,39.34
76,20.525,40.467,102148.75,1.2078,2.55913,-0.412,-0.502,-0.487,0.213,0.0,0.593,0.912,0.898,4625.0,0.0,1.0,39.362
77,20.493,40.474,102152.8,1.208,2.5595,-0.037,-0.363,-0.397,0.213,0.0,0.593,0.775,0.81,4678.0,0.0,1.0,39.385
78,20.482,40.452,102152.8,1.208,2.559,-0.538,-0.415,-0.425,0.0,0.0,0.0,0.829,0.839,4732.0,0.0,1.0,39.385
79,20.493,40.459,102151.86,1.208,2.55888,-0.662,-0.489,-0.472,0.0,0.0,0.0,0.9,0.884,4787.0,0.0,1.0,39.362
80,20.493,40.452,102146.055,1.2079,2.55888,-0.662,-0.541,-0.51,0.0,0.0,0.0,0.947,0.919,4840.0,0.0,1.0,39.329
81,20.504,40.474,102150.516,1.2079,2.55925,-0.287,-0.465,-0.466,0.0,0.0,0.0,0.878,0.878,4894.0,0.0,1.0,39.373
82,20.493,40.452,102150.516,1.208,2.55963,0.088,-0.299,-0.355,0.088,0.381,0.381,0.704,0.767,4948.0,0.0,1.0,39.373
83,20.504,40.459,102151.0,1.2079,2.55938,-0.163,-0.258,-0.317,0.088,0.0,0.381,0.654,0.724,5003.0,0.0,1.0,39.362
84,20.504,40.459,102148.75,1.2079,2.55875,-0.787,-0.417,-0.411,0.088,0.0,0.381,0.831,0.825,5056.0,0.0,1.0,39.362
85,20.493,40.452,102153.2,1.208,2.55875,-0.787,-0.528,-0.486,0.088,0.0,0.381,0.935,0.897,5110.0,0.0,1.0,39.373
86,20.504,40.474,102148.31,1.2079,2.55838,-1.162,-0.718,-0.621,0.088,0.0,0.381,1.091,1.014,5165.0,0.0,1.0,39.352
87,20.493,40.459,102148.31,1.2079,2.55913,-0.412,-0.627,-0.58,0.088,0.0,0.381,1.019,0.98,5219.0,0.0,1.0,39.352
88,20.514,40.467,102152.8,1.2079,2.55863,-0.912,-0.712,-0.646,0.088,0.0,0.381,1.086,1.034,5273.0,0.0,1.0,39.373
89,20.482,40.467,102146.055,1.208,2.55925,-0.287,-0.585,-0.574,0.088,0.0,0.381,0.984,0.975,5326.0,0.0,1.0,39.329
90,20.493,40.467,102151.45,1.208,2.559,-0.538,-0.571,-0.567,0.088,0.0,0.381,0.972,0.969,5381.0,0.0,1.0,39.352
91,20.504,40.459,102151.45,1.2079,2.55913,-0.412,-0.523,-0.536,0.088,0.0,0.381,0.931,0.942,5435.0,0.0,1.0,39.352
92,20.482,40.474,102151.0,1.208,2.559,-0.538,-0.528,-0.536,0.088,0.0,0.381,0.935,0.942,5489.0,0.0,1.0,39.373
93,20.493,40.459,102151.45,1.208,2.5585,-1.038,-0.681,-0.637,0.088,0.0,0.381,1.061,1.027,5543.0,0.0,1.0,39.352
94,20.504,40.467,102151.0,1.2079,2.55888,-0.662,-0.675,-0.642,0.088,0.0,0.381,1.057,1.031,5597.0,0.0,1.0,39.385
95,20.504,40.467,102146.08,1.2079,2.559,-0.538,-0.634,-0.621,0.088,0.0,0.381,1.024,1.014,5651.0,0.0,1.0,39.395
96,20.504,40.459,102146.08,1.2079,2.559,-0.538,-0.605,-0.604,0.088,0.0,0.381,1.001,1.0,5705.0,0.0,1.0,39.395
97,20.471,40.474,102147.87,1.208,2.5585,-1.038,-0.735,-0.691,0.088,0.0,0.381,1.103,1.07,5760.0,0.0,1.0,39.34
98,20.504,40.467,102149.21,1.2079,2.55863,-0.912,-0.788,-0.735,0.088,0.0,0.381,1.142,1.103,5813.0,0.0,1.0,39.318
99,20.504,40.474,102145.17,1.2079,2.55863,-0.912,-0.825,-0.771,0.088,0.0,0.381,1.169,1.13,5867.0,0.0,1.0,39.418
100,20.504,40.459,102148.31,1.2079,2.55875,-0.787,-0.814,-0.774,0.088,0.0,0.381,1.161,1.132,5921.0,0.0,1.0,39.418
101,20.504,40.467,102148.31,1.2079,2.55863,-0.912,-0.843,-0.802,0.088,0.0,0.381,1.182,1.152,5976.0,0.0,1.0,39.373
102,20.482,40.459,102148.75,1.208,2.55888,-0.662,-0.789,-0.774,0.088,0.0,0.381,1.143,1.132,6030.0,0.0,1.0,39.352
103,20.482,40.459,102147.42,1.208,2.55963,0.088,-0.526,-0.602,0.088,0.381,0.381,0.933,0.998,6084.0,0.0,1.0,39.384
104,20.471,40.459,102148.36,1.208,2.55875,-0.787,-0.605,-0.639,0.088,0.0,0.381,1.0,1.028,6137.0,0.0,1.0,39.361
105,20.493,40.459,102148.36,1.2079,2.55875,-0.787,-0.659,-0.668,0.088,0.0,0.381,1.045,1.052,6192.0,0.0,1.0,39.361
106,20.493,40.452,102148.766,1.2079,2.55838,-1.162,-0.81,-0.767,0.088,0.0,0.381,1.158,1.127,6246.0,0.0,1.0,39.373
107,20.482,40.459,102151.91,1.208,2.559,-0.538,-0.728,-0.721,0.088,0.0,0.381,1.098,1.093,6300.0,0.0,1.0,39.396
108,20.493,40.467,102145.17,1.2079,2.55875,-0.787,-0.746,-0.735,0.088,0.0,0.381,1.112,1.103,6354.0,0.0,1.0,39.34
109,20.504,40.467,102147.87,1.2079,2.55875,-0.787,-0.759,-0.745,0.088,0.0,0.381,1.121,1.111,6408.0,0.0,1.0,39.396
110,20.514,40.467,102147.87,1.2078,2.55888,-0.662,-0.73,-0.729,0.088,0.0,0.381,1.099,1.098,6462.0,0.0,1.0,39.396
111,20.482,40.444,102149.66,1.208,2.55913,-0.412,-0.635,-0.665,0.088,0.0,0.381,1.025,1.05,6516.0,0.0,1.0,39.373
112,20.461,40.467,102153.26,1.2081,2.55863,-0.912,-0.718,-0.715,0.088,0.0,0.381,1.09,1.088,6571.0,0.0,1.0,39.373
113,20.504,40.459,102147.42,1.2079,2.55888,-0.662,-0.701,-0.704,0.088,0.0,0.381,1.078,1.08,6625.0,0.0,1.0,39.373
114,20.514,40.482,102147.42,1.2078,2.55888,-0.662,-0.69,-0.696,0.088,0.0,0.381,1.069,1.073,6678.0,0.0,1.0,39.373
115,20.493,40.444,102147.92,1.2079,2.55925,-0.287,-0.569,-0.614,0.088,0.0,0.381,0.971,1.008,6732.0,0.0,1.0,39.34
116,20.482,40.459,102149.66,1.208,2.55888,-0.662,-0.597,-0.624,0.088,0.0,0.381,0.994,1.016,6787.0,0.0,1.0,39.396
117,20.471,40.452,102147.42,1.208,2.55863,-0.912,-0.692,-0.682,0.088,0.0,0.381,1.07,1.062,6841.0,0.0,1.0,39.395
118,20.482,40.459,102143.82,1.2079,2.55913,-0.412,-0.608,-0.628,0.088,0.0,0.381,1.003,1.019,6895.0,0.0,1.0,39.406
119,20.482,40.474,102143.82,1.2079,2.559,-0.538,-0.587,-0.61,0.088,0.0,0.381,0.986,1.005,6948.0,0.0,1.0,39.406
120,20.493,40.474,102147.016,1.2079,2.55925,-0.287,-0.497,-0.545,0.088,0.0,0.381,0.907,0.95,7003.0,0.0,1.0,39.34
121,20.471,40.467,102142.47,1.208,2.55925,-0.287,-0.434,-0.494,0.088,0.0,0.381,0.848,0.904,7057.0,0.0,1.0,39.329
122,20.493,40.467,102145.664,1.2079,2.55888,-0.662,-0.503,-0.527,0.088,0.0,0.381,0.912,0.935,7111.0,0.0,1.0,39.361
123,20.482,40.474,102145.664,1.208,2.5595,-0.037,-0.363,-0.429,0.088,0.0,0.381,0.775,0.843,7164.0,0.0,1.0,39.361
124,20.482,40.474,102144.31,1.2079,2.55913,-0.412,-0.378,-0.426,0.088,0.0,0.381,0.791,0.84,7219.0,0.0,1.0,39.405
125,20.482,40.474,102148.766,1.208,2.55875,-0.787,-0.501,-0.498,0.0,0.0,0.0,0.911,0.908,7273.0,0.0,1.0,39.405
126,20.493,40.467,102147.42,1.2079,2.56,0.463,-0.212,-0.306,0.463,0.875,0.875,0.592,0.712,7327.0,0.0,1.0,39.384
127,20.482,40.459,102147.42,1.208,2.55788,-1.662,-0.647,-0.577,0.463,0.0,0.875,1.035,0.978,7382.0,0.0,1.0,39.384
128,20.482,40.474,102147.42,1.208,2.5595,-0.037,-0.464,-0.469,0.463,0.0,0.875,0.877,0.882,7435.0,0.0,1.0,39.384
129,20.482,40.459,102145.664,1.208,2.55838,-1.162,-0.674,-0.608,0.463,0.0,0.875,1.056,1.003,7489.0,0.0,1.0,39.373
130,20.482,40.474,102147.016,1.208,2.5585,-1.038,-0.783,-0.694,0.463,0.0,0.875,1.138,1.072,7543.0,0.0,1.0,39.384
131,20.482,40.459,102144.73,1.2079,2.55975,0.213,-0.484,-0.513,0.463,0.593,0.875,0.895,0.921,7598.0,0.0,1.0,39.373
132,20.482,40.474,102144.73,1.2079,2.55875,-0.787,-0.575,-0.568,0.213,0.0,0.593,0.976,0.969,7652.0,0.0,1.0,39.373
133,20.493,40.467,102144.31,1.2079,2.559,-0.538,-0.564,-0.562,0.213,0.0,0.593,0.966,0.964,7705.0,0.0,1.0,39.395
134,20.471,40.482,102145.17,1.208,2.559,-0.538,-0.556,-0.557,0.213,0.0,0.593,0.959,0.96,7759.0,0.0,1.0,39.439
135,20.493,40.459,102145.664,1.2079,2.55938,-0.163,-0.438,-0.478,0.213,0.0,0.593,0.852,0.89,7814.0,0.0,1.0,39.395
136,20.482,40.474,102143.875,1.2079,2.55813,-1.413,-0.73,-0.665,0.213,0.0,0.593,1.1,1.049,7868.0,0.0,1.0,39.405
137,20.471,40.474,102143.875,1.208,2.55963,0.088,-0.485,-0.514,0.213,0.381,0.593,0.896,0.923,7922.0,0.0,1.0,39.405
138,20.471,40.474,102145.664,1.208,2.55875,-0.787,-0.576,-0.569,0.213,0.0,0.593,0.976,0.971,7975.0,0.0,1.0,39.395
139,20.493,40.49,102147.87,1.2079,2.55875,-0.787,-0.639,-0.613,0.213,0.0,0.593,1.029,1.007,8030.0,0.0,1.0,39.418
140,20.461,40.474,102148.766,1.2081,2.55913,-0.412,-0.571,-0.573,0.213,0.0,0.593,0.972,0.974,8084.0,0.0,1.0,39.428
141,20.482,40.474,102148.766,1.208,2.55863,-0.912,-0.674,-0.641,0.213,0.0,0.593,1.056,1.03,8138.0,0.0,1.0,39.428
142,20.493,40.474,102147.92,1.2079,2.55988,0.337,-0.37,-0.445,0.337,0.747,0.747,0.783,0.858,8193.0,0.0,1.0,39.395
143,20.471,40.459,102147.87,1.208,2.559,-0.538,-0.42,-0.463,0.213,0.0,0.593,0.834,0.876,8247.0,0.0,1.0,39.352
144,20.493,40.474,102145.664,1.2079,2.5595,-0.037,-0.306,-0.378,0.213,0.0,0.593,0.711,0.791,8300.0,0.0,1.0,39.384
145,20.493,40.459,102149.266,1.2079,2.5585,-1.038,-0.525,-0.51,0.213,0.0,0.593,0.932,0.919,8354.0,0.0,1.0,39.395
146,20.493,40.474,102149.266,1.2079,2.55888,-0.662,-0.566,-0.541,0.213,0.0,0.593,0.968,0.946,8409.0,0.0,1.0,39.395
147,20.493,40.467,102143.375,1.2079,2.56,0.463,-0.258,-0.34,0.337,0.875,0.747,0.653,0.75,8463.0,0.0,1.0,39.405
148,20.493,40.474,102147.92,1.2079,2.55863,-0.912,-0.454,-0.454,0.213,0.0,0.593,0.867,0.867,8517.0,0.0,1.0,39.428
