Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,18.809,39.498,38.38,100301.47,1.1934,2.574,1.0,1.375,1.295,1.518,422.0,0.0,0.0,0.0,-86.35
1,18.852,39.521,38.401,100299.52,1.1932,2.57413,1.125,1.25,1.373,1.448,485.0,0.0,0.0,0.0,-82.34
2,18.809,39.49,38.401,100299.52,1.1934,2.57438,1.375,1.375,1.518,1.518,548.0,0.0,0.0,0.0,-86.35
3,18.82,39.513,38.38,100300.125,1.1933,2.57388,0.875,1.25,1.211,1.448,612.0,0.0,0.0,0.0,-82.34
4,18.809,39.498,38.402,100303.555,1.1934,2.57413,1.125,1.25,1.373,1.448,674.0,0.0,0.0,0.0,-82.33
5,18.841,39.513,38.402,100303.555,1.1933,2.57438,1.375,1.25,1.518,1.448,738.0,0.0,0.0,0.0,-82.34
6,18.809,39.513,38.446,100303.72,1.1934,2.57425,1.25,1.25,1.448,1.448,801.0,0.0,0.0,0.0,-82.33
7,18.83,39.506,38.413,100302.72,1.1933,2.57425,1.25,1.25,1.448,1.448,865.0,0.0,0.0,0.0,-82.34
8,18.82,39.521,38.413,100302.72,1.1934,2.57413,1.125,1.25,1.373,1.448,927.0,0.0,0.0,0.0,-82.34
9,18.82,39.498,38.457,100302.81,1.1934,2.57425,1.25,1.25,1.448,1.448,991.0,0.0,0.0,0.0,-82.34
10,18.809,39.506,38.457,100302.81,1.1934,2.57438,1.375,1.25,1.518,1.448,1054.0,0.0,0.0,0.0,-82.33
11,18.809,39.506,38.402,100303.38,1.1934,2.57425,1.25,1.25,1.448,1.448,1118.0,0.0,0.0,0.0,-82.33
12,18.809,39.49,38.413,100306.17,1.1935,2.574,1.0,1.25,1.295,1.447,1180.0,0.0,0.0,0.0,-82.33
13,18.809,39.513,38.413,100306.17,1.1935,2.57438,1.375,1.25,1.518,1.447,1244.0,0.0,0.0,0.0,-82.33
14,18.82,39.513,38.402,100304.23,1.1934,2.5745,1.5,1.25,1.586,1.448,1307.0,0.0,0.0,0.0,-82.34
15,18.83,39.521,38.402,100306.08,1.1934,2.574,1.0,1.25,1.295,1.448,1371.0,0.0,0.0,0.0,-82.34
16,18.809,39.483,38.402,100306.08,1.1935,2.574,1.0,1.25,1.295,1.447,1434.0,0.0,0.0,0.0,-82.33
17,18.82,39.513,38.424,100306.24,1.1934,2.57438,1.375,1.25,1.518,1.448,1497.0,0.0,0.0,0.0,-82.33
18,18.82,39.506,38.391,100304.26,1.1934,2.574,1.0,1.25,1.295,1.448,1560.0,0.0,0.0,0.0,-82.34
19,18.809,39.513,38.391,100304.26,1.1934,2.5745,1.5,1.25,1.586,1.447,1624.0,0.0,0.0,0.0,-82.33
20,18.82,39.513,38.391,100307.016,1.1934,2.5745,1.5,1.25,1.586,1.448,1687.0,0.0,0.0,0.0,-82.33
21,18.809,39.506,38.424,100302.75,1.1934,2.57425,1.25,1.25,1.448,1.448,1751.0,0.0,0.0,0.0,-82.33
22,18.82,39.513,38.424,100302.75,1.1934,2.57425,1.25,1.25,1.448,1.448,1814.0,0.0,0.0,0.0,-82.34
23,18.809,39.521,38.402,100304.09,1.1934,2.57425,1.25,1.25,1.447,1.447,1878.0,0.0,0.0,0.0,-82.33
24,18.809,39.498,38.424,100302.58,1.1934,2.57413,1.125,1.25,1.373,1.448,1940.0,0.0,0.0,0.0,-82.33
25,18.82,39.498,38.424,100302.58,1.1934,2.57488,1.875,1.25,1.773,1.448,2003.0,0.0,0.0,0.0,-82.34
26,18.82,39.521,38.446,100302.07,1.1934,2.575,2.0,1.25,1.831,1.448,2067.0,0.0,0.0,0.0,-82.34
27,18.82,39.521,38.424,100301.57,1.1934,2.57463,1.625,1.25,1.65,1.448,2130.0,0.0,0.0,0.0,-82.34
28,18.83,39.513,38.424,100301.57,1.1933,2.57438,1.375,1.25,1.518,1.448,2194.0,0.0,0.0,0.0,-82.34
29,18.841,39.513,38.435,100302.914,1.1933,2.57475,1.75,1.25,1.713,1.448,2257.0,0.0,0.0,0.0,-82.34
30,18.83,39.513,38.424,100301.4,1.1933,2.57425,1.25,1.25,1.448,1.448,2321.0,0.0,0.0,0.0,-82.34
31,18.82,39.521,38.424,100301.4,1.1934,2.57475,1.75,1.25,1.713,1.448,2384.0,0.0,0.0,0.0,-82.34
32,18.83,39.498,38.424,100302.21,1.1933,2.5745,0.137,1.25,0.48,1.448,2448.0,0.0,0.0,0.0,-82.34
33,18.82,39.513,38.457,100302.914,1.1934,2.57463,0.262,1.25,0.663,1.448,2510.0,0.0,0.0,0.0,-82.34
34,18.83,39.506,38.457,100302.914,1.1933,2.57538,1.012,1.25,1.303,1.448,2574.0,0.0,0.0,0.0,-82.34
35,18.83,39.506,38.446,100300.89,1.1933,2.5745,0.137,1.25,0.48,1.448,2637.0,0.0,0.0,0.0,-82.34
36,18.809,39.521,38.402,100303.69,1.1934,2.57488,0.512,1.25,0.927,1.448,2701.0,0.0,0.0,0.0,-82.33
37,18.82,39.513,38.402,100303.69,1.1934,2.5745,0.137,1.25,0.48,1.448,2764.0,0.0,0.0,0.0,-82.34
38,18.82,39.498,38.435,100302.34,1.1934,2.57438,0.013,1.25,0.145,1.448,2828.0,0.0,0.0,0.0,-82.34
39,18.798,39.513,38.435,100302.34,1.1935,2.57488,0.512,1.25,0.927,1.447,2891.0,0.0,0.0,0.0,-82.33
40,18.809,39.513,38.424,100301.57,1.1934,2.575,0.637,1.25,1.034,1.448,2954.0,0.0,0.0,0.0,-82.33
41,18.798,39.513,38.446,100300.3,1.1934,2.57475,0.388,1.25,0.806,1.447,3017.0,0.0,0.0,0.0,-82.33
42,18.809,39.513,38.446,100300.3,1.1934,2.5745,0.137,1.25,0.48,1.448,3081.0,0.0,0.0,0.0,-82.34
43,18.83,39.536,38.446,100305.266,1.1933,2.575,0.637,1.25,1.034,1.448,3144.0,0.0,0.0,0.0,-82.34
