Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,15.184,52.445,102939.03,1.2401,2.576,3.0,1.05,0.6,3.0,2.2,2.2,1.301,0.984,512.0,0.0,0.0,46.412,0.0,-125.12
1,15.173,52.376,102935.43,1.2401,2.57625,3.25,1.82,1.13,3.25,2.289,2.289,1.713,1.35,567.0,0.0,0.0,46.424,0.0,-130.22
2,15.184,52.376,102936.266,1.2401,2.57613,3.125,2.277,1.529,3.125,2.245,2.245,1.916,1.57,622.0,0.0,0.0,46.426,0.0,-127.7
3,15.184,52.369,102937.58,1.2401,2.5765,3.5,2.705,1.923,3.25,2.376,2.289,2.089,1.761,677.0,0.0,0.0,46.416,0.0,-130.22
4,15.195,52.361,102936.66,1.2401,2.57625,3.25,2.896,2.189,3.25,2.29,2.29,2.161,1.879,732.0,0.0,0.0,46.439,0.0,-130.23
5,15.184,52.369,102936.66,1.2401,2.57625,3.25,3.02,2.401,3.25,2.289,2.289,2.207,1.968,787.0,0.0,0.0,46.439,0.0,-130.23
6,15.184,52.369,102936.17,1.2401,2.5765,3.5,3.188,2.621,3.25,2.376,2.289,2.267,2.056,842.0,0.0,0.0,46.406,0.0,-130.23
7,15.184,52.361,102940.61,1.2402,2.57625,3.25,3.21,2.747,3.25,2.289,2.289,2.275,2.105,898.0,0.0,0.0,46.462,0.0,-130.22
8,15.195,52.361,102940.62,1.2401,2.5765,3.5,3.311,2.897,3.25,2.376,2.289,2.311,2.162,952.0,0.0,0.0,46.409,0.0,-130.23
9,15.173,52.384,102937.94,1.2402,2.57675,3.75,3.465,3.068,3.25,2.459,2.289,2.364,2.224,1007.0,0.0,0.0,46.475,0.0,-130.22
10,15.184,52.384,102937.94,1.2401,2.57675,3.75,3.565,3.204,3.25,2.459,2.289,2.398,2.273,1062.0,0.0,0.0,46.475,0.0,-130.22
11,15.184,52.369,102937.91,1.2401,2.57613,3.125,3.411,3.189,3.25,2.245,2.289,2.345,2.268,1118.0,0.0,0.0,46.441,0.0,-130.22
12,15.195,52.361,102937.016,1.2401,2.5765,3.5,3.442,3.251,3.25,2.376,2.29,2.356,2.29,1173.0,0.0,0.0,46.442,0.0,-130.23
13,15.184,52.376,102930.72,1.24,2.57638,3.375,3.419,3.276,3.375,2.333,2.333,2.348,2.299,1228.0,0.0,0.0,46.432,0.0,-132.71
14,15.195,52.376,102938.35,1.2401,2.57625,3.25,3.36,3.271,3.25,2.289,2.289,2.328,2.297,1284.0,0.0,0.0,46.421,0.0,-130.23
15,15.184,52.369,102938.35,1.2401,2.57663,3.625,3.453,3.342,3.375,2.418,2.333,2.36,2.321,1339.0,0.0,0.0,46.421,0.0,-132.7
16,15.173,52.376,102939.21,1.2402,2.57625,3.25,3.382,3.323,3.25,2.289,2.289,2.335,2.315,1394.0,0.0,0.0,46.465,0.0,-130.22
17,15.173,52.376,102939.21,1.2402,2.57638,3.375,3.379,3.334,3.375,2.333,2.333,2.334,2.319,1448.0,0.0,0.0,46.453,0.0,-132.7
18,15.205,52.392,102938.766,1.24,2.57575,2.75,3.159,3.217,3.25,2.106,2.29,2.257,2.278,1504.0,0.0,0.0,46.443,0.0,-130.23
19,15.184,52.384,102938.31,1.2401,2.57588,2.875,3.06,3.149,3.25,2.153,2.289,2.221,2.253,1559.0,0.0,0.0,46.477,0.0,-130.22
20,15.195,52.392,102938.31,1.2401,2.576,3.0,3.039,3.119,3.25,2.2,2.29,2.214,2.243,1614.0,0.0,0.0,46.477,0.0,-130.23
21,15.195,52.369,102936.086,1.24,2.57625,3.25,3.113,3.145,3.25,2.29,2.29,2.241,2.252,1670.0,0.0,0.0,46.454,0.0,-130.23
22,15.184,52.384,102938.29,1.2401,2.57588,2.875,3.03,3.091,3.25,2.153,2.289,2.21,2.233,1725.0,0.0,0.0,46.423,0.0,-130.22
23,15.184,52.376,102936.984,1.2401,2.57625,3.25,3.107,3.123,3.25,2.289,2.289,2.238,2.244,1780.0,0.0,0.0,46.466,0.0,-130.23
24,15.173,52.399,102932.984,1.2401,2.57663,3.625,3.288,3.223,3.25,2.418,2.289,2.303,2.28,1836.0,0.0,0.0,46.432,0.0,-130.23
25,15.195,52.392,102932.984,1.24,2.5765,3.5,3.362,3.279,3.25,2.376,2.29,2.329,2.3,1891.0,0.0,0.0,46.432,0.0,-130.23
26,15.184,52.369,102932.984,1.2401,2.57663,3.625,3.454,3.348,3.25,2.418,2.29,2.36,2.324,1946.0,0.0,0.0,46.465,0.0,-130.23
27,15.184,52.392,102936.53,1.2401,2.5765,3.5,3.47,3.378,3.25,2.376,2.289,2.366,2.334,2001.0,0.0,0.0,46.465,0.0,-130.23
