Muestra;Temp;Hum;Pres;Den;Vol;DP;DP1;DP2;DP3;Vel1;Vel2;Vel3;Vel4;Tiempo;PWM;Paro;Hum2;VelRef;Error
0;14.734;51.796;102929.31;1.2421;2.5765;3.5;1.225;0.7;3.5;2.374;2.374;1.404;1.062;512.0;0.0;0.0;47.893;0.0;-135.03
1;14.755;51.735;102927.06;1.242;2.57625;3.25;1.934;1.21;3.5;2.288;2.374;1.765;1.396;567.0;0.0;0.0;47.905;0.0;-135.04
2;14.723;51.735;102932.36;1.2422;2.57625;3.25;2.395;1.618;3.25;2.288;2.288;1.963;1.614;622.0;0.0;0.0;47.918;0.0;-130.11
3;14.734;51.72;102928.734;1.2421;2.57675;3.75;2.869;2.044;3.5;2.457;2.374;2.149;1.814;677.0;0.0;0.0;47.908;0.0;-135.03
4;14.723;51.743;102930.94;1.2422;2.57713;4.125;3.309;2.461;3.5;2.577;2.374;2.308;1.99;732.0;0.0;0.0;47.899;0.0;-135.03
5;14.734;51.728;102930.94;1.2421;2.57675;3.75;3.463;2.719;3.75;2.457;2.457;2.361;2.092;787.0;0.0;0.0;47.899;0.0;-139.77
6;14.734;51.735;102934.96;1.2422;2.57688;3.875;3.607;2.95;3.75;2.498;2.457;2.41;2.179;842.0;0.0;0.0;47.889;0.0;-139.77
7;14.734;51.728;102936.72;1.2422;2.577;4.0;3.745;3.16;3.75;2.538;2.457;2.455;2.256;898.0;0.0;0.0;47.944;0.0;-139.76
8;14.766;51.743;102934.46;1.242;2.57675;3.75;3.747;3.278;3.75;2.457;2.457;2.456;2.297;953.0;0.0;0.0;47.901;0.0;-139.77
9;14.755;51.743;102930.92;1.2421;2.57713;4.125;3.879;3.447;3.75;2.577;2.457;2.499;2.356;1007.0;0.0;0.0;47.868;0.0;-139.77
10;14.744;51.743;102930.92;1.2421;2.5765;3.5;3.747;3.458;3.75;2.374;2.457;2.456;2.36;1062.0;0.0;0.0;47.868;0.0;-139.77
11;14.744;51.751;102934.016;1.2421;2.5765;3.5;3.66;3.466;3.75;2.374;2.457;2.428;2.362;1118.0;0.0;0.0;47.912;0.0;-139.77
12;14.723;51.735;102929.08;1.2422;2.5765;3.5;3.604;3.473;3.75;2.374;2.457;2.409;2.365;1173.0;0.0;0.0;47.88;0.0;-139.77
13;14.744;51.735;102934.016;1.2421;2.576;3.0;3.393;3.379;3.75;2.198;2.457;2.337;2.332;1228.0;0.0;0.0;47.901;0.0;-139.77
