Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2
0,20.139,40.429,102185.33,1.2099,2.57088,-0.062,NaN,40.49,102188.57,1.2101,2.571,-3.0,-0.9,-0.6,0.0,0.0,0.0
1,20.107,40.421,102185.33,1.2101,2.571,-3.0,-1.53,-1.08,0.0,0.0,0.0,1.59,1.336,566.0,0.0,1.0,39.706
2,20.107,40.429,102186.17,1.2101,2.5715,-2.5,-1.821,-1.364,0.0,0.0,0.0,1.735,1.501,620.0,0.0,1.0,39.675
3,20.128,40.429,102183.82,1.21,2.5715,-2.5,-2.025,-1.591,0.0,0.0,0.0,1.829,1.622,673.0,0.0,1.0,39.698
4,20.139,40.421,102184.7,1.2099,2.57138,-2.625,-2.205,-1.798,0.0,0.0,0.0,1.909,1.724,728.0,0.0,1.0,39.677
5,20.118,40.413,102184.7,1.21,2.571,-3.0,-2.443,-2.038,0.0,0.0,0.0,2.01,1.835,782.0,0.0,1.0,39.677
6,20.128,40.429,102183.75,1.21,2.57088,-3.125,-2.648,-2.256,0.0,0.0,0.0,2.092,1.931,836.0,0.0,1.0,39.655
7,20.118,40.429,102186.4,1.21,2.57113,-2.875,-2.716,-2.379,0.0,0.0,0.0,2.119,1.983,889.0,0.0,1.0,39.688
8,20.128,40.406,102185.94,1.21,2.57088,-3.125,-2.838,-2.528,0.0,0.0,0.0,2.166,2.044,944.0,0.0,1.0,39.668
9,20.107,40.436,102185.94,1.2101,2.57113,-2.875,-2.849,-2.598,0.0,0.0,0.0,2.17,2.072,998.0,0.0,1.0,39.668
10,20.139,40.421,102186.8,1.21,2.57175,-2.25,-2.669,-2.528,0.0,0.0,0.0,2.101,2.044,1052.0,0.0,1.0,39.679
11,20.118,40.429,102184.55,1.21,2.571,-3.0,-2.769,-2.622,0.0,0.0,0.0,2.139,2.082,1105.0,0.0,1.0,39.712
12,20.118,40.413,102187.68,1.2101,2.57163,-2.375,-2.65,-2.573,0.0,0.0,0.0,2.093,2.062,1160.0,0.0,1.0,39.669
13,20.128,40.413,102183.14,1.21,2.57088,-3.125,-2.793,-2.683,0.0,0.0,0.0,2.149,2.106,1214.0,0.0,1.0,39.657
14,20.118,40.413,102183.14,1.21,2.57138,-2.625,-2.742,-2.672,0.0,0.0,0.0,2.129,2.101,1268.0,0.0,1.0,39.657
15,20.128,40.429,102181.8,1.2099,2.5715,-2.5,-2.67,-2.637,0.0,0.0,0.0,2.101,2.088,1323.0,0.0,1.0,39.624
16,20.128,40.429,102188.53,1.21,2.57138,-2.625,-2.656,-2.635,0.0,0.0,0.0,2.095,2.087,1376.0,0.0,1.0,39.669
