Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro
0,20.118,39.956,100493.36,1.19,2.55075,2550.75,765.225,510.15,2550.75,65.476,65.476,35.863,29.282,512.0,0.0,1.0
1,20.096,39.895,100491.03,1.19,2.55138,1276.0,918.458,663.32,2550.75,46.308,65.474,39.288,33.388,566.0,0.0,1.0
2,20.075,39.887,100492.24,1.1901,2.5515,850.792,898.158,700.814,1276.0,37.812,46.306,38.85,34.318,620.0,0.0,1.0
3,20.107,39.895,100492.54,1.19,2.55088,637.469,819.951,688.145,1276.0,32.732,46.309,37.122,34.008,674.0,0.0,1.0
4,20.118,39.895,100490.21,1.1899,2.5515,510.6,727.146,652.636,850.792,29.295,37.815,34.959,33.12,729.0,0.0,1.0
5,20.107,39.895,100490.21,1.19,2.55138,425.375,636.615,607.184,850.792,26.738,37.814,32.71,31.945,783.0,0.0,1.0
6,20.118,39.895,100491.016,1.1899,2.55138,364.607,555.012,558.669,637.469,24.755,32.733,30.542,30.643,837.0,0.0,1.0
7,20.096,39.91,100493.234,1.1901,2.55075,318.406,484.03,510.616,637.469,23.132,32.731,28.521,29.294,891.0,0.0,1.0
8,20.128,39.879,100492.73,1.1899,2.5515,283.778,423.955,465.248,510.6,21.84,29.295,26.694,27.964,946.0,0.0,1.0
9,20.118,39.895,100492.73,1.19,2.55088,254.775,373.201,423.154,510.6,20.693,29.295,25.045,26.668,1000.0,0.0,1.0
10,20.107,39.879,100493.17,1.19,2.55088,231.614,330.725,384.846,425.375,19.73,26.738,23.576,25.432,1054.0,0.0,1.0
11,20.096,39.895,100495.79,1.1901,2.55175,213.187,295.463,350.514,425.375,18.928,26.737,22.283,24.27,1108.0,0.0,1.0
12,20.128,39.895,100494.44,1.1899,2.55113,196.163,265.673,319.644,364.607,18.158,24.755,21.131,23.179,1163.0,0.0,1.0
13,20.118,39.902,100498.01,1.19,2.55088,181.902,240.542,292.096,364.607,17.485,24.754,20.106,22.156,1217.0,0.0,1.0
14,20.107,39.895,100498.01,1.1901,2.55113,170.025,219.387,267.681,318.406,16.904,23.132,19.201,21.21,1271.0,0.0,1.0
15,20.118,39.887,100492.625,1.19,2.55113,159.398,201.39,246.025,318.406,16.368,23.133,18.398,20.335,1326.0,0.0,1.0
16,20.118,39.879,100491.28,1.19,2.5505,149.397,185.792,226.699,283.778,15.846,21.839,17.671,19.52,1380.0,0.0,1.0
17,20.107,39.895,100497.09,1.1901,2.55075,141.347,172.459,209.629,283.778,15.413,21.838,17.024,18.77,1434.0,0.0,1.0
18,20.107,39.895,100495.75,1.19,2.5515,134.658,161.119,194.635,254.775,15.043,20.692,16.455,18.086,1488.0,0.0,1.0
19,20.118,39.895,100495.75,1.19,2.55113,127.55,151.048,181.218,254.775,14.641,20.693,15.933,17.452,1543.0,0.0,1.0
20,20.118,39.895,100487.67,1.1899,2.5515,0.369,105.844,145.048,231.614,0.787,19.731,13.338,15.614,1597.0,0.0,1.0
21,20.118,39.887,100496.59,1.19,2.55088,-0.293,74.003,115.98,231.614,0.0,19.73,11.152,13.961,1650.0,0.0,1.0
22,20.107,39.879,100496.16,1.1901,2.5515,0.356,51.909,92.855,213.187,0.774,18.928,9.34,12.492,1704.0,0.0,1.0
23,20.118,39.887,100496.16,1.19,2.55075,-0.394,36.218,74.205,196.163,0.0,18.157,7.802,11.168,1759.0,0.0,1.0
24,20.107,39.887,100489.86,1.19,2.55113,-0.012,25.349,59.362,196.163,0.0,18.157,6.527,9.988,1813.0,0.0,1.0
25,20.128,39.879,100491.64,1.1899,2.55213,1.007,18.046,47.691,181.902,1.301,17.485,5.507,8.953,1866.0,0.0,1.0
26,20.118,39.902,100495.69,1.19,2.55138,0.219,12.698,38.196,170.025,0.607,16.904,4.62,8.012,1921.0,0.0,1.0
27,20.085,39.887,100496.12,1.1901,2.55088,-0.281,8.804,30.501,159.398,0.0,16.367,3.846,7.159,1975.0,0.0,1.0
